category,pct_mcp_only,pct_aei_api,pct_conv_baseline,delta_mcp_vs_aei,delta_mcp_vs_conv
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",14.47,0.00,19.76,14.47,-5.29
Speech-Language Pathology Assistants,14.40,0.00,28.83,14.40,-14.43
Signal and Track Switch Repairers,14.28,0.00,13.79,14.28,0.49
Print Binding and Finishing Workers,14.23,0.00,8.02,14.23,6.21
Cooling and Freezing Equipment Operators and Tenders,14.21,0.00,24.18,14.21,-9.97
"Tool Grinders, Filers, and Sharpeners",13.98,0.00,20.82,13.98,-6.84
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",25.61,11.68,34.58,13.93,-8.98
"Teaching Assistants, Special Education",20.56,6.67,26.69,13.89,-6.13
"Maintenance Workers, Machinery",13.86,0.00,17.99,13.86,-4.13
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",13.79,0.00,15.25,13.79,-1.46
Team Assemblers,13.78,0.00,13.85,13.78,-0.06
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",29.56,15.81,32.67,13.75,-3.11
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",13.71,0.00,20.62,13.71,-6.91
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",21.72,8.04,22.93,13.69,-1.21
Cardiologists,13.63,0.00,21.34,13.63,-7.71
Refuse and Recyclable Material Collectors,15.41,1.83,8.35,13.58,7.06
Fire Inspectors and Investigators,13.57,0.00,21.51,13.57,-7.94
Recycling and Reclamation Workers,13.56,0.00,0.00,13.56,13.56
"Transportation, Storage, and Distribution Managers",25.15,11.68,27.35,13.46,-2.20
Calibration Technologists and Technicians,13.39,0.00,33.22,13.39,-19.83
"Buyers and Purchasing Agents, Farm Products",38.69,25.33,42.88,13.36,-4.19
Preventive Medicine Physicians,13.33,0.00,19.43,13.33,-6.10
Paralegals and Legal Assistants,42.58,29.29,41.59,13.29,0.99
Climate Change Policy Analysts,29.47,16.19,43.62,13.29,-14.14
Farm Equipment Mechanics and Service Technicians,13.28,0.00,18.20,13.28,-4.93
"Eligibility Interviewers, Government Programs",50.05,36.81,55.87,13.25,-5.82
Correctional Officers and Jailers,13.12,0.00,18.03,13.12,-4.91
Textile Bleaching and Dyeing Machine Operators and Tenders,17.71,4.61,18.56,13.10,-0.84
First-Line Supervisors of Firefighting and Prevention Workers,15.84,2.77,3.73,13.07,12.11
Animal Breeders,13.04,0.00,47.23,13.04,-34.19
"Bus Drivers, School",12.83,0.00,14.64,12.83,-1.81
Health Informatics Specialists,55.61,42.82,52.85,12.79,2.75
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",20.77,7.99,21.79,12.78,-1.02
Elevator and Escalator Installers and Repairers,12.64,0.00,8.02,12.64,4.62
