category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",19.76,0.00,19.76,14.47,650.00,0,640.00,0,561.00,0,596.00,0,0,None (0/4)
Millwrights,14.86,0.00,14.86,3.33,750.00,0,640.00,0,679.00,0,847.00,0,0,None (0/4)
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,0.00,25.19,24.06,546.00,0,640.00,0,412.00,0,404.00,0,0,None (0/4)
"Mixing and Blending Machine Setters, Operators, and Tenders",18.49,11.50,13.84,9.65,678.00,0,402.00,0,713.00,0,718.00,0,0,None (0/4)
"Mobile Heavy Equipment Mechanics, Except Engines",20.33,3.08,18.43,10.23,634.00,0,599.00,0,591.00,0,700.00,0,0,None (0/4)
"Model Makers, Metal and Plastic",16.98,0.00,16.98,20.32,700.00,0,640.00,0,617.00,0,474.00,0,0,None (0/4)
"Model Makers, Wood",24.17,7.38,20.86,10.09,561.00,0,495.00,0,533.00,0,701.00,0,0,None (0/4)
Models,56.20,11.74,46.84,4.67,111.00,0,396.00,0,29.00,1,821.00,0,1,Single-source (1/4)
"Molders, Shapers, and Casters, Except Metal and Plastic",12.68,2.32,12.68,1.04,793.00,0,611.00,0,740.00,0,891.00,0,0,None (0/4)
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",15.06,0.00,14.58,12.17,745.00,0,640.00,0,690.00,0,651.00,0,0,None (0/4)
Molecular and Cellular Biologists,35.84,35.67,23.06,26.12,373.00,0,165.00,0,467.00,0,365.00,0,0,None (0/4)
"Morticians, Undertakers, and Funeral Arrangers",22.38,0.00,22.38,18.52,589.00,0,640.00,0,480.00,0,503.00,0,0,None (0/4)
Motion Picture Projectionists,9.83,0.00,5.02,35.46,840.00,0,640.00,0,880.00,0,226.00,0,0,None (0/4)
Motorboat Mechanics and Service Technicians,12.95,0.00,12.95,6.50,789.00,0,640.00,0,734.00,0,792.00,0,0,None (0/4)
Motorboat Operators,6.31,0.00,0.27,6.66,876.00,0,640.00,0,915.00,0,789.00,0,0,None (0/4)
Motorcycle Mechanics,22.62,0.00,22.25,2.18,584.00,0,640.00,0,485.00,0,867.00,0,0,None (0/4)
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,9.86,24.87,11.12,555.00,0,432.00,0,422.00,0,675.00,0,0,None (0/4)
Museum Technicians and Conservators,57.36,0.00,36.93,24.60,98.00,0,640.00,0,169.00,0,394.00,0,0,None (0/4)
Music Directors and Composers,37.62,5.32,37.62,43.45,339.00,0,540.00,0,153.00,0,152.00,0,0,None (0/4)
Music Therapists,25.95,17.22,11.66,17.45,534.00,0,327.00,0,765.00,0,533.00,0,0,None (0/4)
Musical Instrument Repairers and Tuners,25.23,4.22,25.23,0.00,545.00,0,571.00,0,411.00,0,902.00,0,0,None (0/4)
Musicians and Singers,14.12,17.54,14.12,19.05,765.00,0,324.00,0,702.00,0,494.00,0,0,None (0/4)
Nannies,37.78,3.74,26.14,14.01,338.00,0,584.00,0,389.00,0,611.00,0,0,None (0/4)
Nanosystems Engineers,33.99,30.61,30.42,24.19,397.00,0,206.00,0,298.00,0,402.00,0,0,None (0/4)
Nanotechnology Engineering Technologists and Technicians,23.23,14.20,23.23,23.01,574.00,0,367.00,0,462.00,0,424.00,0,0,None (0/4)
Natural Sciences Managers,36.93,16.14,14.84,35.92,357.00,0,337.00,0,680.00,0,215.00,0,0,None (0/4)
Naturopathic Physicians,30.23,35.59,18.14,10.96,462.00,0,166.00,0,596.00,0,684.00,0,0,None (0/4)
Network and Computer Systems Administrators,56.11,53.76,42.87,77.95,112.00,0,67.00,0,67.00,0,6.00,1,1,Single-source (1/4)
Neurodiagnostic Technologists,19.38,4.40,12.74,7.79,657.00,0,564.00,0,739.00,0,767.00,0,0,None (0/4)
Neurologists,28.76,7.65,21.57,9.20,495.00,0,481.00,0,507.00,0,730.00,0,0,None (0/4)
Neuropsychologists,25.94,3.89,25.94,13.42,535.00,0,581.00,0,395.00,0,625.00,0,0,None (0/4)
New Accounts Clerks,42.12,10.79,42.12,66.76,268.00,0,415.00,0,80.00,0,33.00,0,0,None (0/4)
"News Analysts, Reporters, and Journalists",50.37,46.43,50.37,53.38,162.00,0,111.00,0,12.00,1,92.00,0,1,Single-source (1/4)
Non-Destructive Testing Specialists,39.98,17.25,33.86,27.71,302.00,0,326.00,0,219.00,0,340.00,0,0,None (0/4)
Nuclear Engineers,16.68,8.32,15.01,17.67,704.00,0,467.00,0,673.00,0,525.00,0,0,None (0/4)
Nuclear Medicine Technologists,37.55,16.66,21.95,23.57,341.00,0,332.00,0,497.00,0,411.00,0,0,None (0/4)
Nuclear Monitoring Technicians,42.22,6.79,31.31,19.13,266.00,0,510.00,0,285.00,0,492.00,0,0,None (0/4)
Nuclear Power Reactor Operators,8.97,0.00,8.97,31.82,848.00,0,640.00,0,822.00,0,267.00,0,0,None (0/4)
Nuclear Technicians,17.93,0.00,17.93,15.57,689.00,0,640.00,0,603.00,0,566.00,0,0,None (0/4)
Nurse Anesthetists,16.64,0.00,16.64,7.95,705.00,0,640.00,0,627.00,0,764.00,0,0,None (0/4)
Nurse Midwives,37.08,23.19,13.80,14.03,354.00,0,266.00,0,716.00,0,608.00,0,0,None (0/4)
Nurse Practitioners,28.02,28.27,20.40,17.48,506.00,0,223.00,0,547.00,0,531.00,0,0,None (0/4)
Nursing Assistants,14.54,0.00,9.69,10.03,760.00,0,640.00,0,811.00,0,706.00,0,0,None (0/4)
"Nursing Instructors and Teachers, Postsecondary",52.04,44.47,26.16,20.91,149.00,0,121.00,0,388.00,0,460.00,0,0,None (0/4)
Obstetricians and Gynecologists,27.27,45.53,17.09,8.32,516.00,0,118.00,0,614.00,0,756.00,0,0,None (0/4)
Occupational Health and Safety Specialists,29.17,0.42,24.88,27.64,482.00,0,636.00,0,421.00,0,342.00,0,0,None (0/4)
Occupational Health and Safety Technicians,16.05,9.62,14.57,11.92,722.00,0,438.00,0,691.00,0,656.00,0,0,None (0/4)
Occupational Therapists,37.19,19.02,11.92,12.43,351.00,0,308.00,0,760.00,0,648.00,0,0,None (0/4)
