title_current,major,job_zone,outlook,emp,wage,pct,tier
"Art, Drama, and Music Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,97890.00,80190.00,72.25,High (≥60%)
Astronomers,"Life, Physical, and Social Science Occupations",5.00,4.00,1560.00,132170.00,72.49,High (≥60%)
Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,3.00,14370.00,62360.00,46.65,Moderate (40–59%)
Athletic Trainers,Healthcare Practitioners and Technical Occupations,5.00,3.00,28950.00,60250.00,31.80,Restructuring (20–39%)
Atmospheric and Space Scientists,"Life, Physical, and Social Science Occupations",4.00,0.00,8780.00,97450.00,58.78,Moderate (40–59%)
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,3.00,11480.00,101390.00,64.56,High (≥60%)
Audio and Video Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,70080.00,54830.00,24.21,Restructuring (20–39%)
Audiologists,Healthcare Practitioners and Technical Occupations,5.00,4.00,14730.00,92120.00,21.24,Restructuring (20–39%)
Audiovisual Equipment Installers and Repairers,"Installation, Maintenance, and Repair Occupations",3.00,3.00,22170.00,50620.00,21.33,Restructuring (20–39%)
Automotive Body and Related Repairers,"Installation, Maintenance, and Repair Occupations",2.00,3.00,155220.00,51680.00,11.71,Low (<20%)
Automotive Engineering Technicians,Architecture and Engineering Occupations,3.00,3.00,22710.00,68730.00,49.03,Moderate (40–59%)
Automotive Engineers,Architecture and Engineering Occupations,4.00,5.00,141126.00,102320.00,49.06,Moderate (40–59%)
Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair Occupations",2.00,2.00,18940.00,47260.00,4.75,Low (<20%)
Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair Occupations",3.00,3.00,688840.00,49670.00,18.91,Low (<20%)
Automotive and Watercraft Service Attendants,Transportation and Material Moving Occupations,2.00,2.00,98270.00,34850.00,17.99,Low (<20%)
