title_current,pct,pct_ceiling,emp_nat,major,job_zone,outlook,ai_projection,exposure_projection
Orthoptists,19.46,23.33,9887.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,35.78,58.34
Neurodiagnostic Technologists,21.05,24.99,52948.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,36.10,58.27
Geodetic Surveyors,19.55,55.84,14417.00,Architecture and Engineering Occupations,4.00,4.00,36.74,58.20
Transit and Railroad Police,24.91,30.28,3000.00,Protective Service Occupations,3.00,5.00,37.61,58.09
"Farmers, Ranchers, and Other Agricultural Managers",12.11,20.79,5910.00,Management Occupations,4.00,4.00,41.18,57.96
Recreation Workers,31.95,51.29,309640.00,Personal Care and Service Occupations,4.00,2.00,34.87,57.86
"Securities, Commodities, and Financial Services Sales Agents",29.00,67.48,472300.00,Sales and Related Occupations,4.00,5.00,35.09,57.09
Forest Fire Inspectors and Prevention Specialists,12.20,39.56,2780.00,Protective Service Occupations,3.00,3.00,37.87,56.83
"Opticians, Dispensing",20.21,22.98,79690.00,Healthcare Practitioners and Technical Occupations,3.00,2.00,36.62,56.77
Correctional Officers and Jailers,18.03,27.69,365380.00,Protective Service Occupations,2.00,4.00,33.95,56.37
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",22.93,42.80,124130.00,Building and Grounds Cleaning and Maintenance Occupations,3.00,4.00,38.02,56.22
Licensed Practical and Licensed Vocational Nurses,28.83,36.97,632430.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,32.46,56.11
Accountants and Auditors,28.09,43.59,1448290.00,Business and Financial Operations Occupations,4.00,5.00,32.30,55.71
Recycling Coordinators,19.89,41.10,61568.00,Transportation and Material Moving Occupations,2.00,2.00,34.80,55.62
Occupational Therapy Assistants,16.83,19.47,47910.00,Healthcare Support Occupations,3.00,3.00,33.97,55.14
Energy Auditors,29.04,45.55,51428.00,Construction and Extraction Occupations,3.00,4.00,37.66,54.98
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,38.03,36260.00,Educational Instruction and Library Occupations,4.00,3.00,29.38,54.75
"Environmental Science and Protection Technicians, Including Health",29.56,37.23,39390.00,"Life, Physical, and Social Science Occupations",4.00,3.00,34.35,54.21
Psychiatric Technicians,15.72,18.76,136300.00,Healthcare Practitioners and Technical Occupations,3.00,2.00,33.13,54.01
Commercial Pilots,26.52,39.43,51830.00,Transportation and Material Moving Occupations,3.00,3.00,33.91,53.23
Physical Therapist Assistants,13.17,20.60,108010.00,Healthcare Support Occupations,3.00,3.00,31.97,53.19
Fire Inspectors and Investigators,21.51,27.90,14050.00,Protective Service Occupations,3.00,3.00,32.28,52.80
Biofuels/Biodiesel Technology and Product Development Managers,22.85,29.44,38238.00,Management Occupations,4.00,5.00,34.76,52.76
Acupuncturists,21.71,24.63,8440.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,35.33,52.64
Radiation Therapists,19.52,25.64,18700.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,34.66,52.61
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,21.46,29530.00,"Farming, Fishing, and Forestry Occupations",3.00,3.00,33.94,52.46
Anesthesiologist Assistants,10.49,21.01,34693.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,31.90,51.91
Prosthodontists,18.35,18.35,760.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,32.77,51.66
Magnetic Resonance Imaging Technologists,22.02,34.26,41530.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,32.95,51.60
Compliance Officers,31.35,46.50,18302.00,Business and Financial Operations Occupations,4.00,4.00,28.12,51.40
Traffic Technicians,26.05,48.49,7580.00,Transportation and Material Moving Occupations,3.00,2.00,34.73,51.36
Firefighters,13.47,17.36,332240.00,Protective Service Occupations,3.00,3.00,37.50,51.34
Forest and Conservation Technicians,22.14,26.68,31080.00,"Life, Physical, and Social Science Occupations",3.00,2.00,31.71,50.89
Hydroelectric Plant Technicians,10.99,22.03,2387.00,Production Occupations,3.00,4.00,43.56,50.83
"Tax Examiners and Collectors, and Revenue Agents",30.90,51.23,53530.00,Business and Financial Operations Occupations,3.00,3.00,28.56,50.81
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",32.63,43.17,382577.50,Educational Instruction and Library Occupations,3.00,2.00,29.79,49.79
Industrial Engineering Technologists and Technicians,30.38,39.93,32570.00,Architecture and Engineering Occupations,3.00,4.00,34.05,49.71
Ophthalmic Medical Technologists,7.17,14.15,3967.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,27.52,48.85
Cardiovascular Technologists and Technicians,27.72,33.00,61180.00,Healthcare Practitioners and Technical Occupations,3.00,5.00,27.51,48.70
Avionics Technicians,29.42,39.85,20900.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,33.63,48.60
Environmental Engineering Technologists and Technicians,31.26,46.85,12500.00,Architecture and Engineering Occupations,4.00,2.00,31.61,48.41
Solar Thermal Installers and Technicians,8.43,12.18,217906.00,Construction and Extraction Occupations,3.00,4.00,37.44,47.93
