title_current,pct,pct_ceiling,ai_projection,exposure_projection,major,job_zone,outlook,emp_nat
Compensation and Benefits Managers,55.61,66.71,39.98,65.57,Management Occupations,4.00,4.00,20070.00
"Fraud Examiners, Investigators and Analysts",68.45,81.48,39.96,66.94,Business and Financial Operations Occupations,4.00,4.00,34204.00
Commercial and Industrial Designers,58.71,62.74,39.95,55.94,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,30250.00
Computer User Support Specialists,81.76,85.45,39.74,62.60,Computer and Mathematical Occupations,3.00,5.00,697210.00
Exercise Physiologists,50.46,56.92,39.72,64.51,Healthcare Practitioners and Technical Occupations,4.00,3.00,8110.00
Computer Network Architects,71.56,79.00,39.64,65.26,Computer and Mathematical Occupations,4.00,5.00,96522.00
Equal Opportunity Representatives and Officers,31.77,36.57,39.57,65.93,Business and Financial Operations Occupations,4.00,4.00,63415.00
Zoologists and Wildlife Biologists,39.16,41.37,39.53,63.24,"Life, Physical, and Social Science Occupations",4.00,4.00,16920.00
"Airline Pilots, Copilots, and Flight Engineers",14.89,33.76,39.49,59.74,Transportation and Material Moving Occupations,4.00,3.00,99300.00
Political Scientists,72.79,73.36,39.41,64.85,"Life, Physical, and Social Science Occupations",5.00,2.00,5950.00
Range Managers,13.80,16.23,39.34,63.61,"Life, Physical, and Social Science Occupations",4.00,3.00,2547.00
Chefs and Head Cooks,44.75,48.66,39.28,61.57,Food Preparation and Serving Related Occupations,3.00,3.00,182320.00
Art Therapists,52.25,56.74,39.24,63.32,Healthcare Practitioners and Technical Occupations,5.00,4.00,9131.00
Community Health Workers,41.39,48.37,39.21,65.28,Community and Social Service Occupations,4.00,3.00,60730.00
Art Directors,62.54,62.92,39.15,62.22,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,50370.00
General and Operations Managers,27.87,52.31,38.90,64.52,Management Occupations,4.00,5.00,3584420.00
Computer and Information Research Scientists,75.93,79.64,38.85,64.41,Computer and Mathematical Occupations,5.00,5.00,38480.00
Computer Systems Engineers/Architects,61.79,78.42,38.84,64.77,Computer and Mathematical Occupations,3.00,5.00,195620.00
Radio Frequency Identification Device Specialists,50.09,62.28,38.78,60.76,Architecture and Engineering Occupations,4.00,5.00,27927.00
First-Line Supervisors of Production and Operating Workers,32.67,45.40,38.75,59.25,Production Occupations,3.00,4.00,685140.00
Chemists,59.71,66.33,38.73,59.76,"Life, Physical, and Social Science Occupations",4.00,4.00,83250.00
Food Service Managers,32.93,46.49,38.71,60.47,Management Occupations,2.00,3.00,244230.00
"Secondary School Teachers, Except Special and Career/Technical Education",59.76,64.94,38.70,66.40,Educational Instruction and Library Occupations,4.00,5.00,1072540.00
Manufactured Building and Mobile Home Installers,26.17,26.17,38.54,47.24,"Installation, Maintenance, and Repair Occupations",2.00,2.00,2610.00
Respiratory Therapists,15.65,21.73,38.52,59.10,Healthcare Practitioners and Technical Occupations,3.00,5.00,136420.00
Investment Fund Managers,89.34,92.45,38.47,63.85,Management Occupations,5.00,5.00,513192.00
Airfield Operations Specialists,29.10,42.91,38.33,61.78,Transportation and Material Moving Occupations,3.00,3.00,16640.00
Hydrologists,35.11,41.48,38.30,58.07,"Life, Physical, and Social Science Occupations",5.00,3.00,5720.00
Anthropologists and Archeologists,33.15,42.60,38.29,63.43,"Life, Physical, and Social Science Occupations",5.00,3.00,8070.00
First-Line Supervisors of Office and Administrative Support Workers,68.43,75.47,38.22,65.54,Office and Administrative Support Occupations,3.00,4.00,1495580.00
Operations Research Analysts,70.69,74.82,38.16,59.72,Computer and Mathematical Occupations,5.00,5.00,107760.00
"Directors, Religious Activities and Education",60.18,62.70,38.12,62.94,Community and Social Service Occupations,4.00,1.00,21460.00
Nuclear Medicine Technologists,39.32,49.47,38.07,55.27,Healthcare Practitioners and Technical Occupations,3.00,5.00,16960.00
Curators,84.17,84.30,38.02,64.55,Educational Instruction and Library Occupations,5.00,1.00,12280.00
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",22.93,42.80,38.02,56.22,Building and Grounds Cleaning and Maintenance Occupations,3.00,4.00,124130.00
Wind Energy Development Managers,13.94,29.04,37.90,59.51,Management Occupations,4.00,4.00,76053.00
Forest Fire Inspectors and Prevention Specialists,12.20,39.56,37.87,56.83,Protective Service Occupations,3.00,3.00,2780.00
Computer Hardware Engineers,54.59,61.46,37.86,58.56,Architecture and Engineering Occupations,4.00,4.00,75710.00
Atmospheric and Space Scientists,58.78,68.49,37.78,62.13,"Life, Physical, and Social Science Occupations",4.00,0.00,8780.00
Athletic Trainers,31.80,35.78,37.76,60.17,Healthcare Practitioners and Technical Occupations,5.00,3.00,28950.00
Aircraft Cargo Handling Supervisors,20.85,30.24,37.75,58.54,Transportation and Material Moving Occupations,2.00,2.00,10160.00
Energy Auditors,29.04,45.55,37.66,54.98,Construction and Extraction Occupations,3.00,4.00,51428.00
Transit and Railroad Police,24.91,30.28,37.61,58.09,Protective Service Occupations,3.00,5.00,3000.00
Regulatory Affairs Managers,46.00,61.99,37.50,61.21,Management Occupations,4.00,4.00,194569.00
Firefighters,13.47,17.36,37.50,51.34,Protective Service Occupations,3.00,3.00,332240.00
"Career/Technical Education Teachers, Middle School",58.59,63.27,37.47,63.52,Educational Instruction and Library Occupations,4.00,4.00,14200.00
Solar Thermal Installers and Technicians,8.43,12.18,37.44,47.93,Construction and Extraction Occupations,3.00,4.00,217906.00
Treasurers and Controllers,47.63,64.19,37.41,63.06,Management Occupations,4.00,5.00,286560.00
Mechatronics Engineers,50.77,61.27,37.37,49.79,Architecture and Engineering Occupations,4.00,5.00,13659.00
Music Therapists,30.91,40.95,37.35,61.39,Healthcare Practitioners and Technical Occupations,4.00,4.00,10189.00
"Art, Drama, and Music Teachers, Postsecondary",72.25,79.59,37.34,63.09,Educational Instruction and Library Occupations,5.00,4.00,97890.00
"Geography Teachers, Postsecondary",73.45,80.73,37.22,65.20,Educational Instruction and Library Occupations,5.00,3.00,3290.00
Administrative Services Managers,21.21,46.12,37.21,63.77,Management Occupations,3.00,5.00,184500.52
Probation Officers and Correctional Treatment Specialists,36.82,45.07,37.21,60.28,Community and Social Service Occupations,4.00,4.00,86820.00
"Morticians, Undertakers, and Funeral Arrangers",22.38,29.57,37.19,59.94,Personal Care and Service Occupations,3.00,2.00,25700.00
Environmental Economists,46.14,50.36,37.17,63.09,"Life, Physical, and Social Science Occupations",5.00,3.00,5625.00
Economists,82.53,82.74,37.09,64.59,"Life, Physical, and Social Science Occupations",5.00,3.00,10255.00
Network and Computer Systems Administrators,73.68,85.55,37.09,60.43,Computer and Mathematical Occupations,4.00,5.00,318570.00
Residential Advisors,42.88,52.60,37.07,58.21,Personal Care and Service Occupations,3.00,2.00,82810.00
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",44.60,45.80,36.94,60.74,Healthcare Practitioners and Technical Occupations,5.00,4.00,96385.00
Geodetic Surveyors,19.55,55.84,36.74,58.20,Architecture and Engineering Occupations,4.00,4.00,14417.00
"Geoscientists, Except Hydrologists and Geographers",32.58,59.55,36.64,58.87,"Life, Physical, and Social Science Occupations",5.00,4.00,22510.00
Editors,63.22,69.05,36.63,63.69,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,95480.00
"Opticians, Dispensing",20.21,22.98,36.62,56.77,Healthcare Practitioners and Technical Occupations,3.00,2.00,79690.00
Logistics Analysts,70.71,80.47,36.55,62.36,Business and Financial Operations Occupations,4.00,5.00,77318.00
Search Marketing Strategists,89.65,92.03,36.52,61.14,Business and Financial Operations Occupations,4.00,4.00,430570.00
Media Technical Directors/Managers,23.92,40.64,36.50,61.46,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,24398.00
"Buyers and Purchasing Agents, Farm Products",42.88,53.87,36.50,54.99,Business and Financial Operations Occupations,4.00,4.00,162300.00
"First-Line Supervisors of Mechanics, Installers, and Repairers",48.72,53.83,36.47,57.75,"Installation, Maintenance, and Repair Occupations",3.00,5.00,600680.00
"Educational, Guidance, and Career Counselors and Advisors",40.04,43.76,36.47,65.29,Community and Social Service Occupations,5.00,4.00,342350.00
Order Clerks,62.94,75.59,36.46,53.92,Office and Administrative Support Occupations,2.00,2.00,83420.00
Customs Brokers,43.21,59.30,36.40,59.73,Business and Financial Operations Occupations,3.00,4.00,85752.00
Solar Energy Systems Engineers,42.06,47.45,36.34,53.26,Architecture and Engineering Occupations,4.00,5.00,1591.00
Forensic Science Technicians,50.01,58.06,36.14,58.37,"Life, Physical, and Social Science Occupations",3.00,2.00,19450.00
Neurodiagnostic Technologists,21.05,24.99,36.10,58.27,Healthcare Practitioners and Technical Occupations,3.00,4.00,52948.00
Advertising Sales Agents,83.62,83.84,36.05,57.77,Sales and Related Occupations,4.00,3.00,97470.00
Orthoptists,19.46,23.33,35.78,58.34,Healthcare Practitioners and Technical Occupations,5.00,5.00,9887.00
"Meeting, Convention, and Event Planners",60.62,70.12,35.75,63.67,Business and Financial Operations Occupations,4.00,3.00,134670.00
Precision Agriculture Technicians,37.75,64.15,35.75,53.86,"Life, Physical, and Social Science Occupations",3.00,2.00,7170.00
Aerospace Engineering and Operations Technologists and Technicians,36.82,42.44,35.61,48.81,Architecture and Engineering Occupations,3.00,3.00,9060.00
Aircraft Mechanics and Service Technicians,14.03,18.25,35.57,44.67,"Installation, Maintenance, and Repair Occupations",3.00,4.00,136390.00
Dietetic Technicians,52.44,61.71,35.53,57.42,Healthcare Practitioners and Technical Occupations,3.00,1.00,29950.00
"Political Science Teachers, Postsecondary",79.99,85.40,35.35,60.98,Educational Instruction and Library Occupations,5.00,3.00,17170.00
Acupuncturists,21.71,24.63,35.33,52.64,Healthcare Practitioners and Technical Occupations,5.00,5.00,8440.00
Regulatory Affairs Specialists,40.69,58.47,35.29,61.00,Business and Financial Operations Occupations,4.00,4.00,101060.00
"Special Education Teachers, Preschool",32.51,38.54,35.28,62.03,Educational Instruction and Library Occupations,5.00,3.00,28200.00
"Compensation, Benefits, and Job Analysis Specialists",33.65,53.21,35.25,59.15,Business and Financial Operations Occupations,4.00,3.00,102370.00
Solar Energy Installation Managers,37.36,40.93,35.21,50.55,Construction and Extraction Occupations,3.00,4.00,322868.00
Mechanical Drafters,50.12,69.62,35.20,47.84,Architecture and Engineering Occupations,3.00,4.00,39900.00
Robotics Technicians,40.31,49.93,35.18,47.55,Architecture and Engineering Occupations,3.00,3.00,7340.00
Sustainability Specialists,75.53,75.53,35.09,57.89,Business and Financial Operations Occupations,4.00,4.00,111504.00
"Securities, Commodities, and Financial Services Sales Agents",29.00,67.48,35.09,57.09,Sales and Related Occupations,4.00,5.00,472300.00
Environmental Compliance Inspectors,33.29,44.68,35.07,59.80,Business and Financial Operations Occupations,4.00,4.00,33212.00
"Administrative Law Judges, Adjudicators, and Hearing Officers",40.53,48.50,35.04,64.52,Legal Occupations,5.00,4.00,16230.00
Tutors,71.38,77.21,35.04,62.46,Educational Instruction and Library Occupations,3.00,2.00,174660.00
Air Traffic Controllers,31.15,48.88,35.01,60.75,Transportation and Material Moving Occupations,3.00,3.00,22400.00
Database Administrators,75.35,84.09,35.01,60.43,Computer and Mathematical Occupations,4.00,5.00,49461.98
Civil Engineering Technologists and Technicians,32.67,48.00,34.97,48.57,Architecture and Engineering Occupations,3.00,3.00,62130.00
Biostatisticians,59.69,74.85,34.97,61.44,Computer and Mathematical Occupations,5.00,5.00,11132.00
"Philosophy and Religion Teachers, Postsecondary",75.68,83.55,34.95,62.29,Educational Instruction and Library Occupations,5.00,3.00,20840.00
Geographers,67.97,71.84,34.91,60.35,"Life, Physical, and Social Science Occupations",4.00,2.00,1380.00
Recreation Workers,31.95,51.29,34.87,57.86,Personal Care and Service Occupations,4.00,2.00,309640.00
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",43.74,55.17,34.83,48.32,"Installation, Maintenance, and Repair Occupations",3.00,4.00,59990.00
Recycling Coordinators,19.89,41.10,34.80,55.62,Transportation and Material Moving Occupations,2.00,2.00,61568.00
Mechanical Engineering Technologists and Technicians,33.51,44.55,34.79,49.92,Architecture and Engineering Occupations,3.00,3.00,14740.00
Geothermal Technicians,33.35,40.01,34.77,42.34,"Installation, Maintenance, and Repair Occupations",2.00,2.00,183690.00
Biofuels/Biodiesel Technology and Product Development Managers,22.85,29.44,34.76,52.76,Management Occupations,4.00,5.00,38238.00
Web Administrators,69.77,82.27,34.76,55.90,Computer and Mathematical Occupations,4.00,5.00,189336.00
Traffic Technicians,26.05,48.49,34.73,51.36,Transportation and Material Moving Occupations,3.00,2.00,7580.00
Nuclear Technicians,17.93,31.29,34.68,47.63,"Life, Physical, and Social Science Occupations",3.00,2.00,620.00
Radiation Therapists,19.52,25.64,34.66,52.61,Healthcare Practitioners and Technical Occupations,3.00,4.00,18700.00
Financial Examiners,19.16,34.02,34.50,60.24,Business and Financial Operations Occupations,4.00,4.00,62830.00
Film and Video Editors,72.00,79.84,34.47,52.82,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,28860.00
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,40.24,34.43,43.26,"Installation, Maintenance, and Repair Occupations",3.00,4.00,396870.00
"Environmental Science and Protection Technicians, Including Health",29.56,37.23,34.35,54.21,"Life, Physical, and Social Science Occupations",4.00,3.00,39390.00
"Eligibility Interviewers, Government Programs",55.87,68.18,34.31,60.52,Office and Administrative Support Occupations,3.00,3.00,156260.00
First-Line Supervisors of Construction Trades and Extraction Workers,57.06,61.23,34.30,50.16,Construction and Extraction Occupations,3.00,4.00,483212.00
Diagnostic Medical Sonographers,37.23,46.38,34.20,54.90,Healthcare Practitioners and Technical Occupations,3.00,5.00,86460.00
Mathematicians,71.19,76.41,34.17,57.33,Computer and Mathematical Occupations,5.00,5.00,2220.00
Adapted Physical Education Specialists,33.82,38.19,34.09,59.52,Educational Instruction and Library Occupations,5.00,4.00,39350.00
Intelligence Analysts,76.15,77.46,34.09,60.05,Protective Service Occupations,4.00,4.00,74090.00
Industrial Engineering Technologists and Technicians,30.38,39.93,34.05,49.71,Architecture and Engineering Occupations,3.00,4.00,32570.00
Wind Turbine Service Technicians,29.01,33.26,34.04,43.69,"Installation, Maintenance, and Repair Occupations",3.00,3.00,11220.00
Producers and Directors,28.12,38.85,34.00,61.06,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,24762.00
Cost Estimators,56.37,59.14,33.98,54.73,Business and Financial Operations Occupations,4.00,4.00,219530.00
Occupational Therapy Assistants,16.83,19.47,33.97,55.14,Healthcare Support Occupations,3.00,3.00,47910.00
Correctional Officers and Jailers,18.03,27.69,33.95,56.37,Protective Service Occupations,2.00,4.00,365380.00
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,21.46,33.94,52.46,"Farming, Fishing, and Forestry Occupations",3.00,3.00,29530.00
Patient Representatives,80.85,80.85,33.93,56.48,Healthcare Practitioners and Technical Occupations,3.00,4.00,117145.00
Commercial Pilots,26.52,39.43,33.91,53.23,Transportation and Material Moving Occupations,3.00,3.00,51830.00
"Claims Adjusters, Examiners, and Investigators",33.75,43.66,33.91,61.75,Business and Financial Operations Occupations,4.00,4.00,305020.00
Personal Financial Advisors,79.29,81.92,33.74,59.17,Business and Financial Operations Occupations,4.00,5.00,270480.00
Actuaries,45.67,49.65,33.66,59.48,Computer and Mathematical Occupations,4.00,4.00,28340.00
"Mathematical Science Teachers, Postsecondary",68.09,79.60,33.65,61.50,Educational Instruction and Library Occupations,5.00,4.00,48820.00
Avionics Technicians,29.42,39.85,33.63,48.60,"Installation, Maintenance, and Repair Occupations",3.00,3.00,20900.00
Computer Systems Analysts,70.69,80.71,33.58,60.16,Computer and Mathematical Occupations,3.00,5.00,403416.00
"Electrical and Electronics Installers and Repairers, Transportation Equipment",32.01,36.08,33.50,43.93,"Installation, Maintenance, and Repair Occupations",3.00,3.00,7310.00
Architectural and Civil Drafters,45.47,62.79,33.46,50.88,Architecture and Engineering Occupations,3.00,3.00,109550.00
Millwrights,14.86,15.88,33.35,37.74,"Installation, Maintenance, and Repair Occupations",2.00,4.00,40660.00
Customs and Border Protection Officers,44.11,49.67,33.34,55.73,Protective Service Occupations,3.00,5.00,528885.00
Credit Counselors,57.22,66.54,33.30,58.18,Business and Financial Operations Occupations,4.00,3.00,28110.00
Automotive Engineering Technicians,49.03,63.28,33.22,46.22,Architecture and Engineering Occupations,3.00,3.00,22710.00
Park Naturalists,52.82,56.39,33.18,54.96,"Life, Physical, and Social Science Occupations",4.00,3.00,17599.00
Psychiatric Technicians,15.72,18.76,33.13,54.01,Healthcare Practitioners and Technical Occupations,3.00,2.00,136300.00
Document Management Specialists,76.79,86.01,33.04,58.16,Computer and Mathematical Occupations,4.00,5.00,124166.00
Labor Relations Specialists,37.62,39.28,32.99,58.19,Business and Financial Operations Occupations,4.00,4.00,64590.00
Set and Exhibit Designers,44.77,47.14,32.99,51.38,"Arts, Design, Entertainment, Sports, and Media Occupations",5.00,2.00,10850.00
Water and Wastewater Treatment Plant and System Operators,0.00,16.84,32.99,41.15,Production Occupations,2.00,3.00,126750.00
Online Merchants,84.04,96.90,32.96,51.59,Business and Financial Operations Occupations,4.00,4.00,316417.00
Magnetic Resonance Imaging Technologists,22.02,34.26,32.95,51.60,Healthcare Practitioners and Technical Occupations,3.00,4.00,41530.00
Prosthodontists,18.35,18.35,32.77,51.66,Healthcare Practitioners and Technical Occupations,5.00,5.00,760.00
Social and Human Service Assistants,38.53,42.55,32.65,57.26,Community and Social Service Occupations,4.00,2.00,424220.00
"Agents and Business Managers of Artists, Performers, and Athletes",53.06,63.29,32.64,54.04,Business and Financial Operations Occupations,4.00,3.00,14220.00
First-Line Supervisors of Food Preparation and Serving Workers,36.45,53.71,32.57,52.64,Food Preparation and Serving Related Occupations,2.00,2.00,1187460.00
Human Resources Specialists,75.84,86.37,32.52,54.99,Business and Financial Operations Occupations,4.00,5.00,917460.00
"Wholesale and Retail Buyers, Except Farm Products",66.18,72.85,32.50,55.04,Business and Financial Operations Occupations,3.00,4.00,162300.00
Licensed Practical and Licensed Vocational Nurses,28.83,36.97,32.46,56.11,Healthcare Practitioners and Technical Occupations,3.00,4.00,632430.00
Accountants and Auditors,28.09,43.59,32.30,55.71,Business and Financial Operations Occupations,4.00,5.00,1448290.00
Solar Sales Representatives and Assessors,74.57,78.13,32.29,51.04,Sales and Related Occupations,3.00,4.00,57697.00
Fire Inspectors and Investigators,21.51,27.90,32.28,52.80,Protective Service Occupations,3.00,3.00,14050.00
Medical Assistants,50.91,58.99,32.21,56.87,Healthcare Support Occupations,3.00,2.00,793460.00
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",81.81,85.70,32.20,53.98,Sales and Related Occupations,4.00,4.00,1266860.00
Chemical Equipment Operators and Tenders,22.80,28.15,32.19,43.04,Production Occupations,2.00,3.00,127410.00
Video Game Designers,60.30,63.62,32.13,52.43,Computer and Mathematical Occupations,4.00,5.00,55700.00
Talent Directors,50.97,52.22,32.12,54.01,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,57339.00
Physical Therapist Assistants,13.17,20.60,31.97,53.19,Healthcare Support Occupations,3.00,3.00,108010.00
Anesthesiologist Assistants,10.49,21.01,31.90,51.91,Healthcare Practitioners and Technical Occupations,5.00,5.00,34693.00
Graphic Designers,81.02,87.30,31.86,48.91,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,214260.00
Financial Quantitative Analysts,84.89,85.89,31.82,56.20,Business and Financial Operations Occupations,5.00,4.00,93246.00
"Economics Teachers, Postsecondary",81.89,85.29,31.76,54.48,Educational Instruction and Library Occupations,5.00,4.00,12420.00
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",76.76,81.38,31.75,54.85,Sales and Related Occupations,4.00,5.00,236233.00
Photographers,60.56,69.88,31.74,48.11,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,51230.00
Electrical and Electronic Engineering Technologists and Technicians,42.53,49.89,31.71,45.95,Architecture and Engineering Occupations,3.00,4.00,92710.00
Forest and Conservation Technicians,22.14,26.68,31.71,50.89,"Life, Physical, and Social Science Occupations",3.00,2.00,31080.00
Fashion Designers,55.70,60.91,31.66,51.70,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,20910.00
Environmental Engineering Technologists and Technicians,31.26,46.85,31.61,48.41,Architecture and Engineering Occupations,4.00,2.00,12500.00
Writers and Authors,49.27,62.06,31.57,55.56,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,2783.00
Librarians and Media Collections Specialists,40.40,55.13,31.55,56.82,Educational Instruction and Library Occupations,5.00,3.00,131830.00
Solar Photovoltaic Installers,37.91,38.80,31.47,38.83,Construction and Extraction Occupations,2.00,2.00,28280.00
Information Security Analysts,83.84,85.91,31.38,55.30,Computer and Mathematical Occupations,4.00,5.00,179430.00
Nuclear Power Reactor Operators,8.97,35.94,31.37,42.45,Production Occupations,3.00,4.00,5720.00
"Service Unit Operators, Oil and Gas",6.07,13.51,31.31,39.28,Construction and Extraction Occupations,2.00,3.00,44120.00
Parts Salespersons,45.85,62.45,31.22,46.95,Sales and Related Occupations,2.00,2.00,265060.00
Insurance Sales Agents,64.14,72.66,31.17,49.84,Sales and Related Occupations,4.00,4.00,469480.00
Business Intelligence Analysts,92.34,95.60,30.99,56.84,Computer and Mathematical Occupations,4.00,5.00,122459.00
"Foreign Language and Literature Teachers, Postsecondary",70.20,81.98,30.97,56.66,Educational Instruction and Library Occupations,5.00,4.00,21170.00
Telecommunications Engineering Specialists,67.97,77.37,30.96,52.67,Computer and Mathematical Occupations,3.00,5.00,80488.00
Shuttle Drivers and Chauffeurs,16.14,27.69,30.90,35.93,Transportation and Material Moving Occupations,2.00,2.00,292209.77
Clinical Research Coordinators,46.49,60.10,30.66,55.85,Management Occupations,4.00,5.00,51654.00
Retail Loss Prevention Specialists,43.59,55.08,30.50,50.94,Protective Service Occupations,2.00,2.00,83110.00
Gas Compressor and Gas Pumping Station Operators,0.83,51.97,30.46,39.36,Transportation and Material Moving Occupations,2.00,3.00,5110.00
Database Architects,68.69,78.71,30.45,51.83,Computer and Mathematical Occupations,4.00,5.00,49461.98
Private Detectives and Investigators,60.57,66.41,30.39,54.80,Protective Service Occupations,3.00,2.00,38700.00
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",41.62,53.60,30.33,36.50,"Installation, Maintenance, and Repair Occupations",3.00,3.00,23040.00
Clinical Data Managers,58.62,73.34,30.11,56.70,Computer and Mathematical Occupations,4.00,5.00,104082.00
"Telecommunications Equipment Installers and Repairers, Except Line Installers",38.78,42.48,29.99,47.20,"Installation, Maintenance, and Repair Occupations",3.00,4.00,153890.00
Electrical and Electronics Drafters,46.56,57.61,29.83,47.08,Architecture and Engineering Occupations,3.00,3.00,20020.00
Radiologic Technologists and Technicians,20.21,33.30,29.79,44.76,Healthcare Practitioners and Technical Occupations,3.00,5.00,223460.00
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",32.63,43.17,29.79,49.79,Educational Instruction and Library Occupations,3.00,2.00,382577.50
"Arbitrators, Mediators, and Conciliators",42.77,44.24,29.59,52.94,Legal Occupations,5.00,4.00,7860.00
Technical Writers,85.76,85.88,29.56,52.54,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,55530.00
Choreographers,52.52,52.52,29.46,48.03,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,3430.00
Security Guards,54.66,60.43,29.43,45.43,Protective Service Occupations,2.00,2.00,1241770.00
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,38.03,29.38,54.75,Educational Instruction and Library Occupations,4.00,3.00,36260.00
Budget Analysts,53.93,63.33,29.26,51.40,Business and Financial Operations Occupations,4.00,4.00,47170.00
New Accounts Clerks,46.31,75.46,29.23,47.58,Office and Administrative Support Occupations,3.00,2.00,38030.00
"Captains, Mates, and Pilots of Water Vessels",20.14,28.57,29.15,42.59,Transportation and Material Moving Occupations,3.00,2.00,35390.00
Climate Change Policy Analysts,43.62,46.66,29.08,53.61,"Life, Physical, and Social Science Occupations",5.00,4.00,21539.00
Weatherization Installers and Technicians,22.02,31.10,28.96,39.16,Construction and Extraction Occupations,2.00,3.00,16765.00
Loan Interviewers and Clerks,59.14,76.27,28.94,54.56,Office and Administrative Support Occupations,3.00,3.00,173100.00
Archivists,86.73,86.87,28.89,52.21,Educational Instruction and Library Occupations,5.00,2.00,7050.00
Elevator and Escalator Installers and Repairers,8.02,21.05,28.87,38.92,Construction and Extraction Occupations,3.00,4.00,23340.00
Information Security Engineers,35.06,59.76,28.86,52.24,Computer and Mathematical Occupations,4.00,5.00,17531.00
Audio and Video Technicians,24.21,49.73,28.83,47.92,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,70080.00
Historians,76.04,78.79,28.67,50.98,"Life, Physical, and Social Science Occupations",5.00,2.00,3140.00
Special Effects Artists and Animators,41.87,58.54,28.64,44.93,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,21280.00
Medical and Clinical Laboratory Technicians,39.30,51.19,28.63,42.82,Healthcare Practitioners and Technical Occupations,3.00,4.00,85760.00
Statisticians,71.76,84.65,28.62,53.49,Computer and Mathematical Occupations,5.00,5.00,18668.00
"Tax Examiners and Collectors, and Revenue Agents",30.90,51.23,28.56,50.81,Business and Financial Operations Occupations,3.00,3.00,53530.00
Procurement Clerks,69.39,77.32,28.54,52.22,Office and Administrative Support Occupations,2.00,3.00,59900.00
Interpreters and Translators,87.05,87.70,28.43,53.19,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,53360.00
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,13.67,28.39,41.16,Construction and Extraction Occupations,2.00,3.00,11754.46
Computer Programmers,78.84,83.88,28.33,49.90,Computer and Mathematical Occupations,4.00,5.00,109870.00
"Radio, Cellular, and Tower Equipment Installers and Repairers",36.76,37.99,28.25,43.24,"Installation, Maintenance, and Repair Occupations",3.00,2.00,11400.00
Compliance Officers,31.35,46.50,28.12,51.40,Business and Financial Operations Occupations,4.00,4.00,18302.00
Software Quality Assurance Analysts and Testers,49.63,75.24,28.11,48.76,Computer and Mathematical Occupations,4.00,5.00,725946.38
"News Analysts, Reporters, and Journalists",50.37,58.29,28.09,51.78,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,41550.00
Animal Control Workers,47.12,53.28,28.08,43.77,Protective Service Occupations,2.00,2.00,11790.00
Loan Officers,43.68,59.11,27.93,47.47,Business and Financial Operations Occupations,4.00,5.00,290530.00
Medical Appliance Technicians,8.97,8.97,27.93,43.76,Production Occupations,3.00,2.00,11490.00
Travel Agents,71.20,85.62,27.92,49.12,Sales and Related Occupations,3.00,2.00,59150.00
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",34.58,43.41,27.71,45.99,Transportation and Material Moving Occupations,2.00,2.00,61568.00
"Dispatchers, Except Police, Fire, and Ambulance",71.51,81.27,27.57,48.94,Office and Administrative Support Occupations,2.00,3.00,211000.00
Sound Engineering Technicians,28.35,70.50,27.57,47.22,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,13050.00
Ophthalmic Medical Technologists,7.17,14.15,27.52,48.85,Healthcare Practitioners and Technical Occupations,3.00,4.00,3967.00
Cardiovascular Technologists and Technicians,27.72,33.00,27.51,48.70,Healthcare Practitioners and Technical Occupations,3.00,5.00,61180.00
Bioinformatics Technicians,87.67,89.38,27.49,47.67,Computer and Mathematical Occupations,4.00,5.00,4660.00
Electro-Mechanical and Mechatronics Technologists and Technicians,34.65,38.87,27.48,40.54,Architecture and Engineering Occupations,3.00,3.00,7340.00
