title_current,config,pct_first,pct_last,pct_delta
Music Therapists,all_ceiling,11.66,40.95,29.29
Administrative Services Managers,all_ceiling,21.00,46.12,25.11
"Morticians, Undertakers, and Funeral Arrangers",all_ceiling,22.38,29.57,7.18
Geodetic Surveyors,all_ceiling,15.85,55.84,39.99
"Geoscientists, Except Hydrologists and Geographers",all_ceiling,26.31,59.55,33.23
"Opticians, Dispensing",all_ceiling,20.21,22.98,2.77
Media Technical Directors/Managers,all_ceiling,23.92,40.64,16.72
Neurodiagnostic Technologists,all_ceiling,12.74,24.99,12.25
Orthoptists,all_ceiling,13.64,23.33,9.69
Aircraft Mechanics and Service Technicians,all_ceiling,14.03,18.25,4.22
Acupuncturists,all_ceiling,7.33,24.63,17.30
"Special Education Teachers, Preschool",all_ceiling,23.26,38.54,15.28
"Securities, Commodities, and Financial Services Sales Agents",all_ceiling,29.00,67.48,38.48
Air Traffic Controllers,all_ceiling,25.44,48.88,23.44
Recreation Workers,all_ceiling,29.24,51.29,22.05
Recycling Coordinators,all_ceiling,13.88,41.10,27.22
Biofuels/Biodiesel Technology and Product Development Managers,all_ceiling,16.40,29.44,13.04
Traffic Technicians,all_ceiling,21.51,48.49,26.98
Nuclear Technicians,all_ceiling,17.93,31.29,13.36
Radiation Therapists,all_ceiling,13.57,25.64,12.07
Financial Examiners,all_ceiling,13.44,34.02,20.59
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",all_ceiling,27.05,40.24,13.19
"Environmental Science and Protection Technicians, Including Health",all_ceiling,21.88,37.23,15.35
Industrial Engineering Technologists and Technicians,all_ceiling,30.38,39.93,9.55
Wind Turbine Service Technicians,all_ceiling,29.01,33.26,4.25
Producers and Directors,all_ceiling,28.12,38.85,10.73
Occupational Therapy Assistants,all_ceiling,14.51,19.47,4.96
Correctional Officers and Jailers,all_ceiling,15.05,27.69,12.64
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",all_ceiling,7.87,21.46,13.59
Commercial Pilots,all_ceiling,23.39,39.43,16.03
Avionics Technicians,all_ceiling,24.26,39.85,15.59
"Electrical and Electronics Installers and Repairers, Transportation Equipment",all_ceiling,23.50,36.08,12.58
Millwrights,all_ceiling,14.86,15.88,1.02
Psychiatric Technicians,all_ceiling,12.21,18.76,6.55
Water and Wastewater Treatment Plant and System Operators,all_ceiling,0.00,16.84,16.84
Magnetic Resonance Imaging Technologists,all_ceiling,16.48,34.26,17.78
Prosthodontists,all_ceiling,5.07,18.35,13.27
Licensed Practical and Licensed Vocational Nurses,all_ceiling,14.11,36.97,22.86
Accountants and Auditors,all_ceiling,28.09,43.59,15.51
Fire Inspectors and Investigators,all_ceiling,21.51,27.90,6.39
Chemical Equipment Operators and Tenders,all_ceiling,14.71,28.15,13.44
Physical Therapist Assistants,all_ceiling,12.47,20.60,8.13
Anesthesiologist Assistants,all_ceiling,10.13,21.01,10.88
Forest and Conservation Technicians,all_ceiling,16.84,26.68,9.84
Environmental Engineering Technologists and Technicians,all_ceiling,31.26,46.85,15.59
Nuclear Power Reactor Operators,all_ceiling,8.97,35.94,26.96
"Service Unit Operators, Oil and Gas",all_ceiling,6.07,13.51,7.44
Shuttle Drivers and Chauffeurs,all_ceiling,16.14,27.69,11.55
Gas Compressor and Gas Pumping Station Operators,all_ceiling,0.83,51.97,51.14
Radiologic Technologists and Technicians,all_ceiling,20.21,33.30,13.08
