title_current,config,pct_first,pct_last,pct_delta
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",agentic_confirmed,1.81,5.70,3.88
"Environmental Science and Protection Technicians, Including Health",agentic_confirmed,7.33,7.61,0.28
Industrial Engineering Technologists and Technicians,agentic_confirmed,1.84,3.12,1.27
Wind Turbine Service Technicians,agentic_confirmed,0.00,0.00,0.00
Producers and Directors,agentic_confirmed,17.42,44.72,27.30
Occupational Therapy Assistants,agentic_confirmed,5.30,5.30,0.00
Correctional Officers and Jailers,agentic_confirmed,0.00,0.00,0.00
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",agentic_confirmed,0.00,3.23,3.23
Commercial Pilots,agentic_confirmed,1.60,6.13,4.53
Avionics Technicians,agentic_confirmed,0.00,0.00,0.00
"Electrical and Electronics Installers and Repairers, Transportation Equipment",agentic_confirmed,4.36,12.73,8.37
Millwrights,agentic_confirmed,0.00,0.00,0.00
Psychiatric Technicians,agentic_confirmed,0.00,0.00,0.00
Water and Wastewater Treatment Plant and System Operators,agentic_confirmed,0.00,0.00,0.00
Magnetic Resonance Imaging Technologists,agentic_confirmed,4.81,4.81,0.00
Prosthodontists,agentic_confirmed,10.45,10.45,0.00
Licensed Practical and Licensed Vocational Nurses,agentic_confirmed,13.50,13.50,0.00
Accountants and Auditors,agentic_confirmed,43.56,46.01,2.44
Fire Inspectors and Investigators,agentic_confirmed,0.00,0.00,0.00
Chemical Equipment Operators and Tenders,agentic_confirmed,7.94,7.94,0.00
Physical Therapist Assistants,agentic_confirmed,0.00,0.00,0.00
Anesthesiologist Assistants,agentic_confirmed,0.00,0.00,0.00
Forest and Conservation Technicians,agentic_confirmed,5.18,5.30,0.12
Environmental Engineering Technologists and Technicians,agentic_confirmed,13.95,18.20,4.25
Nuclear Power Reactor Operators,agentic_confirmed,0.00,0.00,0.00
"Service Unit Operators, Oil and Gas",agentic_confirmed,3.66,3.66,0.00
Shuttle Drivers and Chauffeurs,agentic_confirmed,2.13,4.97,2.84
Gas Compressor and Gas Pumping Station Operators,agentic_confirmed,0.00,0.00,0.00
Radiologic Technologists and Technicians,agentic_confirmed,2.26,3.76,1.49
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",agentic_confirmed,8.25,8.25,0.00
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",agentic_confirmed,27.77,51.00,23.23
Preventive Medicine Physicians,all_confirmed,8.25,19.43,11.18
Urologists,all_confirmed,12.78,27.09,14.31
Nurse Anesthetists,all_confirmed,16.64,16.64,0.00
General Internal Medicine Physicians,all_confirmed,16.70,16.70,0.00
Physical Medicine and Rehabilitation Physicians,all_confirmed,2.39,16.03,13.64
"Education Administrators, Kindergarten through Secondary",all_confirmed,22.43,22.43,0.00
Audiologists,all_confirmed,20.68,21.24,0.56
Nuclear Engineers,all_confirmed,15.01,16.68,1.67
Emergency Management Directors,all_confirmed,25.40,26.92,1.51
Optometrists,all_confirmed,18.26,30.19,11.93
Geothermal Production Managers,all_confirmed,8.75,10.04,1.28
Neuropsychologists,all_confirmed,25.94,25.94,0.00
Hospitalists,all_confirmed,18.60,18.60,0.00
Hydroelectric Production Managers,all_confirmed,9.16,10.08,0.92
Coroners,all_confirmed,26.43,32.08,5.65
Emergency Medicine Physicians,all_confirmed,16.51,16.51,0.00
Orthotists and Prosthetists,all_confirmed,12.99,12.99,0.00
Biomass Power Plant Managers,all_confirmed,13.83,18.11,4.28
Podiatrists,all_confirmed,23.08,23.08,0.00
Occupational Health and Safety Specialists,all_confirmed,24.88,29.38,4.50
Biofuels Production Managers,all_confirmed,4.10,4.10,0.00
Allergists and Immunologists,all_confirmed,13.20,30.31,17.10
Epidemiologists,all_confirmed,24.67,31.54,6.87
Media Programming Directors,all_confirmed,21.73,21.73,0.00
Clinical Neuropsychologists,all_confirmed,18.17,18.17,0.00
"Ophthalmologists, Except Pediatric",all_confirmed,10.96,10.96,0.00
Materials Engineers,all_confirmed,24.34,25.35,1.01
Health Education Specialists,all_confirmed,25.86,25.86,0.00
Family Medicine Physicians,all_confirmed,21.06,21.06,0.00
Chief Sustainability Officers,all_confirmed,14.93,32.17,17.24
Aviation Inspectors,all_confirmed,15.13,15.13,0.00
"Education and Childcare Administrators, Preschool and Daycare",all_confirmed,27.09,27.09,0.00
"Physicians, Pathologists",all_confirmed,22.36,22.36,0.00
First-Line Supervisors of Firefighting and Prevention Workers,all_confirmed,3.73,3.73,0.00
Critical Care Nurses,all_confirmed,11.65,24.02,12.36
Anesthesiologists,all_confirmed,5.14,5.78,0.64
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,all_confirmed,21.06,21.06,0.00
Financial Managers,all_confirmed,25.11,25.11,0.00
Acute Care Nurses,all_confirmed,19.58,32.08,12.50
Marine Engineers and Naval Architects,all_confirmed,29.69,29.69,0.00
Quality Control Systems Managers,all_confirmed,16.85,17.89,1.03
First-Line Supervisors of Security Workers,all_confirmed,21.55,21.55,0.00
Loss Prevention Managers,all_confirmed,12.01,16.16,4.15
Gambling Managers,all_confirmed,21.88,21.88,0.00
Aerospace Engineers,all_confirmed,24.41,27.46,3.05
Postmasters and Mail Superintendents,all_confirmed,12.59,17.28,4.69
Oral and Maxillofacial Surgeons,all_confirmed,9.98,13.47,3.49
Occupational Health and Safety Technicians,all_confirmed,14.57,21.75,7.18
"Transportation, Storage, and Distribution Managers",all_confirmed,27.35,27.35,0.00
First-Line Supervisors of Police and Detectives,all_confirmed,12.51,18.41,5.90
Sports Medicine Physicians,all_confirmed,19.06,25.31,6.25
Funeral Home Managers,all_confirmed,19.66,19.66,0.00
Dermatologists,all_confirmed,11.53,28.56,17.04
"Career/Technical Education Teachers, Postsecondary",all_confirmed,32.38,32.38,0.00
First-Line Supervisors of Correctional Officers,all_confirmed,20.71,26.39,5.69
"Mining and Geological Engineers, Including Mining Safety Engineers",all_confirmed,25.19,25.19,0.00
Orthodontists,all_confirmed,22.50,31.79,9.29
Wind Energy Engineers,all_confirmed,31.40,31.40,0.00
Petroleum Engineers,all_confirmed,19.94,20.42,0.47
Nanotechnology Engineering Technologists and Technicians,all_confirmed,23.23,23.23,0.00
"Family and Consumer Sciences Teachers, Postsecondary",all_confirmed,31.46,31.46,0.00
Industrial Production Managers,all_confirmed,17.07,19.54,2.47
Environmental Restoration Planners,all_confirmed,28.08,28.49,0.41
Facilities Managers,all_confirmed,7.55,7.55,0.00
Hydroelectric Plant Technicians,all_confirmed,10.99,10.99,0.00
Police and Sheriff's Patrol Officers,all_confirmed,26.44,26.44,0.00
Medical Dosimetrists,all_confirmed,32.41,32.41,0.00
Hearing Aid Specialists,all_confirmed,10.55,14.11,3.57
Industrial Ecologists,all_confirmed,21.19,23.49,2.29
Conservation Scientists,all_confirmed,14.57,14.57,0.00
First-Line Supervisors of Personal Service Workers,all_confirmed,22.92,27.95,5.03
Clinical and Counseling Psychologists,all_confirmed,28.86,28.86,0.00
"Farmers, Ranchers, and Other Agricultural Managers",all_confirmed,12.11,12.11,0.00
Construction and Building Inspectors,all_confirmed,16.25,24.32,8.07
Brownfield Redevelopment Specialists and Site Managers,all_confirmed,15.93,15.93,0.00
Detectives and Criminal Investigators,all_confirmed,31.20,31.20,0.00
Midwives,all_confirmed,20.49,31.44,10.95
Fundraising Managers,all_confirmed,11.92,11.92,0.00
"Special Education Teachers, Elementary School",all_confirmed,19.90,19.90,0.00
Wind Energy Operations Managers,all_confirmed,9.98,18.02,8.05
"Judges, Magistrate Judges, and Magistrates",all_confirmed,10.97,24.47,13.50
Foresters,all_confirmed,12.88,12.88,0.00
Equal Opportunity Representatives and Officers,all_confirmed,26.00,31.77,5.77
"Airline Pilots, Copilots, and Flight Engineers",all_confirmed,14.43,14.89,0.46
Range Managers,all_confirmed,13.80,13.80,0.00
General and Operations Managers,all_confirmed,17.96,27.87,9.92
Manufactured Building and Mobile Home Installers,all_confirmed,25.71,26.17,0.46
Respiratory Therapists,all_confirmed,13.55,15.65,2.10
Airfield Operations Specialists,all_confirmed,27.12,29.10,1.99
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",all_confirmed,16.10,22.93,6.84
Wind Energy Development Managers,all_confirmed,13.94,13.94,0.00
Forest Fire Inspectors and Prevention Specialists,all_confirmed,6.29,12.20,5.91
Athletic Trainers,all_confirmed,21.25,31.80,10.55
Aircraft Cargo Handling Supervisors,all_confirmed,20.85,20.85,0.00
Energy Auditors,all_confirmed,18.46,29.04,10.58
Transit and Railroad Police,all_confirmed,13.96,24.91,10.95
Firefighters,all_confirmed,13.47,13.47,0.00
Solar Thermal Installers and Technicians,all_confirmed,8.43,8.43,0.00
Music Therapists,all_confirmed,11.66,30.91,19.25
Administrative Services Managers,all_confirmed,21.00,21.21,0.20
"Morticians, Undertakers, and Funeral Arrangers",all_confirmed,22.38,22.38,0.00
Geodetic Surveyors,all_confirmed,15.85,19.55,3.70
"Geoscientists, Except Hydrologists and Geographers",all_confirmed,26.31,32.58,6.27
"Opticians, Dispensing",all_confirmed,20.21,20.21,0.00
Media Technical Directors/Managers,all_confirmed,23.92,23.92,0.00
Neurodiagnostic Technologists,all_confirmed,12.74,21.05,8.32
Orthoptists,all_confirmed,13.64,19.46,5.82
Aircraft Mechanics and Service Technicians,all_confirmed,14.03,14.03,0.00
Acupuncturists,all_confirmed,7.33,21.71,14.38
"Special Education Teachers, Preschool",all_confirmed,23.26,32.51,9.25
"Securities, Commodities, and Financial Services Sales Agents",all_confirmed,29.00,29.00,0.00
Air Traffic Controllers,all_confirmed,25.44,31.15,5.70
Recreation Workers,all_confirmed,29.24,31.95,2.71
Recycling Coordinators,all_confirmed,13.88,19.89,6.01
Biofuels/Biodiesel Technology and Product Development Managers,all_confirmed,16.40,22.85,6.45
Traffic Technicians,all_confirmed,21.51,26.05,4.53
Nuclear Technicians,all_confirmed,17.93,17.93,0.00
Radiation Therapists,all_confirmed,13.57,19.52,5.95
Financial Examiners,all_confirmed,13.44,19.16,5.73
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",all_confirmed,27.05,27.05,0.00
"Environmental Science and Protection Technicians, Including Health",all_confirmed,21.88,29.56,7.68
Industrial Engineering Technologists and Technicians,all_confirmed,30.38,30.38,0.00
Wind Turbine Service Technicians,all_confirmed,29.01,29.01,0.00
Producers and Directors,all_confirmed,28.12,28.12,0.00
Occupational Therapy Assistants,all_confirmed,14.51,16.83,2.32
Correctional Officers and Jailers,all_confirmed,15.05,18.03,2.98
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",all_confirmed,7.87,7.87,0.00
Commercial Pilots,all_confirmed,23.39,26.52,3.13
Avionics Technicians,all_confirmed,24.26,29.42,5.16
"Electrical and Electronics Installers and Repairers, Transportation Equipment",all_confirmed,23.50,32.01,8.51
Millwrights,all_confirmed,14.86,14.86,0.00
Psychiatric Technicians,all_confirmed,12.21,15.72,3.52
Water and Wastewater Treatment Plant and System Operators,all_confirmed,0.00,0.00,0.00
Magnetic Resonance Imaging Technologists,all_confirmed,16.48,22.02,5.54
Prosthodontists,all_confirmed,5.07,18.35,13.27
Licensed Practical and Licensed Vocational Nurses,all_confirmed,14.11,28.83,14.72
Accountants and Auditors,all_confirmed,28.09,28.09,0.00
Fire Inspectors and Investigators,all_confirmed,21.51,21.51,0.00
Chemical Equipment Operators and Tenders,all_confirmed,14.71,22.80,8.09
Physical Therapist Assistants,all_confirmed,12.47,13.17,0.71
Anesthesiologist Assistants,all_confirmed,10.13,10.49,0.35
Forest and Conservation Technicians,all_confirmed,16.84,22.14,5.30
Environmental Engineering Technologists and Technicians,all_confirmed,31.26,31.26,0.00
Nuclear Power Reactor Operators,all_confirmed,8.97,8.97,0.00
"Service Unit Operators, Oil and Gas",all_confirmed,6.07,6.07,0.00
Shuttle Drivers and Chauffeurs,all_confirmed,16.14,16.14,0.00
Gas Compressor and Gas Pumping Station Operators,all_confirmed,0.83,0.83,0.00
Radiologic Technologists and Technicians,all_confirmed,20.21,20.21,0.00
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",all_confirmed,32.63,32.63,0.00
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",all_confirmed,24.89,24.89,0.00
Preventive Medicine Physicians,agentic_ceiling,2.19,13.33,11.14
Urologists,agentic_ceiling,6.18,24.64,18.47
Nurse Anesthetists,agentic_ceiling,4.52,8.17,3.65
General Internal Medicine Physicians,agentic_ceiling,5.08,10.88,5.79
Physical Medicine and Rehabilitation Physicians,agentic_ceiling,0.00,4.52,4.52
"Education Administrators, Kindergarten through Secondary",agentic_ceiling,13.28,24.71,11.43
Audiologists,agentic_ceiling,3.05,7.48,4.43
Nuclear Engineers,agentic_ceiling,15.58,18.25,2.67
Emergency Management Directors,agentic_ceiling,17.50,21.71,4.21
Optometrists,agentic_ceiling,3.82,19.12,15.30
Geothermal Production Managers,agentic_ceiling,13.40,23.07,9.67
Neuropsychologists,agentic_ceiling,8.01,13.74,5.74
Hospitalists,agentic_ceiling,5.62,15.41,9.79
Hydroelectric Production Managers,agentic_ceiling,8.85,11.17,2.32
Coroners,agentic_ceiling,2.58,9.10,6.52
Emergency Medicine Physicians,agentic_ceiling,8.56,15.40,6.84
Orthotists and Prosthetists,agentic_ceiling,0.04,3.93,3.89
Biomass Power Plant Managers,agentic_ceiling,17.27,30.17,12.90
Podiatrists,agentic_ceiling,4.79,4.92,0.13
Occupational Health and Safety Specialists,agentic_ceiling,7.89,28.06,20.17
Biofuels Production Managers,agentic_ceiling,7.71,18.20,10.49
Allergists and Immunologists,agentic_ceiling,2.88,33.60,30.72
Epidemiologists,agentic_ceiling,16.02,28.29,12.27
Media Programming Directors,agentic_ceiling,18.80,27.76,8.97
Clinical Neuropsychologists,agentic_ceiling,5.79,10.21,4.42
"Ophthalmologists, Except Pediatric",agentic_ceiling,3.44,11.04,7.60
Materials Engineers,agentic_ceiling,17.20,25.82,8.62
Health Education Specialists,agentic_ceiling,18.07,24.84,6.77
Family Medicine Physicians,agentic_ceiling,8.32,11.05,2.73
Chief Sustainability Officers,agentic_ceiling,13.05,15.16,2.11
Aviation Inspectors,agentic_ceiling,9.40,11.70,2.30
"Education and Childcare Administrators, Preschool and Daycare",agentic_ceiling,17.65,24.92,7.27
"Physicians, Pathologists",agentic_ceiling,9.17,18.13,8.97
First-Line Supervisors of Firefighting and Prevention Workers,agentic_ceiling,13.34,16.15,2.81
Critical Care Nurses,agentic_ceiling,4.65,15.09,10.44
Anesthesiologists,agentic_ceiling,1.97,5.53,3.55
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,agentic_ceiling,10.71,22.90,12.19
Financial Managers,agentic_ceiling,33.14,49.83,16.69
Acute Care Nurses,agentic_ceiling,6.36,22.66,16.30
Marine Engineers and Naval Architects,agentic_ceiling,17.81,22.59,4.78
Quality Control Systems Managers,agentic_ceiling,24.80,29.02,4.22
First-Line Supervisors of Security Workers,agentic_ceiling,22.55,37.49,14.94
Loss Prevention Managers,agentic_ceiling,20.04,28.43,8.39
Gambling Managers,agentic_ceiling,14.80,19.47,4.67
Aerospace Engineers,agentic_ceiling,17.84,25.32,7.48
Postmasters and Mail Superintendents,agentic_ceiling,35.58,61.38,25.80
Oral and Maxillofacial Surgeons,agentic_ceiling,3.89,3.89,0.00
Occupational Health and Safety Technicians,agentic_ceiling,8.57,21.55,12.98
"Transportation, Storage, and Distribution Managers",agentic_ceiling,19.83,25.34,5.51
First-Line Supervisors of Police and Detectives,agentic_ceiling,22.07,25.92,3.85
Sports Medicine Physicians,agentic_ceiling,7.28,14.19,6.91
Funeral Home Managers,agentic_ceiling,22.60,28.90,6.29
Dermatologists,agentic_ceiling,2.05,10.32,8.27
"Career/Technical Education Teachers, Postsecondary",agentic_ceiling,14.23,25.35,11.12
First-Line Supervisors of Correctional Officers,agentic_ceiling,10.50,23.01,12.51
"Mining and Geological Engineers, Including Mining Safety Engineers",agentic_ceiling,20.84,24.06,3.22
Orthodontists,agentic_ceiling,1.65,10.27,8.62
Wind Energy Engineers,agentic_ceiling,9.15,18.41,9.27
Petroleum Engineers,agentic_ceiling,18.51,22.85,4.34
Nanotechnology Engineering Technologists and Technicians,agentic_ceiling,17.13,23.26,6.13
"Family and Consumer Sciences Teachers, Postsecondary",agentic_ceiling,19.09,31.00,11.91
Industrial Production Managers,agentic_ceiling,26.36,37.26,10.90
Environmental Restoration Planners,agentic_ceiling,4.19,6.67,2.48
Facilities Managers,agentic_ceiling,19.52,37.37,17.85
Hydroelectric Plant Technicians,agentic_ceiling,10.24,16.28,6.04
Police and Sheriff's Patrol Officers,agentic_ceiling,6.66,9.60,2.94
Medical Dosimetrists,agentic_ceiling,22.07,31.25,9.18
Hearing Aid Specialists,agentic_ceiling,0.61,4.90,4.29
Industrial Ecologists,agentic_ceiling,5.08,21.76,16.69
Conservation Scientists,agentic_ceiling,7.00,10.98,3.98
First-Line Supervisors of Personal Service Workers,agentic_ceiling,21.36,34.58,13.22
Clinical and Counseling Psychologists,agentic_ceiling,13.70,23.56,9.86
"Farmers, Ranchers, and Other Agricultural Managers",agentic_ceiling,10.48,14.74,4.26
Construction and Building Inspectors,agentic_ceiling,8.28,32.43,24.14
Brownfield Redevelopment Specialists and Site Managers,agentic_ceiling,14.94,22.01,7.07
Detectives and Criminal Investigators,agentic_ceiling,13.51,26.19,12.68
Midwives,agentic_ceiling,7.94,23.24,15.30
Fundraising Managers,agentic_ceiling,29.03,40.98,11.95
"Special Education Teachers, Elementary School",agentic_ceiling,5.86,12.05,6.20
Wind Energy Operations Managers,agentic_ceiling,22.32,33.55,11.23
"Judges, Magistrate Judges, and Magistrates",agentic_ceiling,3.20,15.76,12.56
Foresters,agentic_ceiling,1.07,1.80,0.73
Equal Opportunity Representatives and Officers,agentic_ceiling,5.50,26.85,21.35
"Airline Pilots, Copilots, and Flight Engineers",agentic_ceiling,19.40,25.77,6.37
Range Managers,agentic_ceiling,10.01,10.90,0.89
General and Operations Managers,agentic_ceiling,28.89,42.78,13.89
Manufactured Building and Mobile Home Installers,agentic_ceiling,3.61,4.66,1.05
Respiratory Therapists,agentic_ceiling,4.79,6.08,1.29
Airfield Operations Specialists,agentic_ceiling,8.94,21.14,12.20
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",agentic_ceiling,18.87,29.14,10.27
Wind Energy Development Managers,agentic_ceiling,6.62,19.43,12.80
Forest Fire Inspectors and Prevention Specialists,agentic_ceiling,24.04,36.37,12.33
Athletic Trainers,agentic_ceiling,16.21,26.52,10.31
Aircraft Cargo Handling Supervisors,agentic_ceiling,20.36,28.74,8.38
Energy Auditors,agentic_ceiling,26.45,36.75,10.30
Transit and Railroad Police,agentic_ceiling,6.21,10.49,4.28
Firefighters,agentic_ceiling,3.04,5.76,2.72
Solar Thermal Installers and Technicians,agentic_ceiling,1.78,8.33,6.55
Music Therapists,agentic_ceiling,3.31,31.88,28.57
Administrative Services Managers,agentic_ceiling,21.89,39.54,17.65
"Morticians, Undertakers, and Funeral Arrangers",agentic_ceiling,12.89,18.52,5.63
Geodetic Surveyors,agentic_ceiling,28.36,48.95,20.59
"Geoscientists, Except Hydrologists and Geographers",agentic_ceiling,33.00,50.36,17.36
"Opticians, Dispensing",agentic_ceiling,5.14,7.18,2.04
Media Technical Directors/Managers,agentic_ceiling,15.80,30.24,14.45
Neurodiagnostic Technologists,agentic_ceiling,1.91,12.11,10.20
Orthoptists,agentic_ceiling,3.24,17.32,14.08
Aircraft Mechanics and Service Technicians,agentic_ceiling,5.12,9.01,3.90
Acupuncturists,agentic_ceiling,1.46,10.82,9.36
"Special Education Teachers, Preschool",agentic_ceiling,8.08,22.38,14.30
"Securities, Commodities, and Financial Services Sales Agents",agentic_ceiling,53.13,65.91,12.78
Air Traffic Controllers,agentic_ceiling,12.68,31.46,18.78
Recreation Workers,agentic_ceiling,15.38,33.09,17.70
Recycling Coordinators,agentic_ceiling,14.32,31.67,17.35
Biofuels/Biodiesel Technology and Product Development Managers,agentic_ceiling,4.97,7.44,2.46
Traffic Technicians,agentic_ceiling,25.83,39.55,13.72
Nuclear Technicians,agentic_ceiling,13.08,15.57,2.49
Radiation Therapists,agentic_ceiling,12.28,16.50,4.23
Financial Examiners,agentic_ceiling,8.73,23.46,14.73
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",agentic_ceiling,14.85,20.62,5.76
"Environmental Science and Protection Technicians, Including Health",agentic_ceiling,12.00,22.48,10.48
Industrial Engineering Technologists and Technicians,agentic_ceiling,19.31,25.77,6.46
Wind Turbine Service Technicians,agentic_ceiling,4.82,15.50,10.68
Producers and Directors,agentic_ceiling,18.79,26.64,7.85
Occupational Therapy Assistants,agentic_ceiling,3.83,7.94,4.11
Correctional Officers and Jailers,agentic_ceiling,5.12,17.05,11.93
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",agentic_ceiling,8.02,14.62,6.60
Commercial Pilots,agentic_ceiling,14.31,27.93,13.61
Avionics Technicians,agentic_ceiling,18.28,21.48,3.20
"Electrical and Electronics Installers and Repairers, Transportation Equipment",agentic_ceiling,6.57,23.79,17.22
Millwrights,agentic_ceiling,1.21,3.33,2.12
Psychiatric Technicians,agentic_ceiling,1.99,6.97,4.98
Water and Wastewater Treatment Plant and System Operators,agentic_ceiling,7.67,16.84,9.18
Magnetic Resonance Imaging Technologists,agentic_ceiling,9.60,23.82,14.23
Prosthodontists,agentic_ceiling,0.00,10.45,10.45
Licensed Practical and Licensed Vocational Nurses,agentic_ceiling,11.30,32.73,21.44
Accountants and Auditors,agentic_ceiling,28.24,35.32,7.08
Fire Inspectors and Investigators,agentic_ceiling,13.90,15.76,1.86
Chemical Equipment Operators and Tenders,agentic_ceiling,4.76,13.29,8.52
Physical Therapist Assistants,agentic_ceiling,5.10,8.41,3.31
Anesthesiologist Assistants,agentic_ceiling,6.60,10.64,4.04
Forest and Conservation Technicians,agentic_ceiling,12.87,14.91,2.03
Environmental Engineering Technologists and Technicians,agentic_ceiling,29.53,36.75,7.21
Nuclear Power Reactor Operators,agentic_ceiling,25.88,32.84,6.97
"Service Unit Operators, Oil and Gas",agentic_ceiling,4.10,7.87,3.77
Shuttle Drivers and Chauffeurs,agentic_ceiling,13.65,16.72,3.07
Gas Compressor and Gas Pumping Station Operators,agentic_ceiling,14.36,51.14,36.78
Radiologic Technologists and Technicians,agentic_ceiling,11.78,21.52,9.74
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",agentic_ceiling,10.40,23.36,12.96
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",agentic_ceiling,13.95,23.42,9.47
