title_current,pct,pct_ceiling,emp_nat,major,job_zone,outlook,ai_projection,exposure_projection
Orthodontists,31.79,31.79,5150.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,44.47,67.08
Wind Energy Engineers,31.40,32.49,3499.00,Architecture and Engineering Occupations,4.00,5.00,44.41,61.53
Petroleum Engineers,20.42,32.02,18970.00,Architecture and Engineering Occupations,4.00,4.00,44.27,65.93
Nanotechnology Engineering Technologists and Technicians,23.23,31.88,40840.00,Architecture and Engineering Occupations,4.00,3.00,43.77,58.62
"Family and Consumer Sciences Teachers, Postsecondary",31.46,50.12,2630.00,Educational Instruction and Library Occupations,5.00,3.00,43.76,71.56
Industrial Production Managers,19.54,45.17,51505.00,Management Occupations,4.00,5.00,43.66,67.40
Environmental Restoration Planners,28.49,32.52,7041.00,"Life, Physical, and Social Science Occupations",5.00,4.00,43.61,66.17
Facilities Managers,7.55,41.14,184500.52,Management Occupations,3.00,5.00,43.60,66.26
Hydroelectric Plant Technicians,10.99,22.03,2387.00,Production Occupations,3.00,4.00,43.56,50.83
Police and Sheriff's Patrol Officers,26.44,30.37,138105.00,Protective Service Occupations,3.00,5.00,42.94,64.97
Medical Dosimetrists,32.41,49.52,3970.00,Healthcare Practitioners and Technical Occupations,4.00,5.00,42.32,64.60
Hearing Aid Specialists,14.11,14.11,10580.00,Healthcare Practitioners and Technical Occupations,3.00,2.00,42.25,59.54
Industrial Ecologists,23.49,37.34,26139.00,"Life, Physical, and Social Science Occupations",5.00,4.00,42.04,61.47
Conservation Scientists,14.57,23.08,5444.00,"Life, Physical, and Social Science Occupations",4.00,3.00,41.76,61.02
First-Line Supervisors of Personal Service Workers,27.95,48.69,107697.71,Personal Care and Service Occupations,3.00,2.00,41.36,66.77
Clinical and Counseling Psychologists,28.86,40.47,72190.00,"Life, Physical, and Social Science Occupations",5.00,5.00,41.31,69.22
"Farmers, Ranchers, and Other Agricultural Managers",12.11,20.79,5910.00,Management Occupations,4.00,4.00,41.18,57.96
Construction and Building Inspectors,24.32,40.89,85782.00,Construction and Extraction Occupations,3.00,4.00,41.15,59.42
Brownfield Redevelopment Specialists and Site Managers,15.93,35.42,22567.00,Management Occupations,4.00,4.00,41.07,65.40
Detectives and Criminal Investigators,31.20,44.48,18772.00,Protective Service Occupations,3.00,4.00,41.05,65.68
Midwives,31.44,37.18,36970.00,Healthcare Practitioners and Technical Occupations,5.00,2.00,40.77,62.90
Fundraising Managers,11.92,42.87,58664.44,Management Occupations,4.00,4.00,40.73,65.25
"Special Education Teachers, Elementary School",19.90,28.55,92873.33,Educational Instruction and Library Occupations,4.00,4.00,40.47,69.61
Wind Energy Operations Managers,18.02,40.39,56843.00,Management Occupations,3.00,4.00,40.36,59.99
"Judges, Magistrate Judges, and Magistrates",24.47,24.47,25580.00,Legal Occupations,5.00,4.00,40.30,73.20
Foresters,12.88,13.95,9650.00,"Life, Physical, and Social Science Occupations",4.00,3.00,40.18,66.04
Equal Opportunity Representatives and Officers,31.77,36.57,63415.00,Business and Financial Operations Occupations,4.00,4.00,39.57,65.93
"Airline Pilots, Copilots, and Flight Engineers",14.89,33.76,99300.00,Transportation and Material Moving Occupations,4.00,3.00,39.49,59.74
Range Managers,13.80,16.23,2547.00,"Life, Physical, and Social Science Occupations",4.00,3.00,39.34,63.61
General and Operations Managers,27.87,52.31,3584420.00,Management Occupations,4.00,5.00,38.90,64.52
Manufactured Building and Mobile Home Installers,26.17,26.17,2610.00,"Installation, Maintenance, and Repair Occupations",2.00,2.00,38.54,47.24
Respiratory Therapists,15.65,21.73,136420.00,Healthcare Practitioners and Technical Occupations,3.00,5.00,38.52,59.10
Airfield Operations Specialists,29.10,42.91,16640.00,Transportation and Material Moving Occupations,3.00,3.00,38.33,61.78
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",22.93,42.80,124130.00,Building and Grounds Cleaning and Maintenance Occupations,3.00,4.00,38.02,56.22
Wind Energy Development Managers,13.94,29.04,76053.00,Management Occupations,4.00,4.00,37.90,59.51
Forest Fire Inspectors and Prevention Specialists,12.20,39.56,2780.00,Protective Service Occupations,3.00,3.00,37.87,56.83
Athletic Trainers,31.80,35.78,28950.00,Healthcare Practitioners and Technical Occupations,5.00,3.00,37.76,60.17
Aircraft Cargo Handling Supervisors,20.85,30.24,10160.00,Transportation and Material Moving Occupations,2.00,2.00,37.75,58.54
Energy Auditors,29.04,45.55,51428.00,Construction and Extraction Occupations,3.00,4.00,37.66,54.98
Transit and Railroad Police,24.91,30.28,3000.00,Protective Service Occupations,3.00,5.00,37.61,58.09
Firefighters,13.47,17.36,332240.00,Protective Service Occupations,3.00,3.00,37.50,51.34
Solar Thermal Installers and Technicians,8.43,12.18,217906.00,Construction and Extraction Occupations,3.00,4.00,37.44,47.93
Music Therapists,30.91,40.95,10189.00,Healthcare Practitioners and Technical Occupations,4.00,4.00,37.35,61.39
Administrative Services Managers,21.21,46.12,184500.52,Management Occupations,3.00,5.00,37.21,63.77
"Morticians, Undertakers, and Funeral Arrangers",22.38,29.57,25700.00,Personal Care and Service Occupations,3.00,2.00,37.19,59.94
Geodetic Surveyors,19.55,55.84,14417.00,Architecture and Engineering Occupations,4.00,4.00,36.74,58.20
"Geoscientists, Except Hydrologists and Geographers",32.58,59.55,22510.00,"Life, Physical, and Social Science Occupations",5.00,4.00,36.64,58.87
"Opticians, Dispensing",20.21,22.98,79690.00,Healthcare Practitioners and Technical Occupations,3.00,2.00,36.62,56.77
Media Technical Directors/Managers,23.92,40.64,24398.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,36.50,61.46
Neurodiagnostic Technologists,21.05,24.99,52948.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,36.10,58.27
Orthoptists,19.46,23.33,9887.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,35.78,58.34
Aircraft Mechanics and Service Technicians,14.03,18.25,136390.00,"Installation, Maintenance, and Repair Occupations",3.00,4.00,35.57,44.67
Acupuncturists,21.71,24.63,8440.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,35.33,52.64
