category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap,emp_nat,median_wage,major
"Geoscientists, Except Hydrologists and Geographers",32.58,7334.06,727831644.30,59.55,13403.78,1330191476.80,26.96,6069.73,602359832.50,22510.00,99240.00,"Life, Physical, and Social Science Occupations"
Brownfield Redevelopment Specialists and Site Managers,15.93,3595.02,490899501.87,35.42,7993.65,1091532970.57,19.49,4398.63,600633468.70,22567.00,136550.00,Management Occupations
Postmasters and Mail Superintendents,17.28,2386.38,221288647.70,62.17,8584.99,796086577.94,44.89,6198.62,574797930.25,13810.00,92730.00,Management Occupations
Air Traffic Controllers,31.15,6976.69,1008689977.71,48.88,10949.44,1583070147.27,17.74,3972.75,574380169.56,22400.00,144580.00,Transportation and Material Moving Occupations
Information Security Engineers,35.06,6146.22,669754044.88,59.76,10475.73,1141540387.45,24.70,4329.51,471786342.57,17531.00,108970.00,Computer and Mathematical Occupations
Advertising and Promotions Managers,53.17,11218.05,1424243219.10,68.99,14557.84,1848263989.43,15.83,3339.80,424020770.33,21100.00,126960.00,Management Occupations
Digital Forensics Analysts,45.34,7948.65,866164753.08,64.98,11391.98,1241383988.95,19.64,3443.33,375219235.88,17531.00,108970.00,Computer and Mathematical Occupations
Special Effects Artists and Animators,41.87,8909.25,889142760.16,58.54,12457.53,1243261560.89,16.67,3548.28,354118800.73,21280.00,99800.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
Penetration Testers,50.76,8898.32,969650173.05,68.24,11963.30,1303640477.12,17.48,3064.97,333990304.07,17531.00,108970.00,Computer and Mathematical Occupations
Police Identification and Records Officers,22.07,3957.16,370311344.66,41.61,7459.27,698038841.17,19.53,3502.11,327727496.51,17928.00,93580.00,Protective Service Occupations
Elevator and Escalator Installers and Repairers,8.02,1870.96,199406933.97,21.05,4914.11,523745605.97,13.04,3043.15,324338672.00,23340.00,106580.00,Construction and Extraction Occupations
Blockchain Engineers,48.02,8419.03,917422194.08,64.02,11223.79,1223055868.63,16.00,2804.75,305633674.54,17531.00,108970.00,Computer and Mathematical Occupations
Statisticians,71.76,13395.76,1383781730.53,84.65,15801.99,1632345665.17,12.89,2406.23,248563934.64,18668.00,103300.00,Computer and Mathematical Occupations
Data Scientists,46.04,3175.71,357553064.69,76.82,5298.73,596583909.02,30.78,2123.02,239030844.34,6898.00,112590.00,Computer and Mathematical Occupations
Detectives and Criminal Investigators,31.20,5857.29,548124788.81,44.48,8349.45,781341913.17,13.28,2492.17,233217124.36,18772.00,93580.00,Protective Service Occupations
Nuclear Power Reactor Operators,8.97,513.36,62942655.52,35.94,2055.72,252051386.70,26.96,1542.36,189108731.18,5720.00,122610.00,Production Occupations
Biostatisticians,59.69,6644.84,686411589.33,74.85,8331.76,860671114.86,15.15,1686.93,174259525.53,11132.00,103300.00,Computer and Mathematical Occupations
Geneticists,47.63,4843.97,452088151.88,64.10,6519.01,608419577.79,16.47,1675.04,156331425.91,10170.00,93330.00,"Life, Physical, and Social Science Occupations"
Biofuels Production Managers,4.10,271.93,33023094.82,22.30,1479.12,179624061.94,18.20,1207.19,146600967.12,6633.00,121440.00,Management Occupations
Medical Dosimetrists,32.41,1286.87,177728950.15,49.52,1966.01,271524951.66,17.11,679.14,93796001.51,3970.00,138110.00,Healthcare Practitioners and Technical Occupations
Nuclear Technicians,17.93,111.17,11588117.43,31.29,194.02,20224490.81,13.36,82.85,8636373.38,620.00,104240.00,"Life, Physical, and Social Science Occupations"
