mode,config_label,workers_affected,wages_affected
All Confirmed,All Confirmed,61298957.33,3993190229832.57
Conversational,Human Conversation,54085274.55,3466123927452.91
Agentic,Agentic Confirmed,31104331.10,2161947480917.13
