title_current,config,overall_gap,skills_gap,abilities_gap,knowledge_gap
"Bookkeeping, Accounting, and Auditing Clerks",all_ceiling,2.36,2.88,1.06,3.13
Jewelers and Precious Stone and Metal Workers,all_ceiling,2.35,4.62,0.74,1.68
"Packers and Packagers, Hand",all_ceiling,2.34,5.30,0.08,1.63
Photographic Process Workers and Processing Machine Operators,all_ceiling,2.33,1.42,0.68,4.89
"Hotel, Motel, and Resort Desk Clerks",all_ceiling,2.33,1.70,2.58,2.70
Bakers,all_ceiling,2.32,3.53,1.27,2.15
Maids and Housekeeping Cleaners,all_ceiling,2.31,2.16,0.37,4.40
Telephone Operators,all_ceiling,2.29,2.17,0.96,3.76
Team Assemblers,all_ceiling,2.27,2.75,1.20,2.84
Farm Labor Contractors,all_ceiling,2.26,1.69,2.59,2.50
First-Line Supervisors of Housekeeping and Janitorial Workers,all_ceiling,2.25,1.69,2.50,2.55
Motion Picture Projectionists,all_ceiling,2.24,2.54,-0.06,4.23
Animal Breeders,all_ceiling,2.23,4.04,0.46,2.20
Occupational Therapy Aides,all_ceiling,2.23,2.24,2.02,2.43
Massage Therapists,all_ceiling,2.22,3.03,-0.86,4.49
Insurance Claims and Policy Processing Clerks,all_ceiling,2.21,2.39,2.54,1.70
Passenger Attendants,all_ceiling,2.19,1.44,2.01,3.13
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",all_ceiling,2.19,2.13,-0.04,4.49
File Clerks,all_ceiling,2.18,3.37,1.33,1.85
Veterinary Assistants and Laboratory Animal Caretakers,all_ceiling,2.18,2.94,1.01,2.60
Floral Designers,all_ceiling,2.18,1.83,-0.29,5.00
Merchandise Displayers and Window Trimmers,all_ceiling,2.18,2.72,-0.71,4.51
Bill and Account Collectors,all_ceiling,2.15,1.65,1.59,3.19
"Paper Goods Machine Setters, Operators, and Tenders",all_ceiling,2.14,1.52,0.05,4.87
Demonstrators and Product Promoters,all_ceiling,2.14,1.94,2.06,2.41
Proofreaders and Copy Markers,all_ceiling,2.13,2.20,1.41,2.80
"Cooks, Institution and Cafeteria",all_ceiling,2.13,2.21,1.27,2.91
"Tailors, Dressmakers, and Custom Sewers",all_ceiling,2.10,3.88,-0.67,3.09
Tile and Stone Setters,all_ceiling,2.09,3.28,-0.78,3.77
Brokerage Clerks,all_ceiling,2.08,1.58,0.83,3.83
Upholsterers,all_ceiling,2.07,3.69,-2.01,4.52
Print Binding and Finishing Workers,all_ceiling,2.06,2.66,0.17,3.36
"Preschool Teachers, Except Special Education",all_ceiling,2.05,1.14,1.21,3.82
"Farmworkers, Farm, Ranch, and Aquacultural Animals",all_ceiling,2.04,2.27,-0.07,3.92
"Meat, Poultry, and Fish Cutters and Trimmers",all_ceiling,2.04,5.47,0.72,-0.08
"Cooks, Private Household",all_ceiling,2.01,3.12,1.39,1.53
First-Line Supervisors of Food Preparation and Serving Workers,all_ceiling,2.01,0.90,1.24,3.89
Psychiatric Aides,all_ceiling,2.01,1.60,0.47,3.96
Customer Service Representatives,all_ceiling,2.00,1.43,1.61,2.95
Telemarketers,all_ceiling,1.99,0.65,1.02,4.31
Surveying and Mapping Technicians,all_ceiling,1.99,2.44,1.68,1.86
Pest Control Workers,all_ceiling,1.99,1.71,-0.10,4.37
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",all_ceiling,1.99,2.36,-0.42,4.03
Histotechnologists,all_ceiling,1.98,2.05,-0.24,4.13
"Floor Layers, Except Carpet, Wood, and Hard Tiles",all_ceiling,1.98,5.32,0.18,0.43
Travel Guides,all_ceiling,1.95,0.48,0.47,4.91
Fiberglass Laminators and Fabricators,all_ceiling,1.95,3.71,-0.43,2.57
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",all_ceiling,1.95,2.15,-0.70,4.39
Dental Assistants,all_ceiling,1.95,3.27,0.12,2.45
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",all_ceiling,1.93,1.28,0.50,4.03
Self-Enrichment Teachers,all_ceiling,1.92,2.64,2.19,0.94
New Accounts Clerks,all_ceiling,1.92,1.49,1.91,2.37
Museum Technicians and Conservators,all_ceiling,1.91,2.04,-0.57,4.25
Cement Masons and Concrete Finishers,all_ceiling,1.91,3.71,-1.40,3.41
Dental Laboratory Technicians,all_ceiling,1.89,2.96,-0.56,3.27
