category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
"Property, Real Estate, and Community Association Managers",57.07,33.17,17.98,33.22,3.30,-0.15,-1.68,-0.14
Computer Network Architects,57.05,53.89,43.94,53.39,1.18,0.36,-5.47,0.26
Patient Representatives,56.99,75.13,41.53,22.41,0.40,2.01,-0.37,-2.11
First-Line Supervisors of Retail Sales Workers,56.92,48.44,23.00,37.26,1.62,0.55,-2.49,-0.31
Private Detectives and Investigators,56.83,6.26,38.15,34.52,1.75,-3.08,0.22,0.03
"Middle School Teachers, Except Special and Career/Technical Education",56.74,43.46,25.03,21.29,2.26,0.47,-0.86,-1.28
"Recreation and Fitness Studies Teachers, Postsecondary",56.68,57.53,32.73,28.35,1.09,1.20,-0.89,-1.46
"Fine Artists, Including Painters, Sculptors, and Illustrators",56.57,43.74,38.31,30.16,2.80,0.15,-0.39,-1.71
"Elementary School Teachers, Except Special Education",56.49,38.60,26.07,19.18,2.90,0.24,-0.64,-1.39
"Chemistry Teachers, Postsecondary",56.42,44.76,28.34,28.54,2.39,0.43,-1.06,-1.04
"Human Resources Assistants, Except Payroll and Timekeeping",56.21,67.30,21.97,61.41,0.24,0.97,-7.15,0.55
Models,56.20,11.74,46.84,4.67,1.55,-0.88,0.81,-1.43
Network and Computer Systems Administrators,56.11,53.76,42.87,77.95,-0.12,-0.29,-1.48,3.83
Computer Network Support Specialists,55.75,62.03,42.28,80.99,-0.31,0.12,-1.83,2.74
Solar Sales Representatives and Assessors,55.50,49.76,35.67,50.67,1.21,0.24,-5.28,0.36
Information Security Analysts,55.47,69.90,31.68,67.59,-0.04,1.00,-4.21,0.79
"Switchboard Operators, Including Answering Service",55.34,39.30,40.49,68.98,0.34,-1.10,-0.95,2.68
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",54.94,51.43,31.14,31.55,1.46,0.90,-1.18,-1.11
Atmospheric and Space Scientists,54.80,16.99,32.43,55.89,1.01,-2.32,-0.46,1.11
Film and Video Editors,54.78,55.41,22.74,43.46,0.86,0.93,-4.23,-0.05
Transportation Planners,54.75,12.23,45.27,34.83,1.42,-3.28,0.53,-0.12
Computer and Information Systems Managers,54.73,53.35,30.89,45.80,1.00,0.79,-4.24,-0.04
Photographers,54.72,32.66,41.86,39.72,3.46,-1.57,-0.05,-0.30
"Directors, Religious Activities and Education",54.69,25.65,30.60,15.33,3.96,-0.40,-0.06,-1.39
First-Line Supervisors of Office and Administrative Support Workers,54.62,38.90,23.83,36.39,2.67,0.04,-1.97,-0.18
Fashion Designers,54.52,10.94,40.95,36.28,1.56,-3.48,0.32,0.04
Computer Systems Engineers/Architects,54.50,48.98,39.28,57.11,0.68,-0.14,-3.43,1.24
Cost Estimators,54.30,14.31,40.65,38.67,1.57,-3.55,0.24,0.11
Budget Analysts,53.93,7.97,41.32,43.48,1.16,-5.67,0.26,0.38
Editors,53.93,36.77,42.04,41.10,4.97,-1.25,-0.21,-0.36
Computer User Support Specialists,53.79,69.54,44.63,64.81,-0.44,1.50,-2.24,0.70
Transportation Engineers,53.74,10.23,29.27,30.31,2.70,-1.99,-0.10,-0.04
Political Scientists,53.65,40.71,45.43,8.10,1.09,0.21,0.48,-5.88
Database Architects,53.37,54.80,38.92,63.08,0.09,0.25,-3.46,1.60
Biostatisticians,53.31,32.50,40.80,57.86,0.74,-2.06,-0.52,1.49
"Architects, Except Landscape and Naval",53.15,53.07,29.93,45.89,0.86,0.85,-4.98,0.04
Demonstrators and Product Promoters,53.10,38.49,41.67,40.14,8.18,-0.91,-0.28,-0.56
Computer Numerically Controlled Tool Programmers,53.08,20.34,53.08,46.43,0.76,-7.95,0.76,0.23
Proofreaders and Copy Markers,53.07,12.53,46.09,51.40,0.78,-10.33,0.31,0.65
Health Informatics Specialists,52.85,42.82,52.85,55.61,0.36,-6.89,0.36,1.05
Park Naturalists,52.82,0.00,52.26,38.63,0.83,-5.96,0.80,0.12
Chemists,52.71,30.88,33.78,25.35,5.30,-0.46,-0.17,-1.16
Survey Researchers,52.70,34.71,21.39,27.94,3.71,0.04,-1.33,-0.53
"Title Examiners, Abstractors, and Searchers",52.69,38.04,28.02,35.79,3.56,-0.06,-1.54,-0.31
"Kindergarten Teachers, Except Special Education",52.68,14.92,26.89,16.94,5.16,-0.94,-0.06,-0.75
"Secondary School Teachers, Except Special and Career/Technical Education",52.56,48.06,24.53,20.23,1.44,0.89,-0.90,-1.43
