category,pct_mcp_ceiling,pct_conv_baseline,delta
Transport patients or clients.,14.17,13.40,0.76
Collect environmental or biological samples.,15.60,14.86,0.74
Write material for artistic or commercial purposes.,82.02,81.32,0.71
Direct construction or extraction activities.,29.50,28.91,0.59
"Inspect commercial, industrial, or production systems or equipment.",11.51,10.98,0.53
Maintain medical equipment or instruments.,4.43,4.03,0.39
Perform administrative or clerical activities.,69.99,69.62,0.36
Operate construction or excavation equipment.,1.22,0.91,0.32
Operate cutting or grinding equipment.,3.29,3.05,0.23
Clean medical equipment or facilities.,6.74,6.53,0.21
Dispose of waste or debris.,0.14,0.14,0.01
Shape materials to create products.,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,0.00,0.00,0.00
Tend watercraft.,0.00,0.00,0.00
Supervise activities in correctional facilities.,0.00,0.00,0.00
Hunt animals.,0.00,0.00,0.00
Embalm corpses.,0.00,0.00,0.00
Climb equipment or structures.,0.00,0.00,0.00
"Develop safety standards, policies, or procedures.",7.63,7.76,-0.13
"Coordinate activities with clients, agencies, or organizations.",33.61,33.80,-0.19
Operate industrial processing or production equipment.,7.80,8.01,-0.21
Build structures.,0.79,1.47,-0.68
Estimate project development or operational costs.,24.42,25.20,-0.78
Evaluate green technologies or processes.,8.93,9.86,-0.92
Prescribe medical treatments or devices.,12.26,13.25,-0.98
Determine values or prices of goods or services.,64.43,65.47,-1.04
Repair workpieces or products.,0.65,1.74,-1.10
Inspect vehicles.,4.74,6.05,-1.31
"Investigate individuals' background, behavior, or activities.",58.55,59.90,-1.35
Identify business or organizational opportunities.,64.97,66.33,-1.35
Advise others on the design or use of technologies.,66.25,67.61,-1.36
Administer therapeutic treatments.,5.29,6.66,-1.37
Maintain vehicles in working condition.,4.45,6.01,-1.56
Inspect facilities or equipment.,7.71,9.28,-1.57
Operate agricultural or forestry equipment.,0.00,1.73,-1.73
Sew garments or materials.,0.00,1.75,-1.75
Prepare proposals or grant applications.,50.79,52.55,-1.76
Manage agricultural or forestry operations.,0.73,2.65,-1.93
Apply protective solutions or coatings.,1.55,3.85,-2.30
Position materials or components for assembly.,7.09,9.40,-2.31
Administer basic health care or medical treatments.,6.15,8.52,-2.37
Maintain tools or equipment.,3.98,6.36,-2.38
Mediate disputes.,16.31,18.73,-2.42
Monitor health conditions of humans or animals.,16.45,19.06,-2.60
Present arts or entertainment performances.,25.41,28.02,-2.62
Test characteristics of materials or products.,21.51,24.22,-2.71
"Clean tools, equipment, facilities, or work areas.",0.56,3.35,-2.78
Gather information from physical or electronic sources.,67.91,70.70,-2.79
Develop scientific or mathematical theories or models.,63.18,66.02,-2.84
Perform general construction or extraction activities.,1.18,4.20,-3.01
Prepare industrial materials for processing or use.,1.47,4.68,-3.21
"Clean workpieces, finished products, or other objects.",0.00,3.28,-3.28
Fabricate devices or components.,3.13,6.47,-3.34
Repair vehicle components.,0.17,3.55,-3.39
Examine materials or documentation for accuracy or compliance.,58.53,61.96,-3.44
Confer with healthcare or other professionals about patient care.,13.47,16.95,-3.47
Develop systems or practices to mitigate or resolve environmental problems.,4.72,8.21,-3.49
Operate energy production or distribution equipment.,3.16,6.70,-3.54
Design structures or facilities.,31.88,35.46,-3.57
Drill holes in earth or materials.,0.00,3.73,-3.73
"Join parts using soldering, welding, or brazing techniques.",1.86,5.59,-3.73
Adjust medical equipment to ensure adequate performance.,6.81,10.59,-3.79
Cut trees or other vegetation.,1.42,5.25,-3.83
"Research laws, precedents, or other legal data.",88.47,92.52,-4.05
Cut materials.,3.39,7.48,-4.09
Develop plans for managing or preserving natural resources.,0.00,4.14,-4.14
Present research or technical information.,65.90,70.06,-4.16
Follow standard healthcare safety procedures to protect patient and staff members.,8.61,13.12,-4.52
Evaluate the quality or accuracy of data.,50.18,54.83,-4.65
Explain financial information.,69.78,74.51,-4.73
Issue documentation.,52.14,56.93,-4.79
Intervene in crisis situations or emergencies.,5.09,10.23,-5.14
"Develop educational programs, plans, or procedures.",31.54,36.69,-5.15
Position workpieces or materials on equipment.,2.50,7.66,-5.16
Fabricate medical devices.,0.00,5.26,-5.26
"Discuss legal matters with clients, disputants, or legal professionals or staff.",19.71,25.09,-5.37
Install plumbing or piping equipment or systems.,1.61,7.06,-5.45
Install commercial or production equipment.,9.32,14.82,-5.50
Develop organizational or program goals or objectives.,38.65,44.15,-5.50
Apply hygienic or cosmetic agents to skin or hair.,5.35,10.88,-5.53
Evaluate scholarly work.,82.42,87.96,-5.54
Assemble equipment or components.,2.31,8.07,-5.75
Design electrical or electronic systems or equipment.,31.08,36.96,-5.88
Install energy or heating equipment.,1.63,7.61,-5.97
Research agricultural processes or practices.,13.99,19.96,-5.98
Assist healthcare practitioners during medical procedures.,4.85,11.02,-6.17
Process forensic or legal evidence.,3.59,10.02,-6.44
Prepare medical equipment or work areas for use.,10.35,17.12,-6.76
Obtain information about goods or services.,70.57,77.84,-7.28
Analyze performance of systems or equipment.,56.44,63.78,-7.35
Explain technical details of products or services.,74.31,81.90,-7.58
"Promote products, services, or programs.",65.11,72.71,-7.60
Consult legal materials or public records.,65.63,73.34,-7.72
Respond to customer problems or inquiries.,67.05,75.18,-8.13
Examine people or animals to assess health conditions or physical characteristics.,6.95,15.16,-8.21
Take physical measurements of patients or clients.,6.12,14.50,-8.37
Assess compliance with environmental standards or regulations.,11.47,19.85,-8.38
"Evaluate the characteristics, usefulness, or performance of products or technologies.",52.86,61.35,-8.49
Supervise personnel activities.,10.19,18.70,-8.51
Develop professional relationships or networks.,50.89,59.56,-8.67
"Explain regulations, policies, or procedures.",58.56,67.28,-8.72
Train animals.,0.00,9.27,-9.27
Repair electrical or electronic equipment.,13.07,22.50,-9.43
Conduct amusement or gaming activities.,45.48,54.92,-9.44
Interview people to obtain information.,40.76,50.46,-9.70
"Develop news, entertainment, or artistic content.",57.25,67.64,-10.39
Repair tools or equipment.,2.17,12.73,-10.56
Apply materials to fill gaps or imperfections.,0.00,10.72,-10.72
Present information in legal proceedings.,3.32,14.16,-10.84
Advise others on financial matters.,62.60,73.44,-10.85
"Set up classrooms, facilities, educational materials, or equipment.",38.79,49.74,-10.95
Develop marketing or promotional materials.,73.85,85.16,-11.31
Develop sustainable organizational or business policies or practices.,8.87,20.98,-12.10
Develop technical specifications for products or operations.,52.04,64.53,-12.49
Groom or style hair.,0.00,12.52,-12.52
"Evaluate designs, specifications, or other technical data.",46.55,59.23,-12.68
Plan work activities.,40.30,54.18,-13.88
Prepare informational or instructional materials.,62.67,76.56,-13.89
Determine resource needs of projects or operations.,40.45,54.36,-13.91
Provide information or assistance to the public.,52.41,66.50,-14.09
Fit assistive devices to patients or clients.,0.00,14.15,-14.15
Analyze health or medical data.,48.84,63.08,-14.24
"Evaluate programs, practices, or processes.",59.28,73.85,-14.57
Research issues related to earth sciences.,48.62,63.38,-14.76
Provide food or beverage services.,3.70,18.79,-15.09
Communicate with others about business strategies.,46.97,62.48,-15.51
Create artistic designs or performances.,39.22,54.86,-15.64
Verify personal information.,33.45,49.64,-16.18
Develop patient or client care or treatment plans.,31.51,48.22,-16.71
"Research organizational behavior, processes, or performance.",49.93,66.69,-16.76
Order medical tests or procedures.,20.64,37.90,-17.26
"Assist scientists, scholars, or technical specialists with projects or research.",45.30,62.96,-17.66
Collaborate in the development of educational programs.,20.53,38.22,-17.69
Prepare specimens or materials for testing.,4.78,22.51,-17.73
Research biological or ecological phenomena.,53.80,71.94,-18.14
Advise others on products or services.,57.49,75.82,-18.32
Develop operational or technical procedures or standards.,47.53,66.44,-18.91
Obtain formal documentation or authorization.,35.91,54.98,-19.07
Teach academic or vocational subjects.,39.08,58.57,-19.49
Assess characteristics or impacts of regulations or policies.,45.85,65.61,-19.76
"Interpret language, cultural, or religious information for others.",63.00,82.80,-19.81
Design materials or devices.,31.91,51.90,-19.99
Advise patients or clients on medical issues.,42.64,62.86,-20.22
Counsel others about personal matters.,29.70,50.39,-20.70
Maintain current knowledge in area of expertise.,51.23,72.04,-20.80
Purchase goods or services.,36.21,57.82,-21.61
Analyze biological or chemical substances or related data.,43.12,65.14,-22.03
"Distribute materials, supplies, or resources.",35.69,57.85,-22.16
Research technology designs or applications.,47.83,70.03,-22.20
Research historical or social issues.,66.26,89.14,-22.88
Process animal carcasses.,0.00,24.51,-24.51
Investigate criminal or legal matters.,31.56,56.27,-24.72
Develop public or community health programs.,6.34,31.16,-24.82
Confer with clients to determine needs or order specifications.,32.36,57.20,-24.84
"Provide general assistance to others, such as customers, patrons, or motorists.",38.39,63.49,-25.10
Advise others on business or operational matters.,35.67,61.01,-25.35
Communicate with others about operational plans or activities.,31.28,57.75,-26.47
