date,workers_confirmed,dataset
2024-09-30,39453802.14,AEI Both + Micro 2024-09-30
2024-12-23,39453802.14,AEI Both + Micro 2024-12-23
2025-03-06,46586516.23,AEI Both + Micro 2025-03-06
2025-08-11,56673995.80,AEI Both + Micro 2025-08-11
2025-11-13,60073205.48,AEI Both + Micro 2025-11-13
2026-02-12,61298957.33,AEI Both + Micro 2026-02-12
