config_key,config_label,category,pct_tasks_affected,workers_affected
all_confirmed,All Confirmed,Protective Service Occupations,33.27,1370571.58
all_confirmed,All Confirmed,Construction and Extraction Occupations,13.88,1338971.01
all_confirmed,All Confirmed,"Arts, Design, Entertainment, Sports, and Media Occupations",47.59,1176721.97
all_confirmed,All Confirmed,Personal Care and Service Occupations,34.27,1138612.05
all_confirmed,All Confirmed,Architecture and Engineering Occupations,40.43,1119726.49
all_confirmed,All Confirmed,Community and Social Service Occupations,47.26,961319.91
all_confirmed,All Confirmed,"Life, Physical, and Social Science Occupations",41.77,614566.92
all_confirmed,All Confirmed,Legal Occupations,48.28,521711.86
all_confirmed,All Confirmed,Building and Grounds Cleaning and Maintenance Occupations,18.46,476603.66
all_confirmed,All Confirmed,"Farming, Fishing, and Forestry Occupations",13.72,41214.17
agentic_ceiling,Agentic Ceiling,Office and Administrative Support Occupations,62.07,12880563.23
agentic_ceiling,Agentic Ceiling,Sales and Related Occupations,68.47,9184867.85
agentic_ceiling,Agentic Ceiling,Business and Financial Operations Occupations,52.63,5564634.07
agentic_ceiling,Agentic Ceiling,Management Occupations,41.71,5525817.49
agentic_ceiling,Agentic Ceiling,Computer and Mathematical Occupations,75.01,3822099.27
agentic_ceiling,Agentic Ceiling,Transportation and Material Moving Occupations,19.93,3620974.08
agentic_ceiling,Agentic Ceiling,Educational Instruction and Library Occupations,41.84,3290851.18
agentic_ceiling,Agentic Ceiling,Food Preparation and Serving Related Occupations,20.87,2983510.15
agentic_ceiling,Agentic Ceiling,Healthcare Practitioners and Technical Occupations,22.53,2791033.69
agentic_ceiling,Agentic Ceiling,Healthcare Support Occupations,23.04,1424859.98
agentic_ceiling,Agentic Ceiling,Production Occupations,14.90,1256634.11
agentic_ceiling,Agentic Ceiling,Protective Service Occupations,26.29,1115671.48
agentic_ceiling,Agentic Ceiling,"Arts, Design, Entertainment, Sports, and Media Occupations",46.83,1104541.60
agentic_ceiling,Agentic Ceiling,Architecture and Engineering Occupations,37.96,1005885.32
agentic_ceiling,Agentic Ceiling,"Installation, Maintenance, and Repair Occupations",14.32,912810.92
agentic_ceiling,Agentic Ceiling,Personal Care and Service Occupations,27.91,885052.80
agentic_ceiling,Agentic Ceiling,Construction and Extraction Occupations,8.28,871246.20
agentic_ceiling,Agentic Ceiling,Community and Social Service Occupations,35.36,643981.73
agentic_ceiling,Agentic Ceiling,"Life, Physical, and Social Science Occupations",38.11,546101.99
agentic_ceiling,Agentic Ceiling,Legal Occupations,41.33,486290.51
agentic_ceiling,Agentic Ceiling,Building and Grounds Cleaning and Maintenance Occupations,15.12,404462.60
agentic_ceiling,Agentic Ceiling,"Farming, Fishing, and Forestry Occupations",8.46,35838.16
