category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,agg_level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,agg_level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Miscellaneous Managers,31.27,205423.86,28050628559.00,AEI Both + Micro 2026-02-12,broad,47.22,305484.83,41713953997.03,All 2026-02-18,broad,15.94,100060.97,13663325438.03
Teaching Assistants,30.39,293634.48,11064069936.42,AEI Both + Micro 2026-02-12,broad,41.28,392170.93,14705264782.03,All 2026-02-18,broad,10.89,98536.45,3641194845.61
Human Resources Workers,55.45,720138.32,53003602399.55,AEI Both + Micro 2026-02-12,broad,63.91,817848.85,60148920307.02,All 2026-02-18,broad,8.45,97710.52,7145317907.46
Grounds Maintenance Workers,9.45,62681.24,2462935791.22,AEI Both + Micro 2026-02-12,broad,12.41,159556.80,6155134276.93,All 2026-02-18,broad,2.97,96875.55,3692198485.71
Miscellaneous Business Operations Specialists,78.77,711956.00,57860664312.96,AEI Both + Micro 2026-02-12,broad,89.85,808254.21,65686819524.80,All 2026-02-18,broad,11.08,96298.21,7826155211.84
Postal Service Workers,24.08,114360.38,6647298306.45,AEI Both + Micro 2026-02-12,broad,45.00,209479.50,12164846691.60,All 2026-02-18,broad,20.92,95119.12,5517548385.15
Health Practitioner Support Technologists and Technicians,24.36,324579.60,14235203010.83,AEI Both + Micro 2026-02-12,broad,31.97,419087.74,18453694269.27,All 2026-02-18,broad,7.61,94508.14,4218491258.44
Counter and Rental Clerks and Parts Salespersons,58.32,403582.82,15420408628.09,AEI Both + Micro 2026-02-12,broad,72.88,497504.78,18991743330.50,All 2026-02-18,broad,14.56,93921.96,3571334702.40
First-Line Supervisors of Production and Operating Workers,32.67,223843.33,15935406585.35,AEI Both + Micro 2026-02-12,broad,45.40,311051.96,22143788800.06,All 2026-02-18,broad,12.73,87208.63,6208382214.71
Tellers,45.63,154852.43,6091894738.84,AEI Both + Micro 2026-02-12,broad,71.25,241789.76,9512009108.47,All 2026-02-18,broad,25.62,86937.33,3420114369.62
Entertainment and Recreation Managers,27.96,223959.49,20134171677.46,AEI Both + Micro 2026-02-12,broad,42.47,308545.54,27737335156.46,All 2026-02-18,broad,14.50,84586.05,7603163479.00
Packaging and Filling Machine Operators and Tenders,5.10,19588.81,801182325.72,AEI Both + Micro 2026-02-12,broad,26.56,101944.72,4169539116.19,All 2026-02-18,broad,21.45,82355.91,3368356790.47
Passenger Vehicle Drivers,18.87,127445.54,5735643644.89,AEI Both + Micro 2026-02-12,broad,28.44,209296.02,9359156475.51,All 2026-02-18,broad,9.58,81850.48,3623512830.62
Insurance Claims and Policy Processing Clerks,36.27,83089.99,4025709898.51,AEI Both + Micro 2026-02-12,broad,69.60,159441.79,7724954724.64,All 2026-02-18,broad,33.33,76351.80,3699244826.13
Education and Childcare Administrators,29.27,165670.97,16305880371.26,AEI Both + Micro 2026-02-12,broad,42.68,240551.89,23568637625.26,All 2026-02-18,broad,13.41,74880.92,7262757254.00
"Production, Planning, and Expediting Clerks",46.06,177340.70,10244972523.58,AEI Both + Micro 2026-02-12,broad,65.36,251620.73,14536129764.05,All 2026-02-18,broad,19.29,74280.03,4291157240.47
Security Guards and Gambling Surveillance Officers,45.39,682476.72,26207176206.00,AEI Both + Micro 2026-02-12,broad,61.18,756552.35,29063112456.66,All 2026-02-18,broad,15.79,74075.63,2855936250.66
Automotive Technicians and Repairers,11.89,149308.70,7450516729.45,AEI Both + Micro 2026-02-12,broad,15.61,222119.59,11067033379.35,All 2026-02-18,broad,3.72,72810.88,3616516649.91
Recreation and Fitness Workers,33.53,203146.52,8313010536.29,AEI Both + Micro 2026-02-12,broad,42.83,275864.60,11024323921.23,All 2026-02-18,broad,9.30,72718.07,2711313384.94
"Substitute Teachers, Short-Term",38.11,183416.55,7056034515.43,AEI Both + Micro 2026-02-12,broad,52.79,254076.28,9774314447.84,All 2026-02-18,broad,14.68,70659.73,2718279932.41
Miscellaneous Assemblers and Fabricators,13.85,100921.50,4259896514.84,AEI Both + Micro 2026-02-12,broad,23.36,170292.73,7188056322.14,All 2026-02-18,broad,9.52,69371.23,2928159807.30
Financial Managers,63.09,599710.16,96973132413.62,AEI Both + Micro 2026-02-12,broad,75.65,668278.20,108060584690.77,All 2026-02-18,broad,12.56,68568.04,11087452277.16
"Maintenance and Repair Workers, General",20.80,318519.04,15486395939.01,AEI Both + Micro 2026-02-12,broad,25.12,384740.02,18706059615.33,All 2026-02-18,broad,4.32,66220.97,3219663676.32
Database and Network Administrators and Architects,73.02,458465.07,51518765397.32,AEI Both + Micro 2026-02-12,broad,82.14,521369.00,58386124806.56,All 2026-02-18,broad,9.12,62903.93,6867359409.24
"Sales Representatives, Wholesale and Manufacturing",78.18,1260766.67,91662413344.62,AEI Both + Micro 2026-02-12,broad,82.29,1323081.05,96256130199.67,All 2026-02-18,broad,4.12,62314.38,4593716855.05
Miscellaneous Entertainment Attendants and Related Workers,34.50,158722.58,4906166857.92,AEI Both + Micro 2026-02-12,broad,43.46,220791.46,6814909954.70,All 2026-02-18,broad,8.96,62068.88,1908743096.79
Miscellaneous Production Workers,14.06,48768.00,2111476926.77,AEI Both + Micro 2026-02-12,broad,23.77,108702.64,4648713966.86,All 2026-02-18,broad,9.71,59934.64,2537237040.08
Secondary School Teachers,56.04,696610.00,44949751821.52,AEI Both + Micro 2026-02-12,broad,60.40,756133.51,48791150643.97,All 2026-02-18,broad,4.36,59523.52,3841398822.45
"Nursing Assistants, Orderlies, and Psychiatric Aides",13.39,216605.68,8574102470.91,AEI Both + Micro 2026-02-12,broad,17.02,274862.22,10879950327.28,All 2026-02-18,broad,3.63,58256.54,2305847856.37
Computer and Information Analysts,68.66,485517.55,53569191806.58,AEI Both + Micro 2026-02-12,broad,76.47,538349.04,59130695654.85,All 2026-02-18,broad,7.81,52831.49,5561503848.27
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,107349.42,6420568548.00,AEI Both + Micro 2026-02-12,broad,40.24,159714.53,9552525796.67,All 2026-02-18,broad,13.19,52365.11,3131957248.67
"Inspectors, Testers, Sorters, Samplers, and Weighers",24.87,146999.73,6976607226.52,AEI Both + Micro 2026-02-12,broad,33.70,199229.58,9455435955.86,All 2026-02-18,broad,8.83,52229.85,2478828729.33
Licensed Practical and Licensed Vocational Nurses,28.83,182337.51,11366920083.06,AEI Both + Micro 2026-02-12,broad,36.97,233791.65,14574571684.49,All 2026-02-18,broad,8.14,51454.15,3207651601.43
Paralegals and Legal Assistants,41.59,152714.69,9317123092.37,AEI Both + Micro 2026-02-12,broad,55.24,202847.37,12375718252.29,All 2026-02-18,broad,13.65,50132.69,3058595159.92
Customer Service Representatives,84.08,2292070.98,98169400246.92,AEI Both + Micro 2026-02-12,broad,85.86,2340529.84,100244893194.80,All 2026-02-18,broad,1.78,48458.86,2075492947.88
Counselors,49.20,371820.04,22711571216.27,AEI Both + Micro 2026-02-12,broad,56.19,420030.03,25427686022.21,All 2026-02-18,broad,7.00,48209.99,2716114805.94
Diagnostic Related Technologists and Technicians,28.02,111412.94,9155017868.69,AEI Both + Micro 2026-02-12,broad,38.93,159274.55,13058579476.68,All 2026-02-18,broad,10.91,47861.61,3903561607.99
Credit Counselors and Loan Officers,53.03,142972.28,10224512441.85,AEI Both + Micro 2026-02-12,broad,64.24,190426.04,13682534568.65,All 2026-02-18,broad,11.21,47453.76,3458022126.80
"Transportation, Storage, and Distribution Managers",29.95,72925.37,7439117037.75,AEI Both + Micro 2026-02-12,broad,45.69,118920.82,12131112615.06,All 2026-02-18,broad,15.75,45995.45,4691995577.31
Construction Managers,42.49,148017.55,15834917969.56,AEI Both + Micro 2026-02-12,broad,55.65,193840.16,20737020338.19,All 2026-02-18,broad,13.15,45822.61,4902102368.63
Dispatchers,48.18,185782.17,9145604515.94,AEI Both + Micro 2026-02-12,broad,67.49,231578.36,11430723814.78,All 2026-02-18,broad,19.31,45796.19,2285119298.84
Buyers and Purchasing Agents,57.87,293220.51,22182131844.49,AEI Both + Micro 2026-02-12,broad,67.33,338666.28,25620103747.31,All 2026-02-18,broad,9.47,45445.76,3437971902.82
First-Line Supervisors of Transportation and Material Moving Workers,25.60,87252.55,5154692795.29,AEI Both + Micro 2026-02-12,broad,37.89,131907.43,7840102977.87,All 2026-02-18,broad,12.28,44654.89,2685410182.58
Industrial Production Managers,13.66,36179.93,4393690989.71,AEI Both + Micro 2026-02-12,broad,31.99,79331.90,9634065782.14,All 2026-02-18,broad,18.32,43151.97,5240374792.43
Miscellaneous Community and Social Service Specialists,37.99,237419.03,11782268101.08,AEI Both + Micro 2026-02-12,broad,46.22,280328.14,14140995530.42,All 2026-02-18,broad,8.23,42909.11,2358727429.34
First-Line Supervisors of Law Enforcement Workers,24.75,42285.73,4063351618.75,AEI Both + Micro 2026-02-12,broad,38.39,85170.96,8435669610.82,All 2026-02-18,broad,13.64,42885.23,4372317992.07
