dataset,workers_affected,total_workers,pct_of_employment,series
MCP Cumul. v1,33419816.35,,,MCP Only
MCP Cumul. v2,40581569.76,,,MCP Only
MCP Cumul. v3,45360030.35,,,MCP Only
MCP Cumul. v4,46548747.56,,,MCP Only
