dataset,workers_affected,total_workers,pct_of_employment,series
MCP + API 2025-04-24,33419816.35,,,Agentic Ceiling
MCP + API 2025-05-24,41010666.33,,,Agentic Ceiling
MCP + API 2025-07-23,45963343.43,,,Agentic Ceiling
MCP + API 2025-08-11,55350885.04,,,Agentic Ceiling
MCP + API 2025-11-13,58452853.47,,,Agentic Ceiling
MCP + API 2026-02-12,59421754.49,,,Agentic Ceiling
MCP + API 2026-02-18,60357728.40,,,Agentic Ceiling
