dataset,workers_affected,total_workers,pct_of_employment,series
AEI API 2025-08-11,23379929.34,,,Agentic (AEI API)
AEI API 2025-11-13,29105520.62,,,Agentic (AEI API)
AEI API 2026-02-12,31104331.10,,,Agentic (AEI API)
