dataset,workers_affected,total_workers,pct_of_employment,series
AEI Both + Micro 2024-09-30,39453802.14,,,Conv. Baseline
AEI Both + Micro 2024-12-23,39453802.14,,,Conv. Baseline
AEI Both + Micro 2025-03-06,46586516.23,,,Conv. Baseline
AEI Both + Micro 2025-08-11,56673995.80,,,Conv. Baseline
AEI Both + Micro 2025-11-13,60073205.48,,,Conv. Baseline
AEI Both + Micro 2026-02-12,61298957.33,,,Conv. Baseline
