title_current,emp_nat,wage_nat,major,minor,broad,pct_first_all_ceiling,pct_last_all_ceiling,pct_delta_all_ceiling,workers_first_all_ceiling,workers_last_all_ceiling,workers_delta_all_ceiling,pct_first_human_conversation,pct_last_human_conversation,pct_delta_human_conversation,workers_first_human_conversation,workers_last_human_conversation,workers_delta_human_conversation,pct_first_agentic_confirmed,pct_last_agentic_confirmed,pct_delta_agentic_confirmed,workers_first_agentic_confirmed,workers_last_agentic_confirmed,workers_delta_agentic_confirmed,pct_first_all_confirmed,pct_last_all_confirmed,pct_delta_all_confirmed,workers_first_all_confirmed,workers_last_all_confirmed,workers_delta_all_confirmed,pct_first_agentic_ceiling,pct_last_agentic_ceiling,pct_delta_agentic_ceiling,workers_first_agentic_ceiling,workers_last_agentic_ceiling,workers_delta_agentic_ceiling
Aerospace Engineering and Operations Technologists and Technicians,9060.00,79830.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters",36.82,42.44,5.62,3336.15,3845.04,508.89,36.82,36.82,0.00,3336.15,3336.15,0.00,10.75,10.75,0.00,973.95,973.95,0.00,36.82,36.82,0.00,3336.15,3336.15,0.00,18.14,27.79,9.65,1643.03,2517.60,874.56
Aerospace Engineers,68440.00,134830.00,Architecture and Engineering Occupations,Engineers,Aerospace Engineers,24.41,35.39,10.98,16703.78,24218.57,7514.79,24.41,26.61,2.21,16703.78,18214.23,1510.45,2.54,2.54,0.00,1741.00,1741.00,0.00,24.41,27.46,3.05,16703.78,18790.65,2086.87,17.84,25.32,7.48,12210.57,17327.13,5116.56
"Agents and Business Managers of Artists, Performers, and Athletes",14220.00,96310.00,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",28.24,63.29,35.04,4016.01,8999.16,4983.15,28.24,47.46,19.22,4016.01,6748.75,2732.74,31.64,33.71,2.07,4498.86,4793.44,294.58,28.24,53.06,24.82,4016.01,7545.45,3529.44,25.63,60.68,35.05,3644.74,8628.35,4983.61
Agricultural Engineers,1680.00,84630.00,Architecture and Engineering Occupations,Engineers,Agricultural Engineers,30.44,42.13,11.69,511.34,707.72,196.38,30.44,38.39,7.95,511.34,644.87,133.53,0.00,0.00,0.00,0.00,0.00,0.00,30.44,38.39,7.95,511.34,644.87,133.53,14.32,22.98,8.66,240.59,386.06,145.47
Agricultural Equipment Operators,30940.00,42580.00,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Miscellaneous Agricultural Workers,16.24,16.24,0.00,5024.30,5024.30,0.00,16.24,16.24,0.00,5024.30,5024.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.24,16.24,0.00,5024.30,5024.30,0.00,2.25,2.25,0.00,697.54,697.54,0.00
Agricultural Inspectors,12090.00,50990.00,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Agricultural Inspectors,12.02,31.08,19.07,1452.87,3757.98,2305.12,12.02,25.14,13.12,1452.87,3039.27,1586.41,0.00,6.78,6.78,0.00,819.14,819.14,12.02,28.01,15.99,1452.87,3386.59,1933.72,1.66,17.78,16.11,201.13,2149.16,1948.03
"Agricultural Sciences Teachers, Postsecondary",8700.00,86350.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Life Sciences Teachers, Postsecondary",33.02,80.47,47.45,2872.81,7001.16,4128.34,33.02,64.33,31.31,2872.81,5596.75,2723.94,38.52,55.78,17.27,3350.99,4853.18,1502.19,33.02,75.45,42.43,2872.81,6564.47,3691.65,18.17,63.43,45.26,1581.04,5518.56,3937.51
Agricultural Technicians,9848.10,47795.71,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Agricultural and Food Science Technicians,16.92,29.16,12.23,1666.55,2871.44,1204.89,16.92,20.85,3.93,1666.55,2053.57,387.02,0.69,6.49,5.80,67.94,639.06,571.12,16.92,26.56,9.64,1666.55,2616.14,949.59,7.76,11.93,4.17,763.88,1174.84,410.95
Air Traffic Controllers,22400.00,144580.00,Transportation and Material Moving Occupations,Air Transportation Workers,Air Traffic Controllers and Airfield Operations Specialists,25.44,48.88,23.44,5699.51,10949.44,5249.93,25.44,30.21,4.77,5699.51,6767.83,1068.33,1.70,1.83,0.13,381.03,409.42,28.39,25.44,31.15,5.70,5699.51,6976.69,1277.18,12.68,31.46,18.78,2839.98,7047.78,4207.80
Aircraft Cargo Handling Supervisors,10160.00,63940.00,Transportation and Material Moving Occupations,Supervisors of Transportation and Material Moving Workers,First-Line Supervisors of Transportation and Material Moving Workers,20.85,30.24,9.38,2118.79,3071.88,953.09,20.85,20.85,0.00,2118.79,2118.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.85,20.85,0.00,2118.79,2118.79,0.00,20.36,28.74,8.38,2068.47,2919.72,851.25
