minor,minor_avg_pct,minor_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
"Other Installation, Maintenance, and Repair Occupations",22.92,69.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-52.00,-1.63
Other Management Occupations,34.23,51.00,Management Occupations,36.26,11.00,-40.00,-2.02
Other Office and Administrative Support Workers,58.37,12.00,Office and Administrative Support Occupations,52.87,4.00,-8.00,5.50
Other Personal Care and Service Workers,37.12,44.00,Personal Care and Service Occupations,32.09,13.00,-31.00,5.03
Other Production Occupations,18.77,75.00,Production Occupations,18.95,18.00,-57.00,-0.18
Other Protective Service Workers,41.20,34.00,Protective Service Occupations,31.96,14.00,-20.00,9.24
Other Sales and Related Workers,68.27,4.00,Sales and Related Occupations,62.92,2.00,-2.00,5.35
Other Teachers and Instructors,40.56,36.00,Educational Instruction and Library Occupations,61.44,3.00,-33.00,-20.87
Other Transportation Workers,20.42,73.00,Transportation and Material Moving Occupations,16.67,20.00,-53.00,3.75
Personal Appearance Workers,25.97,63.00,Personal Care and Service Occupations,32.09,13.00,-50.00,-6.12
Physical Scientists,46.79,26.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-17.00,3.62
Plant and System Operators,15.90,81.00,Production Occupations,18.95,18.00,-63.00,-3.05
Postsecondary Teachers,72.23,2.00,Educational Instruction and Library Occupations,61.44,3.00,1.00,10.80
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",46.28,27.00,Educational Instruction and Library Occupations,61.44,3.00,-24.00,-15.15
Printing Workers,22.31,71.00,Production Occupations,18.95,18.00,-53.00,3.36
Rail Transportation Workers,15.62,84.00,Transportation and Material Moving Occupations,16.67,20.00,-64.00,-1.05
Religious Workers,66.17,7.00,Community and Social Service Occupations,45.97,7.00,0.00,20.20
Retail Sales Workers,50.37,21.00,Sales and Related Occupations,62.92,2.00,-19.00,-12.55
"Sales Representatives, Services",57.25,14.00,Sales and Related Occupations,62.92,2.00,-12.00,-5.67
"Sales Representatives, Wholesale and Manufacturing",77.71,1.00,Sales and Related Occupations,62.92,2.00,1.00,14.79
Secretaries and Administrative Assistants,51.22,20.00,Office and Administrative Support Occupations,52.87,4.00,-16.00,-1.65
Social Scientists and Related Workers,52.20,19.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-10.00,9.02
Supervisors of Building and Grounds Cleaning and Maintenance Workers,34.27,50.00,Building and Grounds Cleaning and Maintenance Occupations,18.17,19.00,-31.00,16.10
Supervisors of Construction and Extraction Workers,47.21,25.00,Construction and Extraction Occupations,14.38,22.00,-3.00,32.83
"Supervisors of Farming, Fishing, and Forestry Workers",7.87,93.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-72.00,-8.02
Supervisors of Food Preparation and Serving Workers,40.60,35.00,Food Preparation and Serving Related Occupations,34.48,12.00,-23.00,6.12
"Supervisors of Installation, Maintenance, and Repair Workers",48.72,23.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-6.00,24.16
Supervisors of Office and Administrative Support Workers,68.43,3.00,Office and Administrative Support Occupations,52.87,4.00,1.00,15.55
Supervisors of Personal Care and Service Workers,30.33,58.00,Personal Care and Service Occupations,32.09,13.00,-45.00,-1.76
Supervisors of Production Workers,32.67,54.00,Production Occupations,18.95,18.00,-36.00,13.72
Supervisors of Protective Service Workers,17.52,76.00,Protective Service Occupations,31.96,14.00,-62.00,-14.44
Supervisors of Sales Workers,67.55,5.00,Sales and Related Occupations,62.92,2.00,-3.00,4.63
Supervisors of Transportation and Material Moving Workers,24.04,67.00,Transportation and Material Moving Occupations,16.67,20.00,-47.00,7.37
"Textile, Apparel, and Furnishings Workers",14.48,86.00,Production Occupations,18.95,18.00,-68.00,-4.48
Top Executives,39.61,39.00,Management Occupations,36.26,11.00,-28.00,3.36
Tour and Travel Guides,43.50,29.00,Personal Care and Service Occupations,32.09,13.00,-16.00,11.41
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",17.32,77.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-60.00,-7.24
Water Transportation Workers,10.65,91.00,Transportation and Material Moving Occupations,16.67,20.00,-71.00,-6.02
Woodworkers,24.41,65.00,Production Occupations,18.95,18.00,-47.00,5.46
