broad,broad_avg_pct,broad_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,285.00,Architecture and Engineering Occupations,40.05,10.00,-275.00,-14.86
Miscellaneous Agricultural Workers,16.24,354.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-333.00,0.34
Miscellaneous Assemblers and Fabricators,13.85,371.00,Production Occupations,18.95,18.00,-353.00,-5.11
Miscellaneous Business Operations Specialists,66.33,51.00,Business and Financial Operations Occupations,51.70,5.00,-46.00,14.63
Miscellaneous Community and Social Service Specialists,35.65,207.00,Community and Social Service Occupations,45.97,7.00,-200.00,-10.32
Miscellaneous Computer Occupations,55.84,85.00,Computer and Mathematical Occupations,65.79,1.00,-84.00,-9.94
Miscellaneous Construction and Related Workers,13.70,373.00,Construction and Extraction Occupations,14.38,22.00,-351.00,-0.68
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",32.76,227.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-210.00,8.20
Miscellaneous Engineers,45.18,142.00,Architecture and Engineering Occupations,40.05,10.00,-132.00,5.13
"Miscellaneous Entertainers and Performers, Sports and Related Workers",25.07,286.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-280.00,-22.89
Miscellaneous Entertainment Attendants and Related Workers,34.25,216.00,Personal Care and Service Occupations,32.09,13.00,-203.00,2.16
Miscellaneous Financial Specialists,76.67,17.00,Business and Financial Operations Occupations,51.70,5.00,-12.00,24.97
"Miscellaneous First-Line Supervisors, Protective Service Workers",21.55,309.00,Protective Service Occupations,31.96,14.00,-295.00,-10.41
Miscellaneous Food Processing Workers,18.22,344.00,Production Occupations,18.95,18.00,-326.00,-0.74
Miscellaneous Health Practitioners and Technical Workers,29.36,251.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-236.00,-0.33
Miscellaneous Health Technologists and Technicians,27.23,270.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-255.00,-2.46
Miscellaneous Healthcare Diagnosing or Treating Practitioners,24.64,291.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-276.00,-5.06
Miscellaneous Healthcare Support Occupations,31.57,235.00,Healthcare Support Occupations,25.68,16.00,-219.00,5.90
"Miscellaneous Installation, Maintenance, and Repair Workers",19.69,328.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-311.00,-4.87
Miscellaneous Legal Support Workers,66.18,52.00,Legal Occupations,45.76,8.00,-44.00,20.42
"Miscellaneous Life, Physical, and Social Science Technicians",34.97,211.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-202.00,-8.21
Miscellaneous Managers,27.61,266.00,Management Occupations,36.26,11.00,-255.00,-8.64
Miscellaneous Mathematical Science Occupations,87.67,2.00,Computer and Mathematical Occupations,65.79,1.00,-1.00,21.88
Miscellaneous Media and Communication Workers,53.23,99.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-93.00,5.26
Miscellaneous Metal Workers and Plastic Workers,18.55,338.00,Production Occupations,18.95,18.00,-320.00,-0.40
Miscellaneous Personal Appearance Workers,23.96,295.00,Personal Care and Service Occupations,32.09,13.00,-282.00,-8.13
Miscellaneous Physical Scientists,39.16,177.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-168.00,-4.01
Miscellaneous Plant and System Operators,18.52,339.00,Production Occupations,18.95,18.00,-321.00,-0.44
Miscellaneous Postsecondary Teachers,44.48,144.00,Educational Instruction and Library Occupations,61.44,3.00,-141.00,-16.96
Miscellaneous Production Workers,15.15,364.00,Production Occupations,18.95,18.00,-346.00,-3.81
Miscellaneous Protective Service Workers,34.26,215.00,Protective Service Occupations,31.96,14.00,-201.00,2.30
"Miscellaneous Sales Representatives, Services",38.31,185.00,Sales and Related Occupations,62.92,2.00,-183.00,-24.61
Miscellaneous Sales and Related Workers,40.73,164.00,Sales and Related Occupations,62.92,2.00,-162.00,-22.19
Miscellaneous Social Scientists and Related Workers,61.50,62.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-53.00,18.33
"Miscellaneous Textile, Apparel, and Furnishings Workers",20.47,321.00,Production Occupations,18.95,18.00,-303.00,1.52
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",20.86,316.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-299.00,-3.70
"Model Makers and Patternmakers, Metal and Plastic",25.94,277.00,Production Occupations,18.95,18.00,-259.00,6.99
"Model Makers and Patternmakers, Wood",28.08,261.00,Production Occupations,18.95,18.00,-243.00,9.13
"Models, Demonstrators, and Product Promoters",56.81,79.00,Sales and Related Occupations,62.92,2.00,-77.00,-6.11
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",7.53,419.00,Production Occupations,18.95,18.00,-401.00,-11.42
"Morticians, Undertakers, and Funeral Arrangers",22.38,302.00,Personal Care and Service Occupations,32.09,13.00,-289.00,-9.71
Motion Picture Projectionists,9.83,404.00,Personal Care and Service Occupations,32.09,13.00,-391.00,-22.26
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,289.00,Production Occupations,18.95,18.00,-271.00,5.92
"Musicians, Singers, and Related Workers",25.87,278.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-272.00,-22.09
Natural Sciences Managers,40.39,168.00,Management Occupations,36.26,11.00,-157.00,4.14
New Accounts Clerks,46.31,135.00,Office and Administrative Support Occupations,52.87,4.00,-131.00,-6.56
"News Analysts, Reporters and Journalists",50.37,117.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-111.00,2.41
Nuclear Engineers,16.68,352.00,Architecture and Engineering Occupations,40.05,10.00,-342.00,-23.37
Nuclear Technicians,30.07,244.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-235.00,-13.10
Nurse Anesthetists,16.64,353.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-338.00,-13.05
Nurse Midwives,45.91,137.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-122.00,16.21
Nurse Practitioners,40.41,166.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-151.00,10.72
"Nursing Assistants, Orderlies, and Psychiatric Aides",14.23,368.00,Healthcare Support Occupations,25.68,16.00,-352.00,-11.44
Occupational Health and Safety Specialists and Technicians,25.57,281.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-272.00,-17.61
Occupational Therapy Assistants and Aides,21.62,308.00,Healthcare Support Occupations,25.68,16.00,-292.00,-4.06
"Office Clerks, General",71.37,33.00,Office and Administrative Support Occupations,52.87,4.00,-29.00,18.49
"Office Machine Operators, Except Computer",46.41,134.00,Office and Administrative Support Occupations,52.87,4.00,-130.00,-6.46
Operations Research Analysts,70.69,38.00,Computer and Mathematical Occupations,65.79,1.00,-37.00,4.90
"Opticians, Dispensing",20.21,325.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-310.00,-9.49
Optometrists,30.19,242.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-227.00,0.49
Order Clerks,62.94,59.00,Office and Administrative Support Occupations,52.87,4.00,-55.00,10.07
Packaging and Filling Machine Operators and Tenders,5.10,428.00,Production Occupations,18.95,18.00,-410.00,-13.85
Painters and Paperhangers,21.06,314.00,Construction and Extraction Occupations,14.38,22.00,-292.00,6.68
Painting Workers,13.88,370.00,Production Occupations,18.95,18.00,-352.00,-5.07
Paralegals and Legal Assistants,41.59,159.00,Legal Occupations,45.76,8.00,-151.00,-4.17
Parking Attendants,17.80,346.00,Transportation and Material Moving Occupations,16.67,20.00,-326.00,1.13
Parking Enforcement Workers,18.67,336.00,Protective Service Occupations,31.96,14.00,-322.00,-13.29
Passenger Attendants,47.01,130.00,Transportation and Material Moving Occupations,16.67,20.00,-110.00,30.34
Passenger Vehicle Drivers,19.05,333.00,Transportation and Material Moving Occupations,16.67,20.00,-313.00,2.38
Payroll and Timekeeping Clerks,54.70,88.00,Office and Administrative Support Occupations,52.87,4.00,-84.00,1.83
Personal Service Managers,34.72,213.00,Management Occupations,36.26,11.00,-202.00,-1.53
Pest Control Workers,33.67,221.00,Building and Grounds Cleaning and Maintenance Occupations,18.17,19.00,-202.00,15.50
Petroleum Engineers,20.42,322.00,Architecture and Engineering Occupations,40.05,10.00,-312.00,-19.63
Pharmacists,64.86,56.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-41.00,35.17
Photographers,60.56,66.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-60.00,12.59
Photographic Process Workers and Processing Machine Operators,20.87,315.00,Production Occupations,18.95,18.00,-297.00,1.92
"Physical Sciences Teachers, Postsecondary",70.93,37.00,Educational Instruction and Library Occupations,61.44,3.00,-34.00,9.49
Physical Therapist Assistants and Aides,11.62,391.00,Healthcare Support Occupations,25.68,16.00,-375.00,-14.06
Physician Assistants,29.29,252.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-237.00,-0.40
Physicians,27.21,271.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-256.00,-2.48
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",13.17,381.00,Construction and Extraction Occupations,14.38,22.00,-359.00,-1.21
Plasterers and Stucco Masons,29.14,253.00,Construction and Extraction Occupations,14.38,22.00,-231.00,14.76
Podiatrists,23.08,298.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-283.00,-6.61
Police Officers,31.82,233.00,Protective Service Occupations,31.96,14.00,-219.00,-0.14
Postal Service Workers,22.91,299.00,Office and Administrative Support Occupations,52.87,4.00,-295.00,-29.96
Postmasters and Mail Superintendents,17.28,349.00,Management Occupations,36.26,11.00,-338.00,-18.98
"Power Plant Operators, Distributors, and Dispatchers",16.16,357.00,Production Occupations,18.95,18.00,-339.00,-2.80
Precision Instrument and Equipment Repairers,29.11,254.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-237.00,4.55
Preschool and Kindergarten Teachers,51.82,110.00,Educational Instruction and Library Occupations,61.44,3.00,-107.00,-9.61
"Pressers, Textile, Garment, and Related Materials",10.75,397.00,Production Occupations,18.95,18.00,-379.00,-8.20
Printing Workers,22.31,304.00,Production Occupations,18.95,18.00,-286.00,3.36
Private Detectives and Investigators,60.57,65.00,Protective Service Occupations,31.96,14.00,-51.00,28.60
Procurement Clerks,69.39,43.00,Office and Administrative Support Occupations,52.87,4.00,-39.00,16.52
"Production, Planning, and Expediting Clerks",46.06,136.00,Office and Administrative Support Occupations,52.87,4.00,-132.00,-6.81
Proofreaders and Copy Markers,54.18,91.00,Office and Administrative Support Occupations,52.87,4.00,-87.00,1.31
Property Appraisers and Assessors,34.15,218.00,Business and Financial Operations Occupations,51.70,5.00,-213.00,-17.55
"Property, Real Estate, and Community Association Managers",61.50,63.00,Management Occupations,36.26,11.00,-52.00,25.25
Psychologists,34.86,212.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-203.00,-8.32
Public Relations Specialists,83.21,9.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-3.00,35.25
Public Relations and Fundraising Managers,19.17,330.00,Management Occupations,36.26,11.00,-319.00,-17.08
Pumping Station Operators,11.83,388.00,Transportation and Material Moving Occupations,16.67,20.00,-368.00,-4.84
Purchasing Managers,46.97,131.00,Management Occupations,36.26,11.00,-120.00,10.71
Radio and Telecommunications Equipment Installers and Repairers,37.77,192.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-175.00,13.21
Rail-Track Laying and Maintenance Equipment Operators,0.00,437.50,Construction and Extraction Occupations,14.38,22.00,-415.50,-14.38
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.52,425.00,Transportation and Material Moving Occupations,16.67,20.00,-405.00,-11.15
Railroad Conductors and Yardmasters,18.88,334.00,Transportation and Material Moving Occupations,16.67,20.00,-314.00,2.21
Real Estate Brokers and Sales Agents,84.14,4.00,Sales and Related Occupations,62.92,2.00,-2.00,21.22
Receptionists and Information Clerks,73.83,25.00,Office and Administrative Support Occupations,52.87,4.00,-21.00,20.96
Recreation and Fitness Workers,33.14,225.00,Personal Care and Service Occupations,32.09,13.00,-212.00,1.05
Refuse and Recyclable Material Collectors,8.35,415.00,Transportation and Material Moving Occupations,16.67,20.00,-395.00,-8.32
Registered Nurses,36.81,199.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-184.00,7.12
Reinforcing Iron and Rebar Workers,11.47,393.00,Construction and Extraction Occupations,14.38,22.00,-371.00,-2.91
Reservation and Transportation Ticket Agents and Travel Clerks,50.48,114.00,Office and Administrative Support Occupations,52.87,4.00,-110.00,-2.39
Residential Advisors,42.88,155.00,Personal Care and Service Occupations,32.09,13.00,-142.00,10.79
Retail Salespersons,57.36,76.00,Sales and Related Occupations,62.92,2.00,-74.00,-5.56
"Rock Splitters, Quarry",6.41,422.00,Construction and Extraction Occupations,14.38,22.00,-400.00,-7.97
Roofers,5.61,424.00,Construction and Extraction Occupations,14.38,22.00,-402.00,-8.77
"Roustabouts, Oil and Gas",2.46,434.00,Construction and Extraction Occupations,14.38,22.00,-412.00,-11.93
Sailors and Marine Oilers,8.72,412.00,Transportation and Material Moving Occupations,16.67,20.00,-392.00,-7.95
Sales Engineers,72.01,29.00,Sales and Related Occupations,62.92,2.00,-27.00,9.09
"Sales Representatives, Wholesale and Manufacturing",77.71,15.00,Sales and Related Occupations,62.92,2.00,-13.00,14.79
Secondary School Teachers,56.54,80.00,Educational Instruction and Library Occupations,61.44,3.00,-77.00,-4.89
Secretaries and Administrative Assistants,51.22,112.00,Office and Administrative Support Occupations,52.87,4.00,-108.00,-1.65
"Securities, Commodities, and Financial Services Sales Agents",29.00,256.00,Sales and Related Occupations,62.92,2.00,-254.00,-33.92
Security Guards and Gambling Surveillance Officers,45.91,138.00,Protective Service Occupations,31.96,14.00,-124.00,13.94
Self-Enrichment Teachers,27.88,264.00,Educational Instruction and Library Occupations,61.44,3.00,-261.00,-33.56
Semiconductor Processing Technicians,20.76,319.00,Production Occupations,18.95,18.00,-301.00,1.81
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,312.00,Construction and Extraction Occupations,14.38,22.00,-290.00,6.85
Sewing Machine Operators,11.19,395.00,Production Occupations,18.95,18.00,-377.00,-7.77
Sheet Metal Workers,31.58,234.00,Construction and Extraction Occupations,14.38,22.00,-212.00,17.20
Ship Engineers,7.43,420.00,Transportation and Material Moving Occupations,16.67,20.00,-400.00,-9.24
Ship and Boat Captains and Operators,13.22,380.00,Transportation and Material Moving Occupations,16.67,20.00,-360.00,-3.45
"Shipping, Receiving, and Inventory Clerks",25.81,279.00,Office and Administrative Support Occupations,52.87,4.00,-275.00,-27.06
Shoe and Leather Workers,9.47,408.00,Production Occupations,18.95,18.00,-390.00,-9.48
Small Engine Mechanics,18.21,345.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-328.00,-6.35
Social Science Research Assistants,53.47,98.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-89.00,10.29
"Social Sciences Teachers, Postsecondary",75.84,20.00,Educational Instruction and Library Occupations,61.44,3.00,-17.00,14.40
Social Workers,44.73,143.00,Community and Social Service Occupations,45.97,7.00,-136.00,-1.24
Social and Community Service Managers,37.07,197.00,Management Occupations,36.26,11.00,-186.00,0.81
Sociologists,70.51,39.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-30.00,27.33
"Software and Web Developers, Programmers, and Testers",61.62,61.00,Computer and Mathematical Occupations,65.79,1.00,-60.00,-4.17
Solar Photovoltaic Installers,37.91,190.00,Construction and Extraction Occupations,14.38,22.00,-168.00,23.53
Special Education Teachers,33.26,224.00,Educational Instruction and Library Occupations,61.44,3.00,-221.00,-28.18
Stationary Engineers and Boiler Operators,20.10,326.00,Production Occupations,18.95,18.00,-308.00,1.15
Statistical Assistants,84.01,6.00,Office and Administrative Support Occupations,52.87,4.00,-2.00,31.13
Statisticians,65.72,53.00,Computer and Mathematical Occupations,65.79,1.00,-52.00,-0.06
Structural Iron and Steel Workers,9.69,406.00,Construction and Extraction Occupations,14.38,22.00,-384.00,-4.69
Structural Metal Fabricators and Fitters,8.66,413.00,Production Occupations,18.95,18.00,-395.00,-10.29
"Substitute Teachers, Short-Term",38.11,188.00,Educational Instruction and Library Occupations,61.44,3.00,-185.00,-23.33
Subway and Streetcar Operators,16.84,351.00,Transportation and Material Moving Occupations,16.67,20.00,-331.00,0.17
Supervisors of Food Preparation and Serving Workers,40.60,165.00,Food Preparation and Serving Related Occupations,34.48,12.00,-153.00,6.12
Surface Mining Machine Operators and Earth Drillers,8.35,414.00,Construction and Extraction Occupations,14.38,22.00,-392.00,-6.03
Surgeons,12.57,383.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-368.00,-17.13
Survey Researchers,60.41,67.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-58.00,17.23
Surveying and Mapping Technicians,29.73,249.00,Architecture and Engineering Occupations,40.05,10.00,-239.00,-10.32
"Surveyors, Cartographers, and Photogrammetrists",30.88,238.00,Architecture and Engineering Occupations,40.05,10.00,-228.00,-9.17
"Switchboard Operators, Including Answering Service",72.58,27.00,Office and Administrative Support Occupations,52.87,4.00,-23.00,19.70
"Tailors, Dressmakers, and Sewers",16.23,355.00,Production Occupations,18.95,18.00,-337.00,-2.72
"Tank Car, Truck, and Ship Loaders",14.53,366.00,Transportation and Material Moving Occupations,16.67,20.00,-346.00,-2.14
"Tax Examiners, Collectors and Preparers, and Revenue Agents",46.90,132.00,Business and Financial Operations Occupations,51.70,5.00,-127.00,-4.80
Teaching Assistants,34.11,219.00,Educational Instruction and Library Occupations,61.44,3.00,-216.00,-27.33
Telemarketers,83.26,8.00,Sales and Related Occupations,62.92,2.00,-6.00,20.34
Telephone Operators,52.49,105.00,Office and Administrative Support Occupations,52.87,4.00,-101.00,-0.38
"Television, Video, and Film Camera Operators and Editors",49.82,120.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-114.00,1.85
Tellers,45.63,141.00,Office and Administrative Support Occupations,52.87,4.00,-137.00,-7.24
"Textile Machine Setters, Operators, and Tenders",13.68,374.00,Production Occupations,18.95,18.00,-356.00,-5.28
Therapists,38.75,180.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-165.00,9.05
Timing Device Assemblers and Adjusters,9.74,405.00,Production Occupations,18.95,18.00,-387.00,-9.22
Tool and Die Makers,22.89,300.00,Production Occupations,18.95,18.00,-282.00,3.94
Tour and Travel Guides,43.50,150.00,Personal Care and Service Occupations,32.09,13.00,-137.00,11.41
Traffic Technicians,26.05,276.00,Transportation and Material Moving Occupations,16.67,20.00,-256.00,9.38
Training and Development Managers,85.71,3.00,Management Occupations,36.26,11.00,8.00,49.46
Training and Development Specialists,60.20,69.00,Business and Financial Operations Occupations,51.70,5.00,-64.00,8.50
Transportation Inspectors,20.22,324.00,Transportation and Material Moving Occupations,16.67,20.00,-304.00,3.55
Transportation Service Attendants,16.12,358.00,Transportation and Material Moving Occupations,16.67,20.00,-338.00,-0.55
"Transportation, Storage, and Distribution Managers",32.29,230.00,Management Occupations,36.26,11.00,-219.00,-3.96
Travel Agents,71.20,35.00,Sales and Related Occupations,62.92,2.00,-33.00,8.28
Tutors,71.38,32.00,Educational Instruction and Library Occupations,61.44,3.00,-29.00,9.94
Underground Mining Machine Operators,8.09,416.00,Construction and Extraction Occupations,14.38,22.00,-394.00,-6.29
Urban and Regional Planners,41.57,160.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-151.00,-1.60
"Ushers, Lobby Attendants, and Ticket Takers",37.60,193.00,Personal Care and Service Occupations,32.09,13.00,-180.00,5.51
Veterinarians,34.16,217.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-202.00,4.47
Waiters and Waitresses,39.41,175.00,Food Preparation and Serving Related Occupations,34.48,12.00,-163.00,4.93
Water and Wastewater Treatment Plant and System Operators,0.00,437.50,Production Occupations,18.95,18.00,-419.50,-18.95
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",32.67,229.00,Office and Administrative Support Occupations,52.87,4.00,-225.00,-20.20
"Welding, Soldering, and Brazing Workers",15.72,360.00,Production Occupations,18.95,18.00,-342.00,-3.23
Wind Turbine Service Technicians,29.01,255.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-238.00,4.45
"Woodworking Machine Setters, Operators, and Tenders",25.48,282.00,Production Occupations,18.95,18.00,-264.00,6.52
Writers and Editors,71.42,31.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-25.00,23.46
