broad,broad_avg_pct,broad_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
Cargo and Freight Agents,51.93,109.00,Office and Administrative Support Occupations,52.87,4.00,-105.00,-0.94
Carpenters,10.71,398.00,Construction and Extraction Occupations,14.38,22.00,-376.00,-3.67
"Carpet, Floor, and Tile Installers and Finishers",10.44,400.00,Construction and Extraction Occupations,14.38,22.00,-378.00,-3.94
Cashiers,38.94,178.00,Sales and Related Occupations,62.92,2.00,-176.00,-23.98
"Cement Masons, Concrete Finishers, and Terrazzo Workers",18.29,343.00,Construction and Extraction Occupations,14.38,22.00,-321.00,3.91
Chemical Engineers,45.78,139.00,Architecture and Engineering Occupations,40.05,10.00,-129.00,5.73
"Chemical Processing Machine Setters, Operators, and Tenders",27.37,269.00,Production Occupations,18.95,18.00,-251.00,8.41
Chemical Technicians,52.62,103.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-94.00,9.45
Chemists and Materials Scientists,56.99,77.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-68.00,13.82
Chief Executives,41.42,162.00,Management Occupations,36.26,11.00,-151.00,5.16
Childcare Workers,38.23,186.00,Personal Care and Service Occupations,32.09,13.00,-173.00,6.14
Chiropractors,36.39,203.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-188.00,6.70
Civil Engineers,44.20,146.00,Architecture and Engineering Occupations,40.05,10.00,-136.00,4.15
"Claims Adjusters, Appraisers, Examiners, and Investigators",39.27,176.00,Business and Financial Operations Occupations,51.70,5.00,-171.00,-12.43
Clergy,72.16,28.00,Community and Social Service Occupations,45.97,7.00,-21.00,26.20
Clinical Laboratory Technologists and Technicians,32.18,231.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-216.00,2.48
Compensation and Benefits Managers,55.61,86.00,Management Occupations,36.26,11.00,-75.00,19.35
"Compensation, Benefits, and Job Analysis Specialists",33.65,222.00,Business and Financial Operations Occupations,51.70,5.00,-217.00,-18.05
Compliance Officers,37.50,194.00,Business and Financial Operations Occupations,51.70,5.00,-189.00,-14.19
Computer Hardware Engineers,54.59,89.00,Architecture and Engineering Occupations,40.05,10.00,-79.00,14.54
Computer Numerically Controlled Tool Operators and Programmers,43.12,153.00,Production Occupations,18.95,18.00,-135.00,24.17
Computer Support Specialists,81.56,11.00,Computer and Mathematical Occupations,65.79,1.00,-10.00,15.77
Computer and Information Analysts,69.13,45.00,Computer and Mathematical Occupations,65.79,1.00,-44.00,3.34
Computer and Information Research Scientists,75.93,19.00,Computer and Mathematical Occupations,65.79,1.00,-18.00,10.14
Computer and Information Systems Managers,77.59,16.00,Management Occupations,36.26,11.00,-5.00,41.33
"Computer, Automated Teller, and Office Machine Repairers",48.83,121.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-104.00,24.28
Conservation Scientists and Foresters,23.52,296.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-287.00,-19.66
Construction Equipment Operators,3.37,432.00,Construction and Extraction Occupations,14.38,22.00,-410.00,-11.01
Construction Laborers,11.96,387.00,Construction and Extraction Occupations,14.38,22.00,-365.00,-2.42
Construction Managers,42.49,158.00,Management Occupations,36.26,11.00,-147.00,6.24
Construction and Building Inspectors,26.68,274.00,Construction and Extraction Occupations,14.38,22.00,-252.00,12.30
Control and Valve Installers and Repairers,17.78,347.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-330.00,-6.78
Conveyor Operators and Tenders,20.08,327.00,Transportation and Material Moving Occupations,16.67,20.00,-307.00,3.41
Cooks,38.90,179.00,Food Preparation and Serving Related Occupations,34.48,12.00,-167.00,4.41
Correspondence Clerks,50.43,116.00,Office and Administrative Support Occupations,52.87,4.00,-112.00,-2.44
Cost Estimators,56.37,81.00,Business and Financial Operations Occupations,51.70,5.00,-76.00,4.67
Counselors,46.88,133.00,Community and Social Service Occupations,45.97,7.00,-126.00,0.91
Counter and Rental Clerks and Parts Salespersons,58.30,75.00,Sales and Related Occupations,62.92,2.00,-73.00,-4.62
Couriers and Messengers,33.87,220.00,Office and Administrative Support Occupations,52.87,4.00,-216.00,-19.00
