title_current,config,pct,ska_gap,risk_score,risk_tier
Accountants and Auditors,all_ceiling,43.59,-0.37,3,moderate
Actors,all_ceiling,79.63,0.02,4,moderate
Actuaries,all_ceiling,49.65,-2.94,4,moderate
Acupuncturists,all_ceiling,24.63,0.54,3,moderate
Acute Care Nurses,all_ceiling,34.37,-1.62,1,low
Adapted Physical Education Specialists,all_ceiling,38.19,-0.37,1,low
Adhesive Bonding Machine Operators and Tenders,all_ceiling,40.13,-0.61,3,moderate
"Administrative Law Judges, Adjudicators, and Hearing Officers",all_ceiling,48.50,-2.33,3,moderate
Administrative Services Managers,all_ceiling,46.12,-0.11,5,high
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",all_ceiling,38.03,0.22,3,moderate
Advanced Practice Psychiatric Nurses,all_ceiling,51.38,-2.50,4,moderate
Advertising Sales Agents,all_ceiling,83.84,-0.26,5,high
Advertising and Promotions Managers,all_ceiling,68.99,-1.20,5,high
Aerospace Engineering and Operations Technologists and Technicians,all_ceiling,42.44,-0.37,3,moderate
Aerospace Engineers,all_ceiling,35.39,-3.06,1,low
"Agents and Business Managers of Artists, Performers, and Athletes",all_ceiling,63.29,-0.12,5,high
Agricultural Engineers,all_ceiling,42.13,-2.31,1,low
Agricultural Equipment Operators,all_ceiling,16.24,1.38,2,low
Agricultural Inspectors,all_ceiling,31.08,0.84,3,moderate
"Agricultural Sciences Teachers, Postsecondary",all_ceiling,80.47,-1.49,4,moderate
Agricultural Technicians,all_ceiling,29.16,1.42,2,low
Air Traffic Controllers,all_ceiling,48.88,-2.14,4,moderate
Aircraft Cargo Handling Supervisors,all_ceiling,30.24,0.13,2,low
Aircraft Mechanics and Service Technicians,all_ceiling,18.25,-2.06,2,low
Aircraft Service Attendants,all_ceiling,16.60,,2,low
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",all_ceiling,14.70,1.95,3,moderate
Airfield Operations Specialists,all_ceiling,42.91,0.30,4,moderate
"Airline Pilots, Copilots, and Flight Engineers",all_ceiling,33.76,-2.92,3,moderate
Allergists and Immunologists,all_ceiling,37.38,-1.64,4,moderate
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",all_ceiling,4.38,1.70,3,moderate
Amusement and Recreation Attendants,all_ceiling,57.33,3.27,6,high
Anesthesiologist Assistants,all_ceiling,21.01,0.21,2,low
Anesthesiologists,all_ceiling,10.19,-2.10,0,low
Animal Breeders,all_ceiling,53.29,2.23,3,moderate
Animal Caretakers,all_ceiling,50.19,3.55,5,high
Animal Control Workers,all_ceiling,53.28,1.70,4,moderate
Animal Scientists,all_ceiling,40.02,-1.69,3,moderate
Animal Trainers,all_ceiling,16.60,2.46,3,moderate
Anthropologists and Archeologists,all_ceiling,42.60,-1.86,3,moderate
"Anthropology and Archeology Teachers, Postsecondary",all_ceiling,77.58,-3.00,5,high
Appraisers and Assessors of Real Estate,all_ceiling,41.83,1.82,3,moderate
Appraisers of Personal and Business Property,all_ceiling,56.38,1.41,3,moderate
"Arbitrators, Mediators, and Conciliators",all_ceiling,44.24,-3.20,3,moderate
"Architects, Except Landscape and Naval",all_ceiling,71.71,-2.07,3,moderate
Architectural and Civil Drafters,all_ceiling,62.79,0.50,6,high
Architectural and Engineering Managers,all_ceiling,67.44,-2.10,3,moderate
"Architecture Teachers, Postsecondary",all_ceiling,84.28,-1.89,4,moderate
Archivists,all_ceiling,86.87,-0.17,5,high
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",all_ceiling,81.95,-0.43,4,moderate
Art Directors,all_ceiling,62.92,-1.06,4,moderate
Art Therapists,all_ceiling,56.74,-2.36,3,moderate
"Art, Drama, and Music Teachers, Postsecondary",all_ceiling,79.59,-1.32,4,moderate
Astronomers,all_ceiling,72.67,-3.60,4,moderate
Athletes and Sports Competitors,all_ceiling,46.65,1.31,4,moderate
Athletic Trainers,all_ceiling,35.78,-0.56,2,low
Atmospheric and Space Scientists,all_ceiling,68.49,-1.98,4,moderate
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",all_ceiling,74.27,-2.46,5,high
Audio and Video Technicians,all_ceiling,49.73,0.93,6,high
Audiologists,all_ceiling,25.48,-2.08,2,low
Audiovisual Equipment Installers and Repairers,all_ceiling,32.45,0.71,3,moderate
Automotive Body and Related Repairers,all_ceiling,11.71,1.24,3,moderate
Automotive Engineering Technicians,all_ceiling,63.28,0.26,5,high
Automotive Engineers,all_ceiling,53.26,-3.18,2,low
Automotive Glass Installers and Repairers,all_ceiling,4.75,1.03,3,moderate
Automotive Service Technicians and Mechanics,all_ceiling,29.48,-0.68,3,moderate
Automotive and Watercraft Service Attendants,all_ceiling,25.26,0.76,4,moderate
Aviation Inspectors,all_ceiling,22.75,-2.04,2,low
Avionics Technicians,all_ceiling,39.85,-0.63,3,moderate
Baggage Porters and Bellhops,all_ceiling,36.96,0.87,2,low
Bailiffs,all_ceiling,48.23,1.45,3,moderate
Bakers,all_ceiling,31.70,2.32,4,moderate
Barbers,all_ceiling,19.47,2.92,3,moderate
Baristas,all_ceiling,51.91,4.15,5,high
Bartenders,all_ceiling,34.33,2.92,4,moderate
Bicycle Repairers,all_ceiling,30.25,0.45,2,low
Bill and Account Collectors,all_ceiling,80.11,2.15,7,high
Billing and Posting Clerks,all_ceiling,66.60,2.50,7,high
Biochemists and Biophysicists,all_ceiling,54.12,-4.48,3,moderate
Bioengineers and Biomedical Engineers,all_ceiling,51.82,-2.90,3,moderate
Biofuels Processing Technicians,all_ceiling,32.28,-0.27,2,low
Biofuels Production Managers,all_ceiling,22.30,-0.41,1,low
Biofuels/Biodiesel Technology and Product Development Managers,all_ceiling,29.44,-0.64,1,low
Bioinformatics Scientists,all_ceiling,78.79,-2.71,4,moderate
Bioinformatics Technicians,all_ceiling,89.38,-1.79,4,moderate
"Biological Science Teachers, Postsecondary",all_ceiling,81.60,-2.06,4,moderate
Biological Technicians,all_ceiling,71.71,0.32,6,high
Biologists,all_ceiling,59.22,-1.94,4,moderate
Biomass Plant Technicians,all_ceiling,21.25,1.40,2,low
Biomass Power Plant Managers,all_ceiling,34.00,-1.04,1,low
Biostatisticians,all_ceiling,74.85,-2.54,4,moderate
Blockchain Engineers,all_ceiling,64.02,,2,low
Boilermakers,all_ceiling,16.31,0.34,3,moderate
"Bookkeeping, Accounting, and Auditing Clerks",all_ceiling,82.82,2.36,7,high
Brickmasons and Blockmasons,all_ceiling,18.68,0.53,2,low
Bridge and Lock Tenders,all_ceiling,22.87,1.86,4,moderate
Broadcast Announcers and Radio Disc Jockeys,all_ceiling,55.70,-0.79,3,moderate
Broadcast Technicians,all_ceiling,56.23,0.29,6,high
Brokerage Clerks,all_ceiling,83.73,2.08,7,high
Brownfield Redevelopment Specialists and Site Managers,all_ceiling,35.42,-1.06,3,moderate
Budget Analysts,all_ceiling,63.33,0.14,5,high
"Bus Drivers, School",all_ceiling,25.01,1.05,3,moderate
"Bus Drivers, Transit and Intercity",all_ceiling,34.09,0.00,2,low
Bus and Truck Mechanics and Diesel Engine Specialists,all_ceiling,34.68,-0.91,1,low
Business Continuity Planners,all_ceiling,59.83,-1.30,4,moderate
Business Intelligence Analysts,all_ceiling,95.60,-0.06,4,moderate
"Business Teachers, Postsecondary",all_ceiling,81.60,-1.79,4,moderate
Butchers and Meat Cutters,all_ceiling,44.81,1.79,4,moderate
"Buyers and Purchasing Agents, Farm Products",all_ceiling,53.87,0.82,4,moderate
Cabinetmakers and Bench Carpenters,all_ceiling,23.96,-0.58,2,low
Calibration Technologists and Technicians,all_ceiling,36.30,,2,low
"Camera Operators, Television, Video, and Film",all_ceiling,47.13,0.94,6,high
Camera and Photographic Equipment Repairers,all_ceiling,34.18,0.54,3,moderate
"Captains, Mates, and Pilots of Water Vessels",all_ceiling,28.57,-0.24,2,low
Cardiologists,all_ceiling,26.81,,1,low
Cardiovascular Technologists and Technicians,all_ceiling,33.00,0.79,3,moderate
"Career/Technical Education Teachers, Middle School",all_ceiling,63.27,0.38,5,high
"Career/Technical Education Teachers, Postsecondary",all_ceiling,42.84,0.39,4,moderate
"Career/Technical Education Teachers, Secondary School",all_ceiling,57.09,-0.67,4,moderate
Cargo and Freight Agents,all_ceiling,66.58,2.41,6,high
Carpenters,all_ceiling,16.40,0.13,1,low
Carpet Installers,all_ceiling,15.76,1.12,3,moderate
Cartographers and Photogrammetrists,all_ceiling,60.56,0.35,5,high
Cashiers,all_ceiling,68.24,4.65,6,high
Cement Masons and Concrete Finishers,all_ceiling,16.12,1.91,2,low
Chefs and Head Cooks,all_ceiling,48.66,-0.30,5,high
Chemical Engineers,all_ceiling,57.92,-3.65,3,moderate
Chemical Equipment Operators and Tenders,all_ceiling,28.15,0.02,2,low
Chemical Plant and System Operators,all_ceiling,19.60,0.00,1,low
Chemical Technicians,all_ceiling,56.76,0.92,5,high
"Chemistry Teachers, Postsecondary",all_ceiling,72.80,-2.55,4,moderate
Chemists,all_ceiling,66.33,-1.49,3,moderate
Chief Executives,all_ceiling,61.10,-3.95,4,moderate
Chief Sustainability Officers,all_ceiling,34.20,-0.94,2,low
"Child, Family, and School Social Workers",all_ceiling,47.14,-1.45,3,moderate
Childcare Workers,all_ceiling,40.53,4.03,4,moderate
Chiropractors,all_ceiling,38.87,-0.75,3,moderate
Choreographers,all_ceiling,52.52,-0.16,3,moderate
Civil Engineering Technologists and Technicians,all_ceiling,48.00,0.22,5,high
Civil Engineers,all_ceiling,40.21,-2.86,1,low
"Claims Adjusters, Examiners, and Investigators",all_ceiling,43.66,-0.39,3,moderate
Cleaners of Vehicles and Equipment,all_ceiling,8.56,1.59,3,moderate
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",all_ceiling,27.28,-0.10,3,moderate
Clergy,all_ceiling,73.75,-2.30,3,moderate
Climate Change Policy Analysts,all_ceiling,46.66,-0.31,3,moderate
Clinical Data Managers,all_ceiling,73.34,0.20,5,high
Clinical Neuropsychologists,all_ceiling,20.03,-3.70,1,low
Clinical Nurse Specialists,all_ceiling,49.90,-2.60,4,moderate
Clinical Research Coordinators,all_ceiling,60.10,-0.16,4,moderate
Clinical and Counseling Psychologists,all_ceiling,40.47,-4.01,2,low
Coaches and Scouts,all_ceiling,63.35,-0.88,5,high
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",all_ceiling,18.36,-2.05,2,low
"Coil Winders, Tapers, and Finishers",all_ceiling,28.10,0.94,3,moderate
"Coin, Vending, and Amusement Machine Servicers and Repairers",all_ceiling,39.86,0.61,4,moderate
Commercial Divers,all_ceiling,24.28,-0.50,2,low
Commercial Pilots,all_ceiling,39.43,-1.76,3,moderate
Commercial and Industrial Designers,all_ceiling,62.74,-1.26,3,moderate
"Communications Teachers, Postsecondary",all_ceiling,87.16,-1.08,4,moderate
Community Health Workers,all_ceiling,48.37,-0.24,4,moderate
Compensation and Benefits Managers,all_ceiling,66.71,-0.28,4,moderate
"Compensation, Benefits, and Job Analysis Specialists",all_ceiling,53.21,0.56,6,high
Compliance Managers,all_ceiling,63.43,-1.49,4,moderate
Compliance Officers,all_ceiling,46.50,0.70,3,moderate
Computer Hardware Engineers,all_ceiling,61.46,-2.55,4,moderate
Computer Network Architects,all_ceiling,79.00,-0.51,4,moderate
Computer Network Support Specialists,all_ceiling,89.65,0.34,5,high
Computer Numerically Controlled Tool Operators,all_ceiling,46.45,-0.19,4,moderate
Computer Numerically Controlled Tool Programmers,all_ceiling,62.09,0.53,5,high
Computer Programmers,all_ceiling,83.88,0.70,5,high
"Computer Science Teachers, Postsecondary",all_ceiling,80.92,-1.45,4,moderate
Computer Systems Analysts,all_ceiling,80.71,-0.60,4,moderate
Computer Systems Engineers/Architects,all_ceiling,78.42,-1.04,5,high
Computer User Support Specialists,all_ceiling,85.45,0.02,5,high
Computer and Information Research Scientists,all_ceiling,79.64,-1.92,4,moderate
Computer and Information Systems Managers,all_ceiling,79.70,-0.43,4,moderate
"Computer, Automated Teller, and Office Machine Repairers",all_ceiling,59.39,1.15,6,high
Concierges,all_ceiling,75.09,1.15,5,high
Conservation Scientists,all_ceiling,23.08,0.61,4,moderate
Construction Laborers,all_ceiling,12.60,-1.06,2,low
Construction Managers,all_ceiling,55.65,-2.18,3,moderate
Construction and Building Inspectors,all_ceiling,40.89,0.33,4,moderate
Continuous Mining Machine Operators,all_ceiling,12.01,-1.05,1,low
"Control and Valve Installers and Repairers, Except Mechanical Door",all_ceiling,29.17,0.79,3,moderate
Conveyor Operators and Tenders,all_ceiling,35.52,0.91,4,moderate
"Cooks, Fast Food",all_ceiling,46.76,4.01,4,moderate
"Cooks, Institution and Cafeteria",all_ceiling,28.22,2.13,3,moderate
"Cooks, Private Household",all_ceiling,41.72,2.01,3,moderate
"Cooks, Restaurant",all_ceiling,49.58,2.55,4,moderate
"Cooks, Short Order",all_ceiling,53.26,2.51,5,high
Cooling and Freezing Equipment Operators and Tenders,all_ceiling,35.58,1.42,3,moderate
Coroners,all_ceiling,34.35,-1.09,3,moderate
Correctional Officers and Jailers,all_ceiling,27.69,0.48,2,low
Correspondence Clerks,all_ceiling,71.06,1.29,5,high
Cost Estimators,all_ceiling,59.14,0.14,5,high
Costume Attendants,all_ceiling,39.41,3.51,4,moderate
Counter and Rental Clerks,all_ceiling,83.28,3.25,6,high
Couriers and Messengers,all_ceiling,38.11,3.37,4,moderate
Court Reporters and Simultaneous Captioners,all_ceiling,57.07,0.50,7,high
"Court, Municipal, and License Clerks",all_ceiling,64.37,0.90,6,high
Craft Artists,all_ceiling,69.94,2.58,5,high
Crane and Tower Operators,all_ceiling,22.62,0.19,2,low
Credit Analysts,all_ceiling,78.00,-0.18,4,moderate
"Credit Authorizers, Checkers, and Clerks",all_ceiling,53.51,2.57,6,high
Credit Counselors,all_ceiling,66.54,0.89,6,high
Crematory Operators,all_ceiling,18.71,,2,low
"Criminal Justice and Law Enforcement Teachers, Postsecondary",all_ceiling,80.29,-1.88,4,moderate
Critical Care Nurses,all_ceiling,26.24,-1.81,1,low
Crossing Guards and Flaggers,all_ceiling,28.91,4.20,3,moderate
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",all_ceiling,30.18,1.13,4,moderate
Curators,all_ceiling,84.30,-0.45,4,moderate
Customer Service Representatives,all_ceiling,85.86,2.00,7,high
Customs Brokers,all_ceiling,59.30,0.85,5,high
Customs and Border Protection Officers,all_ceiling,49.67,0.44,4,moderate
"Cutters and Trimmers, Hand",all_ceiling,19.59,1.05,3,moderate
"Cutting and Slicing Machine Setters, Operators, and Tenders",all_ceiling,33.88,-0.03,3,moderate
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",all_ceiling,26.97,1.43,3,moderate
Cytogenetic Technologists,all_ceiling,44.76,0.72,5,high
Cytotechnologists,all_ceiling,49.87,1.00,5,high
Dancers,all_ceiling,21.71,-0.95,1,low
Data Entry Keyers,all_ceiling,79.58,0.93,7,high
Data Scientists,all_ceiling,76.82,,3,moderate
Data Warehousing Specialists,all_ceiling,91.95,1.20,5,high
Database Administrators,all_ceiling,84.09,0.05,4,moderate
Database Architects,all_ceiling,78.71,-0.66,3,moderate
Demonstrators and Product Promoters,all_ceiling,69.12,2.14,5,high
Dental Assistants,all_ceiling,41.18,1.95,5,high
Dental Hygienists,all_ceiling,20.52,0.34,2,low
Dental Laboratory Technicians,all_ceiling,14.43,1.89,4,moderate
"Dentists, General",all_ceiling,33.43,-1.93,3,moderate
Dermatologists,all_ceiling,36.84,-1.80,4,moderate
"Derrick Operators, Oil and Gas",all_ceiling,20.24,0.06,2,low
Desktop Publishers,all_ceiling,80.07,0.66,7,high
Detectives and Criminal Investigators,all_ceiling,44.48,-1.43,3,moderate
Diagnostic Medical Sonographers,all_ceiling,46.38,0.92,4,moderate
Dietetic Technicians,all_ceiling,61.71,1.34,6,high
Dietitians and Nutritionists,all_ceiling,53.92,-1.41,3,moderate
Digital Forensics Analysts,all_ceiling,64.98,,3,moderate
Dining Room and Cafeteria Attendants and Bartender Helpers,all_ceiling,16.11,3.31,3,moderate
"Directors, Religious Activities and Education",all_ceiling,62.70,0.01,3,moderate
"Disc Jockeys, Except Radio",all_ceiling,42.15,,3,moderate
Dishwashers,all_ceiling,5.27,3.67,3,moderate
"Dispatchers, Except Police, Fire, and Ambulance",all_ceiling,81.27,0.65,7,high
Document Management Specialists,all_ceiling,86.01,0.76,5,high
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",all_ceiling,56.92,2.43,5,high
Dredge Operators,all_ceiling,10.32,-0.57,2,low
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",all_ceiling,21.32,0.65,3,moderate
Driver/Sales Workers,all_ceiling,50.33,2.65,5,high
Drywall and Ceiling Tile Installers,all_ceiling,17.32,1.25,2,low
"Earth Drillers, Except Oil and Gas",all_ceiling,13.75,-0.13,2,low
"Economics Teachers, Postsecondary",all_ceiling,85.29,-2.30,4,moderate
Economists,all_ceiling,82.74,-2.29,5,high
Editors,all_ceiling,69.05,-0.60,5,high
"Education Administrators, Kindergarten through Secondary",all_ceiling,38.18,-3.46,2,low
"Education Administrators, Postsecondary",all_ceiling,49.91,-1.76,4,moderate
"Education Teachers, Postsecondary",all_ceiling,88.37,-2.03,4,moderate
"Education and Childcare Administrators, Preschool and Daycare",all_ceiling,42.53,-0.48,2,low
"Educational, Guidance, and Career Counselors and Advisors",all_ceiling,43.76,-0.58,3,moderate
"Electric Motor, Power Tool, and Related Repairers",all_ceiling,28.31,-0.34,2,low
Electrical Engineers,all_ceiling,54.63,-1.59,3,moderate
Electrical Power-Line Installers and Repairers,all_ceiling,21.94,0.05,1,low
Electrical and Electronic Engineering Technologists and Technicians,all_ceiling,49.89,0.13,3,moderate
Electrical and Electronic Equipment Assemblers,all_ceiling,32.54,1.36,3,moderate
Electrical and Electronics Drafters,all_ceiling,57.61,0.81,6,high
"Electrical and Electronics Installers and Repairers, Transportation Equipment",all_ceiling,36.08,0.40,3,moderate
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",all_ceiling,55.17,-0.55,3,moderate
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",all_ceiling,53.60,-0.46,3,moderate
Electricians,all_ceiling,43.47,-0.03,3,moderate
Electro-Mechanical and Mechatronics Technologists and Technicians,all_ceiling,38.87,-0.58,3,moderate
Electromechanical Equipment Assemblers,all_ceiling,23.67,1.82,3,moderate
"Electronic Equipment Installers and Repairers, Motor Vehicles",all_ceiling,39.28,0.56,3,moderate
"Electronics Engineers, Except Computer",all_ceiling,64.69,-2.10,3,moderate
"Elementary School Teachers, Except Special Education",all_ceiling,67.10,-0.31,4,moderate
Elevator and Escalator Installers and Repairers,all_ceiling,21.05,-0.49,1,low
"Eligibility Interviewers, Government Programs",all_ceiling,68.18,0.45,6,high
Embalmers,all_ceiling,17.14,1.45,3,moderate
Emergency Management Directors,all_ceiling,37.78,-2.81,3,moderate
Emergency Medical Technicians,all_ceiling,14.49,,2,low
Emergency Medicine Physicians,all_ceiling,26.91,-4.47,0,low
Endoscopy Technicians,all_ceiling,2.95,1.79,3,moderate
Energy Auditors,all_ceiling,45.55,0.70,5,high
"Energy Engineers, Except Wind and Solar",all_ceiling,43.40,-1.51,1,low
Engine and Other Machine Assemblers,all_ceiling,18.72,0.26,3,moderate
"Engineering Teachers, Postsecondary",all_ceiling,85.91,-3.53,4,moderate
"English Language and Literature Teachers, Postsecondary",all_ceiling,81.79,-1.41,4,moderate
"Entertainment and Recreation Managers, Except Gambling",all_ceiling,54.73,0.82,5,high
Environmental Compliance Inspectors,all_ceiling,44.68,-0.65,2,low
Environmental Economists,all_ceiling,50.36,-1.87,5,high
Environmental Engineering Technologists and Technicians,all_ceiling,46.85,0.17,4,moderate
Environmental Engineers,all_ceiling,40.73,-1.92,1,low
Environmental Restoration Planners,all_ceiling,32.52,-0.93,2,low
"Environmental Science Teachers, Postsecondary",all_ceiling,81.07,-1.57,4,moderate
"Environmental Science and Protection Technicians, Including Health",all_ceiling,37.23,0.86,3,moderate
"Environmental Scientists and Specialists, Including Health",all_ceiling,52.28,-0.18,4,moderate
Epidemiologists,all_ceiling,43.64,-2.89,4,moderate
Equal Opportunity Representatives and Officers,all_ceiling,36.57,-1.37,2,low
Etchers and Engravers,all_ceiling,31.34,1.46,2,low
"Excavating and Loading Machine and Dragline Operators, Surface Mining",all_ceiling,11.21,-0.80,2,low
Executive Secretaries and Executive Administrative Assistants,all_ceiling,87.55,0.49,7,high
Exercise Physiologists,all_ceiling,56.92,-0.34,4,moderate
Exercise Trainers and Group Fitness Instructors,all_ceiling,38.55,0.75,3,moderate
"Explosives Workers, Ordnance Handling Experts, and Blasters",all_ceiling,13.67,-0.42,2,low
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",all_ceiling,26.39,0.60,3,moderate
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",all_ceiling,30.21,1.66,4,moderate
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",all_ceiling,31.94,0.61,3,moderate
Fabric and Apparel Patternmakers,all_ceiling,34.20,1.06,3,moderate
Facilities Managers,all_ceiling,41.14,0.53,5,high
Fallers,all_ceiling,17.31,-1.41,1,low
Family Medicine Physicians,all_ceiling,23.99,-3.02,2,low
"Family and Consumer Sciences Teachers, Postsecondary",all_ceiling,50.12,-0.20,4,moderate
Farm Equipment Mechanics and Service Technicians,all_ceiling,26.03,-0.96,2,low
Farm Labor Contractors,all_ceiling,28.08,2.26,3,moderate
Farm and Home Management Educators,all_ceiling,50.40,-1.46,3,moderate
"Farmers, Ranchers, and Other Agricultural Managers",all_ceiling,20.79,-0.27,1,low
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",all_ceiling,11.34,-0.38,1,low
"Farmworkers, Farm, Ranch, and Aquacultural Animals",all_ceiling,28.73,2.04,3,moderate
Fashion Designers,all_ceiling,60.91,0.96,7,high
Fast Food and Counter Workers,all_ceiling,35.37,4.51,3,moderate
Fence Erectors,all_ceiling,8.90,1.58,3,moderate
Fiberglass Laminators and Fabricators,all_ceiling,10.34,1.95,3,moderate
File Clerks,all_ceiling,74.95,2.18,5,high
Film and Video Editors,all_ceiling,79.84,0.82,6,high
Financial Examiners,all_ceiling,34.02,-1.25,3,moderate
Financial Managers,all_ceiling,52.40,-1.40,4,moderate
Financial Quantitative Analysts,all_ceiling,85.89,-2.05,4,moderate
Financial Risk Specialists,all_ceiling,64.82,,3,moderate
Financial and Investment Analysts,all_ceiling,64.67,,2,low
"Fine Artists, Including Painters, Sculptors, and Illustrators",all_ceiling,70.70,1.67,7,high
Fire Inspectors and Investigators,all_ceiling,27.90,-0.86,2,low
Fire-Prevention and Protection Engineers,all_ceiling,34.42,-2.58,1,low
Firefighters,all_ceiling,17.36,-1.55,2,low
First-Line Supervisors of Construction Trades and Extraction Workers,all_ceiling,61.23,0.54,5,high
First-Line Supervisors of Correctional Officers,all_ceiling,37.29,-0.94,1,low
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",all_ceiling,44.86,,4,moderate
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",all_ceiling,21.46,1.07,4,moderate
First-Line Supervisors of Firefighting and Prevention Workers,all_ceiling,19.81,-1.14,2,low
First-Line Supervisors of Food Preparation and Serving Workers,all_ceiling,53.71,2.01,7,high
First-Line Supervisors of Gambling Services Workers,all_ceiling,45.36,1.12,5,high
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",all_ceiling,43.41,1.93,6,high
First-Line Supervisors of Housekeeping and Janitorial Workers,all_ceiling,50.96,2.25,6,high
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",all_ceiling,42.80,0.65,3,moderate
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,all_ceiling,34.82,-0.35,4,moderate
"First-Line Supervisors of Mechanics, Installers, and Repairers",all_ceiling,53.83,-0.29,4,moderate
First-Line Supervisors of Non-Retail Sales Workers,all_ceiling,81.86,0.50,5,high
First-Line Supervisors of Office and Administrative Support Workers,all_ceiling,75.47,0.12,5,high
First-Line Supervisors of Passenger Attendants,all_ceiling,31.50,,2,low
First-Line Supervisors of Personal Service Workers,all_ceiling,48.69,0.05,5,high
First-Line Supervisors of Police and Detectives,all_ceiling,42.62,-1.83,3,moderate
First-Line Supervisors of Production and Operating Workers,all_ceiling,45.40,0.81,4,moderate
First-Line Supervisors of Retail Sales Workers,all_ceiling,81.60,1.55,7,high
First-Line Supervisors of Security Workers,all_ceiling,44.92,-1.43,5,high
Fish and Game Wardens,all_ceiling,38.96,-0.24,1,low
Fishing and Hunting Workers,all_ceiling,9.29,2.45,2,low
Fitness and Wellness Coordinators,all_ceiling,58.23,0.27,4,moderate
Flight Attendants,all_ceiling,38.93,0.50,3,moderate
"Floor Layers, Except Carpet, Wood, and Hard Tiles",all_ceiling,9.90,1.98,3,moderate
Floor Sanders and Finishers,all_ceiling,0.00,-0.27,2,low
Floral Designers,all_ceiling,43.14,2.18,2,low
Food Batchmakers,all_ceiling,33.14,1.56,4,moderate
Food Cooking Machine Operators and Tenders,all_ceiling,35.76,1.08,3,moderate
Food Preparation Workers,all_ceiling,38.18,4.91,3,moderate
Food Science Technicians,all_ceiling,48.63,1.58,6,high
Food Scientists and Technologists,all_ceiling,48.90,-0.96,2,low
"Food Servers, Nonrestaurant",all_ceiling,32.27,4.29,3,moderate
Food Service Managers,all_ceiling,46.49,1.22,7,high
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",all_ceiling,29.58,1.50,3,moderate
"Foreign Language and Literature Teachers, Postsecondary",all_ceiling,81.98,-0.74,4,moderate
Forensic Science Technicians,all_ceiling,58.06,-0.01,4,moderate
Forest Fire Inspectors and Prevention Specialists,all_ceiling,39.56,0.61,6,high
Forest and Conservation Technicians,all_ceiling,26.68,1.73,4,moderate
Forest and Conservation Workers,all_ceiling,14.95,2.80,2,low
Foresters,all_ceiling,13.95,-0.17,2,low
"Forestry and Conservation Science Teachers, Postsecondary",all_ceiling,80.90,-1.60,4,moderate
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",all_ceiling,22.30,1.03,3,moderate
Foundry Mold and Coremakers,all_ceiling,1.73,1.33,3,moderate
"Fraud Examiners, Investigators and Analysts",all_ceiling,81.48,-0.90,4,moderate
Freight Forwarders,all_ceiling,68.18,0.96,7,high
Fuel Cell Engineers,all_ceiling,41.52,-2.20,1,low
Fundraisers,all_ceiling,69.00,-0.19,5,high
Fundraising Managers,all_ceiling,42.87,-0.49,3,moderate
Funeral Attendants,all_ceiling,40.19,2.81,4,moderate
Funeral Home Managers,all_ceiling,38.78,0.77,4,moderate
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",all_ceiling,47.31,0.63,4,moderate
Furniture Finishers,all_ceiling,16.17,1.35,3,moderate
Gambling Cage Workers,all_ceiling,46.57,3.37,5,high
Gambling Change Persons and Booth Cashiers,all_ceiling,51.12,3.31,5,high
Gambling Dealers,all_ceiling,51.56,2.59,5,high
Gambling Managers,all_ceiling,36.14,-0.38,3,moderate
Gambling Surveillance Officers and Gambling Investigators,all_ceiling,61.84,1.24,6,high
Gambling and Sports Book Writers and Runners,all_ceiling,50.78,2.69,5,high
Gas Compressor and Gas Pumping Station Operators,all_ceiling,51.97,0.47,5,high
Gas Plant Operators,all_ceiling,32.89,0.53,4,moderate
Gem and Diamond Workers,all_ceiling,29.86,1.83,3,moderate
General Internal Medicine Physicians,all_ceiling,22.61,-2.63,2,low
General and Operations Managers,all_ceiling,52.31,-0.33,4,moderate
Genetic Counselors,all_ceiling,53.84,-1.43,3,moderate
Geneticists,all_ceiling,64.10,-2.83,4,moderate
