title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
Automotive and Watercraft Service Attendants,6.49,17.99,low,low,False,Transportation and Material Moving Occupations
Aviation Inspectors,15.13,15.13,low,low,False,Transportation and Material Moving Occupations
Avionics Technicians,24.26,29.42,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
Baggage Porters and Bellhops,24.50,28.74,restructuring,restructuring,False,Personal Care and Service Occupations
Bailiffs,33.16,43.53,restructuring,moderate,True,Protective Service Occupations
Bakers,19.84,25.05,low,restructuring,True,Production Occupations
Barbers,9.94,12.75,low,low,False,Personal Care and Service Occupations
Baristas,35.90,47.64,restructuring,moderate,True,Food Preparation and Serving Related Occupations
Bartenders,21.63,28.74,restructuring,restructuring,False,Food Preparation and Serving Related Occupations
Bicycle Repairers,25.44,25.44,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
Bill and Account Collectors,26.84,71.85,restructuring,high,True,Office and Administrative Support Occupations
Billing and Posting Clerks,36.77,36.77,restructuring,restructuring,False,Office and Administrative Support Occupations
Biochemists and Biophysicists,39.07,53.57,restructuring,moderate,True,"Life, Physical, and Social Science Occupations"
Bioengineers and Biomedical Engineers,40.11,40.11,moderate,moderate,False,Architecture and Engineering Occupations
Biofuels Processing Technicians,6.74,13.88,low,low,False,Production Occupations
Biofuels Production Managers,4.10,4.10,low,low,False,Management Occupations
Biofuels/Biodiesel Technology and Product Development Managers,16.40,22.85,low,restructuring,True,Management Occupations
Bioinformatics Scientists,40.62,72.19,moderate,high,True,"Life, Physical, and Social Science Occupations"
Bioinformatics Technicians,41.61,87.67,moderate,high,True,Computer and Mathematical Occupations
"Biological Science Teachers, Postsecondary",30.08,74.81,restructuring,high,True,Educational Instruction and Library Occupations
Biological Technicians,27.12,50.27,restructuring,moderate,True,"Life, Physical, and Social Science Occupations"
Biologists,40.25,58.37,moderate,moderate,False,"Life, Physical, and Social Science Occupations"
Biomass Plant Technicians,8.87,8.87,low,low,False,Production Occupations
Biomass Power Plant Managers,13.83,18.11,low,low,False,Management Occupations
Biostatisticians,40.80,59.69,moderate,moderate,False,Computer and Mathematical Occupations
Blockchain Engineers,48.02,48.02,moderate,moderate,False,Computer and Mathematical Occupations
Boilermakers,10.26,15.52,low,low,False,Construction and Extraction Occupations
"Bookkeeping, Accounting, and Auditing Clerks",40.95,69.59,moderate,high,True,Office and Administrative Support Occupations
Brickmasons and Blockmasons,15.65,18.68,low,low,False,Construction and Extraction Occupations
Bridge and Lock Tenders,0.00,0.00,low,low,False,Transportation and Material Moving Occupations
Broadcast Announcers and Radio Disc Jockeys,42.82,42.82,moderate,moderate,False,"Arts, Design, Entertainment, Sports, and Media Occupations"
Broadcast Technicians,22.23,32.93,restructuring,restructuring,False,"Arts, Design, Entertainment, Sports, and Media Occupations"
Brokerage Clerks,46.55,71.34,moderate,high,True,Office and Administrative Support Occupations
Brownfield Redevelopment Specialists and Site Managers,15.93,15.93,low,low,False,Management Occupations
Budget Analysts,41.32,53.93,moderate,moderate,False,Business and Financial Operations Occupations
"Bus Drivers, School",14.64,14.64,low,low,False,Transportation and Material Moving Occupations
"Bus Drivers, Transit and Intercity",22.47,22.47,restructuring,restructuring,False,Transportation and Material Moving Occupations
Bus and Truck Mechanics and Diesel Engine Specialists,27.65,28.48,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
Business Continuity Planners,35.39,56.03,restructuring,moderate,True,Business and Financial Operations Occupations
Business Intelligence Analysts,46.81,92.34,moderate,high,True,Computer and Mathematical Occupations
"Business Teachers, Postsecondary",41.75,80.38,moderate,high,True,Educational Instruction and Library Occupations
Butchers and Meat Cutters,40.59,40.59,moderate,moderate,False,Production Occupations
"Buyers and Purchasing Agents, Farm Products",24.78,42.88,restructuring,moderate,True,Business and Financial Operations Occupations
Cabinetmakers and Bench Carpenters,22.01,23.19,restructuring,restructuring,False,Production Occupations
Calibration Technologists and Technicians,33.22,33.22,restructuring,restructuring,False,Architecture and Engineering Occupations
"Camera Operators, Television, Video, and Film",27.63,27.63,restructuring,restructuring,False,"Arts, Design, Entertainment, Sports, and Media Occupations"
Camera and Photographic Equipment Repairers,25.96,34.18,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
"Captains, Mates, and Pilots of Water Vessels",20.14,20.14,restructuring,restructuring,False,Transportation and Material Moving Occupations
Cardiologists,21.34,21.34,restructuring,restructuring,False,Healthcare Practitioners and Technical Occupations
Cardiovascular Technologists and Technicians,16.37,27.72,low,restructuring,True,Healthcare Practitioners and Technical Occupations
"Career/Technical Education Teachers, Middle School",27.62,58.59,restructuring,moderate,True,Educational Instruction and Library Occupations
"Career/Technical Education Teachers, Postsecondary",32.38,32.38,restructuring,restructuring,False,Educational Instruction and Library Occupations
"Career/Technical Education Teachers, Secondary School",27.32,53.33,restructuring,moderate,True,Educational Instruction and Library Occupations
Cargo and Freight Agents,21.55,51.94,restructuring,moderate,True,Office and Administrative Support Occupations
