label,workers_affected,wages_affected,pct_of_employment
Agentic Confirmed,31104331.10,2161947480917.13,20.30
MCP Only,46548747.56,2968844533881.60,30.38
Agentic Ceiling,60357728.40,3971936018538.08,39.39
Conv. Baseline,61298957.33,3993190229832.57,40.00
