category,config_key,config_label,pct_tasks_affected,workers_affected,wages_affected
Dental Assistants,agentic_confirmed,Agentic Confirmed,28.60,107384.26,5079275643.40
First-Line Supervisors of Non-Retail Sales Workers,agentic_confirmed,Agentic Confirmed,49.01,107333.05,9029929637.39
Electricians,agentic_confirmed,Agentic Confirmed,14.17,105223.51,6560686094.23
Business Intelligence Analysts,agentic_confirmed,Agentic Confirmed,85.24,104381.30,11752291072.54
"Educational, Guidance, and Career Counselors and Advisors",agentic_confirmed,Agentic Confirmed,29.64,101485.04,6610735428.90
"Property, Real Estate, and Community Association Managers",agentic_confirmed,Agentic Confirmed,33.17,98381.76,6562063506.16
Graphic Designers,agentic_confirmed,Agentic Confirmed,45.84,98213.74,6020502318.73
Computer Systems Engineers/Architects,agentic_confirmed,Agentic Confirmed,48.98,95819.37,10441436417.93
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",agentic_confirmed,Agentic Confirmed,21.87,93412.30,2837865561.39
Loan Officers,agentic_confirmed,Agentic Confirmed,32.14,93382.50,6927113849.06
Web Administrators,agentic_confirmed,Agentic Confirmed,49.12,93010.62,10135367575.02
Waiters and Waitresses,agentic_confirmed,Agentic Confirmed,4.02,92617.30,3126760156.36
"Hotel, Motel, and Resort Desk Clerks",agentic_confirmed,Agentic Confirmed,34.94,91350.92,3130595984.24
Computer Network Support Specialists,agentic_confirmed,Agentic Confirmed,62.03,90846.43,6662677187.02
"Production, Planning, and Expediting Clerks",agentic_confirmed,Agentic Confirmed,23.16,89184.32,5152178245.33
Bill and Account Collectors,agentic_confirmed,Agentic Confirmed,54.00,89114.08,4102812425.85
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",agentic_confirmed,Agentic Confirmed,54.44,88355.82,6684118086.34
Patient Representatives,agentic_confirmed,Agentic Confirmed,75.13,88009.16,4293966930.77
Nurse Practitioners,agentic_confirmed,Agentic Confirmed,28.27,86886.84,11226649147.82
Driver/Sales Workers,agentic_confirmed,Agentic Confirmed,20.57,85868.58,3188300324.92
Licensed Practical and Licensed Vocational Nurses,agentic_confirmed,Agentic Confirmed,13.50,85349.22,5320670419.56
Pharmacists,agentic_confirmed,Agentic Confirmed,24.97,82103.30,11287561083.23
Construction Managers,agentic_confirmed,Agentic Confirmed,23.50,81861.86,8757581512.36
"Dispatchers, Except Police, Fire, and Ambulance",agentic_confirmed,Agentic Confirmed,37.86,79890.44,3905044950.90
Treasurers and Controllers,agentic_confirmed,Agentic Confirmed,27.51,78844.52,12749158972.76
