date,dataset,category,workers_affected,wages_affected,pct_tasks_affected
2025-03-06,AEI Both + Micro 2025-03-06,Architecture and Engineering Occupations,966546.03,94727525688.85,36.77
2025-03-06,AEI Both + Micro 2025-03-06,Personal Care and Service Occupations,919139.40,33452250724.23,28.09
2025-03-06,AEI Both + Micro 2025-03-06,Construction and Extraction Occupations,900668.19,56516683612.08,11.57
2025-03-06,AEI Both + Micro 2025-03-06,"Arts, Design, Entertainment, Sports, and Media Occupations",888125.48,57099980885.99,39.38
2025-03-06,AEI Both + Micro 2025-03-06,Community and Social Service Occupations,827183.89,48062293263.47,37.32
2025-03-06,AEI Both + Micro 2025-03-06,"Life, Physical, and Social Science Occupations",492934.60,42015675568.07,31.95
2025-03-06,AEI Both + Micro 2025-03-06,Building and Grounds Cleaning and Maintenance Occupations,412451.11,16034307344.51,11.92
2025-03-06,AEI Both + Micro 2025-03-06,Legal Occupations,351707.94,41277688960.42,34.28
2025-03-06,AEI Both + Micro 2025-03-06,"Farming, Fishing, and Forestry Occupations",40796.57,1641125473.56,13.37
2025-08-11,AEI Both + Micro 2025-08-11,Office and Administrative Support Occupations,10475031.14,493849782005.74,47.07
2025-08-11,AEI Both + Micro 2025-08-11,Sales and Related Occupations,6997691.40,333005568496.64,54.50
2025-08-11,AEI Both + Micro 2025-08-11,Business and Financial Operations Occupations,5099781.77,416048519340.31,46.22
2025-08-11,AEI Both + Micro 2025-08-11,Food Preparation and Serving Related Occupations,4758058.50,161864710758.93,34.07
2025-08-11,AEI Both + Micro 2025-08-11,Management Occupations,4291437.34,543707124323.95,31.77
2025-08-11,AEI Both + Micro 2025-08-11,Educational Instruction and Library Occupations,3895173.35,246483923633.81,49.42
2025-08-11,AEI Both + Micro 2025-08-11,Computer and Mathematical Occupations,3097953.62,312834242830.57,62.32
2025-08-11,AEI Both + Micro 2025-08-11,Healthcare Practitioners and Technical Occupations,2953417.33,286802091443.93,26.20
2025-08-11,AEI Both + Micro 2025-08-11,Transportation and Material Moving Occupations,2066446.95,97988201515.17,16.74
2025-08-11,AEI Both + Micro 2025-08-11,Healthcare Support Occupations,2046180.67,78170757864.08,22.51
2025-08-11,AEI Both + Micro 2025-08-11,"Installation, Maintenance, and Repair Occupations",1555895.73,94802082783.96,23.07
2025-08-11,AEI Both + Micro 2025-08-11,Production Occupations,1514796.87,76116428155.93,17.81
2025-08-11,AEI Both + Micro 2025-08-11,Protective Service Occupations,1216201.13,66424320932.65,31.18
2025-08-11,AEI Both + Micro 2025-08-11,Construction and Extraction Occupations,1125326.89,71314472282.78,12.95
2025-08-11,AEI Both + Micro 2025-08-11,Architecture and Engineering Occupations,1048240.43,103428692708.47,39.00
2025-08-11,AEI Both + Micro 2025-08-11,"Arts, Design, Entertainment, Sports, and Media Occupations",1044322.80,67535546596.53,42.93
2025-08-11,AEI Both + Micro 2025-08-11,Personal Care and Service Occupations,1041260.65,37784735063.89,31.26
2025-08-11,AEI Both + Micro 2025-08-11,Community and Social Service Occupations,890456.69,51834825501.78,43.29
2025-08-11,AEI Both + Micro 2025-08-11,"Life, Physical, and Social Science Occupations",578684.14,49229925967.39,39.07
2025-08-11,AEI Both + Micro 2025-08-11,Building and Grounds Cleaning and Maintenance Occupations,468635.21,18708365616.85,17.65
2025-08-11,AEI Both + Micro 2025-08-11,Legal Occupations,468206.61,53466258524.21,42.67
2025-08-11,AEI Both + Micro 2025-08-11,"Farming, Fishing, and Forestry Occupations",40796.57,1641125473.56,13.37
2025-11-13,AEI Both + Micro 2025-11-13,Office and Administrative Support Occupations,11020719.26,522332323552.73,49.63
2025-11-13,AEI Both + Micro 2025-11-13,Sales and Related Occupations,7514103.95,360278180626.17,58.31
2025-11-13,AEI Both + Micro 2025-11-13,Business and Financial Operations Occupations,5315475.76,432204667040.84,49.09
2025-11-13,AEI Both + Micro 2025-11-13,Food Preparation and Serving Related Occupations,4863067.78,165855886457.82,35.26
2025-11-13,AEI Both + Micro 2025-11-13,Management Occupations,4646091.04,594141257239.04,34.53
2025-11-13,AEI Both + Micro 2025-11-13,Educational Instruction and Library Occupations,4193227.81,265897678586.56,52.50
2025-11-13,AEI Both + Micro 2025-11-13,Computer and Mathematical Occupations,3278592.65,328416921971.32,64.89
2025-11-13,AEI Both + Micro 2025-11-13,Healthcare Practitioners and Technical Occupations,3241553.92,315828375077.43,28.53
2025-11-13,AEI Both + Micro 2025-11-13,Healthcare Support Occupations,2314111.01,88875923216.25,24.59
2025-11-13,AEI Both + Micro 2025-11-13,Transportation and Material Moving Occupations,2084341.43,98887018865.20,17.22
2025-11-13,AEI Both + Micro 2025-11-13,"Installation, Maintenance, and Repair Occupations",1575490.78,95954770527.16,23.61
2025-11-13,AEI Both + Micro 2025-11-13,Production Occupations,1539218.71,77180495988.04,18.11
2025-11-13,AEI Both + Micro 2025-11-13,Protective Service Occupations,1330906.44,71284836467.83,32.92
2025-11-13,AEI Both + Micro 2025-11-13,Construction and Extraction Occupations,1249664.51,79058755529.46,13.59
2025-11-13,AEI Both + Micro 2025-11-13,"Arts, Design, Entertainment, Sports, and Media Occupations",1134048.27,73096537543.27,46.05
2025-11-13,AEI Both + Micro 2025-11-13,Personal Care and Service Occupations,1107205.35,40185117068.47,33.29
2025-11-13,AEI Both + Micro 2025-11-13,Architecture and Engineering Occupations,1092033.40,108358906932.68,39.80
2025-11-13,AEI Both + Micro 2025-11-13,Community and Social Service Occupations,945850.42,55247286074.63,46.35
2025-11-13,AEI Both + Micro 2025-11-13,"Life, Physical, and Social Science Occupations",601254.48,50998312094.09,41.09
2025-11-13,AEI Both + Micro 2025-11-13,Legal Occupations,510012.93,59454335167.78,45.47
2025-11-13,AEI Both + Micro 2025-11-13,Building and Grounds Cleaning and Maintenance Occupations,475412.81,19032349197.76,18.35
2025-11-13,AEI Both + Micro 2025-11-13,"Farming, Fishing, and Forestry Occupations",40822.76,1642461261.14,13.39
2026-02-12,AEI Both + Micro 2026-02-12,Office and Administrative Support Occupations,11211805.50,532655747235.43,51.05
2026-02-12,AEI Both + Micro 2026-02-12,Sales and Related Occupations,7574293.67,363035474832.75,59.53
2026-02-12,AEI Both + Micro 2026-02-12,Business and Financial Operations Occupations,5465270.63,443698131584.16,50.73
2026-02-12,AEI Both + Micro 2026-02-12,Food Preparation and Serving Related Occupations,4905325.38,167268289053.74,35.56
2026-02-12,AEI Both + Micro 2026-02-12,Management Occupations,4787440.12,613850326628.42,35.52
2026-02-12,AEI Both + Micro 2026-02-12,Educational Instruction and Library Occupations,4231451.71,268872175208.94,53.58
2026-02-12,AEI Both + Micro 2026-02-12,Healthcare Practitioners and Technical Occupations,3345832.72,326418819130.75,29.25
2026-02-12,AEI Both + Micro 2026-02-12,Computer and Mathematical Occupations,3305671.69,331313213511.07,65.70
2026-02-12,AEI Both + Micro 2026-02-12,Healthcare Support Occupations,2405440.06,92312817314.83,25.10
2026-02-12,AEI Both + Micro 2026-02-12,Transportation and Material Moving Occupations,2141407.07,101021046727.33,17.58
2026-02-12,AEI Both + Micro 2026-02-12,"Installation, Maintenance, and Repair Occupations",1587023.87,96709542294.39,23.91
2026-02-12,AEI Both + Micro 2026-02-12,Production Occupations,1577975.29,79093629622.31,18.31
2026-02-12,AEI Both + Micro 2026-02-12,Protective Service Occupations,1370571.58,72812418372.76,33.27
2026-02-12,AEI Both + Micro 2026-02-12,Construction and Extraction Occupations,1338971.01,85605981839.16,13.88
2026-02-12,AEI Both + Micro 2026-02-12,"Arts, Design, Entertainment, Sports, and Media Occupations",1176721.97,76028144251.40,47.59
2026-02-12,AEI Both + Micro 2026-02-12,Personal Care and Service Occupations,1138612.05,41285161914.16,34.27
2026-02-12,AEI Both + Micro 2026-02-12,Architecture and Engineering Occupations,1119726.49,111475278692.68,40.43
2026-02-12,AEI Both + Micro 2026-02-12,Community and Social Service Occupations,961319.91,56006098808.93,47.26
2026-02-12,AEI Both + Micro 2026-02-12,"Life, Physical, and Social Science Occupations",614566.92,52188878657.71,41.77
2026-02-12,AEI Both + Micro 2026-02-12,Legal Occupations,521711.86,60787696848.72,48.28
2026-02-12,AEI Both + Micro 2026-02-12,Building and Grounds Cleaning and Maintenance Occupations,476603.66,19088938187.05,18.46
2026-02-12,AEI Both + Micro 2026-02-12,"Farming, Fishing, and Forestry Occupations",41214.17,1662419115.89,13.72
