cluster,Architecture and Engineering Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Building and Grounds Cleaning and Maintenance Occupations,Business and Financial Operations Occupations,Community and Social Service Occupations,Computer and Mathematical Occupations,Construction and Extraction Occupations,Educational Instruction and Library Occupations,"Farming, Fishing, and Forestry Occupations",Food Preparation and Serving Related Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Support Occupations,"Installation, Maintenance, and Repair Occupations",Legal Occupations,"Life, Physical, and Social Science Occupations",Management Occupations,Office and Administrative Support Occupations,Personal Care and Service Occupations,Production Occupations,Protective Service Occupations,Sales and Related Occupations,Transportation and Material Moving Occupations,cluster_label
0,3.47,1.61,0.56,13.57,1.04,9.49,2.48,4.75,0.05,7.57,9.71,2.84,1.88,0.60,1.16,8.96,13.13,1.56,1.55,1.98,9.49,2.56,Cluster 1
1,3.66,1.58,0.60,10.99,1.35,6.66,2.15,5.57,0.04,7.40,12.43,3.00,1.94,0.61,1.18,9.01,13.90,1.67,2.22,1.90,9.33,2.82,Cluster 2
2,2.67,4.48,0.45,24.83,0.77,21.18,0.60,2.82,0.02,3.47,4.77,1.44,0.52,2.65,2.54,13.66,5.65,0.98,0.73,2.31,2.74,0.72,Cluster 3
3,3.35,1.34,0.65,9.32,1.16,5.14,2.95,5.43,0.08,8.60,12.36,3.16,2.52,0.51,1.15,7.07,14.68,1.95,2.85,1.96,10.54,3.24,Cluster 4
4,3.02,1.41,0.88,10.34,1.16,4.54,3.05,5.10,0.05,9.75,9.51,2.82,2.27,0.52,1.33,8.68,16.05,1.77,1.67,3.65,9.82,2.59,Cluster 5
