geo,Architecture and Engineering Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Building and Grounds Cleaning and Maintenance Occupations,Business and Financial Operations Occupations,Community and Social Service Occupations,Computer and Mathematical Occupations,Construction and Extraction Occupations,Educational Instruction and Library Occupations,"Farming, Fishing, and Forestry Occupations",Food Preparation and Serving Related Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Support Occupations,"Installation, Maintenance, and Repair Occupations",Legal Occupations,"Life, Physical, and Social Science Occupations",Management Occupations,Office and Administrative Support Occupations,Personal Care and Service Occupations,Production Occupations,Protective Service Occupations,Sales and Related Occupations,Transportation and Material Moving Occupations
pr,2.66,0.88,1.08,11.75,1.35,3.10,1.85,5.30,0.06,7.11,11.35,2.31,1.87,0.44,1.01,6.63,18.44,0.83,2.08,5.30,12.15,2.45
ri,3.70,2.05,0.64,11.05,1.58,6.89,1.93,5.87,0.04,8.92,12.29,3.32,1.82,0.66,1.00,6.98,13.64,1.89,2.11,1.95,9.40,2.29
sc,3.90,1.10,0.64,9.23,1.02,6.49,2.11,4.92,0.02,9.01,12.13,2.99,2.18,0.58,0.84,6.79,15.15,1.92,2.50,2.19,11.40,2.89
sd,3.02,1.36,0.72,8.39,1.21,3.87,2.73,5.49,0.10,8.95,15.48,3.03,2.27,0.42,1.35,4.71,14.92,2.35,2.85,1.54,12.01,3.24
tn,3.21,1.39,0.52,9.15,1.07,7.71,2.28,4.52,0.03,8.34,11.11,3.04,2.17,0.46,0.70,9.60,15.83,1.61,2.42,2.11,9.56,3.17
tx,3.15,1.30,0.51,10.64,0.85,9.59,2.58,5.31,0.03,8.27,9.50,2.81,2.24,0.53,0.76,9.90,14.50,1.30,1.76,2.11,9.61,2.74
ut,3.89,1.75,0.61,11.81,1.15,8.72,3.32,4.81,0.02,7.46,8.28,2.93,1.89,0.54,1.05,9.45,15.86,1.68,2.04,1.33,8.82,2.58
va,3.47,1.71,0.60,15.88,0.92,11.15,2.34,5.21,0.03,7.11,9.37,2.65,1.81,0.57,1.19,8.31,11.21,1.69,1.31,2.23,8.89,2.36
vi,1.28,1.52,0.93,13.76,1.05,4.24,2.39,6.45,0.05,9.69,6.95,2.62,2.53,0.59,1.11,10.02,15.33,1.27,1.77,4.44,9.97,2.04
vt,3.53,1.94,0.69,12.58,1.52,8.03,2.01,7.08,0.04,6.69,12.19,2.80,1.74,0.55,1.33,9.44,11.43,1.56,2.12,1.37,9.10,2.26
wa,3.96,1.82,0.49,15.47,1.14,11.55,2.48,4.39,0.08,7.30,8.90,2.91,1.85,0.54,1.49,7.24,11.94,1.28,1.71,1.63,9.35,2.49
wi,3.97,1.46,0.57,10.77,1.01,6.43,2.11,5.29,0.05,7.48,11.61,3.01,1.99,0.43,0.97,7.90,14.57,1.30,3.79,1.59,10.48,3.20
wv,2.71,0.96,0.56,9.39,1.40,8.07,3.04,5.53,0.04,6.78,16.07,3.24,2.51,0.62,1.04,7.11,13.70,1.33,1.93,2.19,9.06,2.72
wy,3.23,1.32,0.80,9.08,1.13,4.03,5.13,6.31,0.13,8.51,10.46,3.02,3.44,0.63,2.23,6.70,13.71,1.95,2.28,2.13,10.56,3.21
