occ,date,config,pct_tasks_affected,group
Construction Laborers,2026-02-12,all_confirmed,11.96,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2026-02-12,all_confirmed,81.81,Utah-Relevant
Network and Computer Systems Administrators,2026-02-12,all_confirmed,73.68,Utah-Relevant
Registered Nurses,2024-09-30,all_ceiling,9.30,High-Profile / High-Employment
Software Developers,2024-09-30,all_ceiling,45.16,High-Profile / High-Employment
General and Operations Managers,2024-09-30,all_ceiling,17.96,High-Profile / High-Employment
Cashiers,2024-09-30,all_ceiling,37.18,High-Profile / High-Employment
Customer Service Representatives,2024-09-30,all_ceiling,45.08,High-Profile / High-Employment
Retail Salespersons,2024-09-30,all_ceiling,39.99,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2024-09-30,all_ceiling,16.19,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2024-09-30,all_ceiling,26.07,High-Profile / High-Employment
Waiters and Waitresses,2024-09-30,all_ceiling,37.94,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2024-09-30,all_ceiling,11.34,High-Profile / High-Employment
Accountants and Auditors,2024-09-30,all_ceiling,28.09,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2024-09-30,all_ceiling,44.57,High-Profile / High-Employment
Lawyers,2024-09-30,all_ceiling,27.45,AI-Controversial / Interesting
"Physicians, All Other",2024-09-30,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2024-09-30,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2024-09-30,all_ceiling,44.15,AI-Controversial / Interesting
Technical Writers,2024-09-30,all_ceiling,45.62,AI-Controversial / Interesting
Web Developers,2024-09-30,all_ceiling,47.34,AI-Controversial / Interesting
Paralegals and Legal Assistants,2024-09-30,all_ceiling,22.01,AI-Controversial / Interesting
Data Scientists,2024-09-30,all_ceiling,46.04,AI-Controversial / Interesting
Human Resources Specialists,2024-09-30,all_ceiling,22.37,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2024-09-30,all_ceiling,39.84,AI-Controversial / Interesting
Editors,2024-09-30,all_ceiling,42.04,AI-Controversial / Interesting
Interpreters and Translators,2024-09-30,all_ceiling,50.98,AI-Controversial / Interesting
Computer Systems Analysts,2024-09-30,all_ceiling,43.79,Utah-Relevant
Medical and Health Services Managers,2024-09-30,all_ceiling,33.34,Utah-Relevant
Construction Laborers,2024-09-30,all_ceiling,3.87,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2024-09-30,all_ceiling,44.84,Utah-Relevant
Network and Computer Systems Administrators,2024-09-30,all_ceiling,42.87,Utah-Relevant
Registered Nurses,2024-12-23,all_ceiling,9.30,High-Profile / High-Employment
Software Developers,2024-12-23,all_ceiling,45.16,High-Profile / High-Employment
General and Operations Managers,2024-12-23,all_ceiling,17.96,High-Profile / High-Employment
Cashiers,2024-12-23,all_ceiling,37.18,High-Profile / High-Employment
Customer Service Representatives,2024-12-23,all_ceiling,45.08,High-Profile / High-Employment
Retail Salespersons,2024-12-23,all_ceiling,39.99,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2024-12-23,all_ceiling,16.19,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2024-12-23,all_ceiling,26.07,High-Profile / High-Employment
Waiters and Waitresses,2024-12-23,all_ceiling,37.94,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2024-12-23,all_ceiling,11.34,High-Profile / High-Employment
Accountants and Auditors,2024-12-23,all_ceiling,28.09,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2024-12-23,all_ceiling,44.57,High-Profile / High-Employment
Lawyers,2024-12-23,all_ceiling,27.45,AI-Controversial / Interesting
"Physicians, All Other",2024-12-23,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2024-12-23,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2024-12-23,all_ceiling,44.15,AI-Controversial / Interesting
Technical Writers,2024-12-23,all_ceiling,45.62,AI-Controversial / Interesting
Web Developers,2024-12-23,all_ceiling,47.34,AI-Controversial / Interesting
Paralegals and Legal Assistants,2024-12-23,all_ceiling,22.01,AI-Controversial / Interesting
Data Scientists,2024-12-23,all_ceiling,46.04,AI-Controversial / Interesting
Human Resources Specialists,2024-12-23,all_ceiling,22.37,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2024-12-23,all_ceiling,39.84,AI-Controversial / Interesting
Editors,2024-12-23,all_ceiling,42.04,AI-Controversial / Interesting
Interpreters and Translators,2024-12-23,all_ceiling,50.98,AI-Controversial / Interesting
Computer Systems Analysts,2024-12-23,all_ceiling,43.79,Utah-Relevant
Medical and Health Services Managers,2024-12-23,all_ceiling,33.34,Utah-Relevant
Construction Laborers,2024-12-23,all_ceiling,3.87,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2024-12-23,all_ceiling,44.84,Utah-Relevant
Network and Computer Systems Administrators,2024-12-23,all_ceiling,42.87,Utah-Relevant
Registered Nurses,2025-03-06,all_ceiling,10.04,High-Profile / High-Employment
Software Developers,2025-03-06,all_ceiling,45.16,High-Profile / High-Employment
General and Operations Managers,2025-03-06,all_ceiling,23.64,High-Profile / High-Employment
Cashiers,2025-03-06,all_ceiling,38.15,High-Profile / High-Employment
Customer Service Representatives,2025-03-06,all_ceiling,49.08,High-Profile / High-Employment
Retail Salespersons,2025-03-06,all_ceiling,40.57,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-03-06,all_ceiling,16.74,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-03-06,all_ceiling,47.47,High-Profile / High-Employment
Waiters and Waitresses,2025-03-06,all_ceiling,37.94,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-03-06,all_ceiling,11.34,High-Profile / High-Employment
Accountants and Auditors,2025-03-06,all_ceiling,28.09,High-Profile / High-Employment
